gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,difference
LOC111100079,1,2,-1
LOC111100080,2,1,1
LOC111100081,0,1,-1
LOC111100084,0,1,-1
LOC111100094,1,2,-1
LOC111100100,3,1,2
LOC111100117,4,2,2
LOC111100118,5,4,1
LOC111100121,0,1,-1
LOC111100122,0,1,-1
LOC111100123,1,0,1
LOC111100136,2,1,1
LOC111100138,1,2,-1
LOC111100140,1,0,1
LOC111100143,7,5,2
LOC111100144,2,1,1
LOC111100147,3,2,1
LOC111100148,5,4,1
LOC111100151,0,1,-1
LOC111100156,1,0,1
LOC111100159,0,1,-1
LOC111100165,4,3,1
LOC111100172,0,1,-1
LOC111100174,0,1,-1
LOC111100176,6,5,1
LOC111100182,0,1,-1
LOC111100185,1,2,-1
LOC111100186,4,3,1
LOC111100192,7,5,2
LOC111100196,3,2,1
LOC111100198,2,1,1
LOC111100207,1,2,-1
LOC111100217,1,0,1
LOC111100224,3,1,2
LOC111100226,0,1,-1
LOC111100229,2,1,1
LOC111100237,3,2,1
LOC111100239,8,6,2
LOC111100240,3,2,1
LOC111100241,5,2,3
LOC111100242,2,3,-1
LOC111100250,0,1,-1
LOC111100254,3,1,2
LOC111100257,4,3,1
LOC111100277,8,6,2
LOC111100278,9,3,6
LOC111100282,2,1,1
LOC111100286,2,1,1
LOC111100288,5,2,3
LOC111100293,5,4,1
LOC111100294,7,4,3
LOC111100299,2,3,-1
LOC111100304,2,1,1
LOC111100311,2,1,1
LOC111100313,1,0,1
LOC111100314,2,1,1
LOC111100316,5,4,1
LOC111100320,3,2,1
LOC111100321,2,1,1
LOC111100324,1,2,-1
LOC111100326,3,2,1
LOC111100327,6,4,2
LOC111100329,5,3,2
LOC111100330,3,4,-1
LOC111100334,1,2,-1
LOC111100336,6,4,2
LOC111100344,5,2,3
LOC111100361,0,1,-1
LOC111100362,3,2,1
LOC111100370,1,0,1
LOC111100375,9,4,5
LOC111100377,0,1,-1
LOC111100379,3,1,2
LOC111100384,5,4,1
LOC111100389,5,4,1
LOC111100391,2,1,1
LOC111100392,14,9,5
LOC111100393,3,4,-1
LOC111100396,2,1,1
LOC111100397,1,2,-1
LOC111100398,3,2,1
LOC111100403,9,10,-1
LOC111100404,1,2,-1
LOC111100406,8,5,3
LOC111100407,7,4,3
LOC111100408,7,4,3
LOC111100409,4,1,3
LOC111100411,2,1,1
LOC111100415,3,1,2
LOC111100418,3,2,1
LOC111100419,3,2,1
LOC111100420,1,2,-1
LOC111100425,4,5,-1
LOC111100426,8,6,2
LOC111100436,5,6,-1
LOC111100440,2,3,-1
LOC111100441,5,6,-1
LOC111100444,7,6,1
LOC111100465,8,7,1
LOC111100466,9,3,6
LOC111100470,3,2,1
LOC111100471,6,4,2
LOC111100480,0,1,-1
LOC111100481,6,3,3
LOC111100482,3,2,1
LOC111100485,1,2,-1
LOC111100486,4,3,1
LOC111100487,1,2,-1
LOC111100494,2,1,1
LOC111100506,3,2,1
LOC111100510,2,1,1
LOC111100522,6,3,3
LOC111100523,9,5,4
LOC111100529,2,1,1
