gene_name,female_max_transcript_counts,male_max_transcript_counts,difference
LOC111100634,4,2,2
LOC111100635,3,1,2
LOC111100642,2,3,-1
LOC111100765,6,5,1
LOC111100788,7,5,2
LOC111100790,3,2,1
LOC111100792,11,7,4
LOC111100801,4,3,1
LOC111100815,4,5,-1
LOC111100816,2,1,1
LOC111100824,1,2,-1
LOC111100827,2,1,1
LOC111100838,5,1,4
LOC111100839,2,1,1
LOC111100840,2,5,-3
LOC111100844,3,2,1
LOC111100858,7,4,3
LOC111100861,2,1,1
LOC111100867,2,1,1
LOC111100869,3,4,-1
LOC111100872,4,2,2
LOC111100875,4,3,1
LOC111100876,2,1,1
LOC111100879,2,1,1
LOC111100893,2,3,-1
LOC111100894,4,5,-1
LOC111100895,2,1,1
LOC111100896,11,9,2
LOC111100899,3,1,2
LOC111100906,4,3,1
LOC111100907,3,1,2
LOC111100913,2,1,1
LOC111100924,5,3,2
LOC111100943,1,2,-1
LOC111100945,2,3,-1
LOC111100954,1,2,-1
LOC111100964,3,2,1
LOC111100970,0,1,-1
LOC111100977,3,2,1
LOC111100983,2,1,1
LOC111100984,5,2,3
LOC111100989,9,8,1
LOC111100993,4,3,1
LOC111100998,0,1,-1
LOC111101001,3,2,1
LOC111101014,3,2,1
LOC111101015,2,1,1
LOC111101016,2,1,1
LOC111101019,1,0,1
LOC111101026,3,2,1
LOC111101027,4,3,1
LOC111101028,4,3,1
LOC111101031,3,2,1
LOC111101033,6,4,2
LOC111101036,20,15,5
LOC111101049,6,5,1
LOC111101050,8,7,1
LOC111101060,6,5,1
LOC111101077,2,1,1
LOC111101078,3,2,1
LOC111101080,3,4,-1
LOC111101081,1,2,-1
LOC111101086,2,1,1
LOC111101099,2,1,1
LOC111101102,4,2,2
LOC111101105,2,1,1
LOC111101114,2,1,1
LOC111101116,3,2,1
LOC111101125,1,0,1
LOC111101134,4,3,1
LOC111101137,4,3,1
LOC111101138,5,4,1
LOC111101139,3,2,1
LOC111101141,2,1,1
LOC111101148,4,3,1
LOC111101151,1,2,-1
LOC111101159,1,2,-1
LOC111101163,7,5,2
LOC111101166,4,5,-1
LOC111101175,3,2,1
LOC111101180,2,1,1
LOC111101190,4,2,2
LOC111101206,3,5,-2
LOC111101224,2,1,1
LOC111101229,3,2,1
LOC111101230,3,1,2
LOC111101241,1,2,-1
LOC111101249,3,2,1
LOC111101251,5,3,2
LOC111101255,1,2,-1
LOC111101258,5,2,3
LOC111101274,2,1,1
LOC111101276,2,3,-1
LOC111101277,2,1,1
LOC111101293,1,2,-1
LOC111101298,2,1,1
LOC111101301,4,0,4
LOC111101304,1,2,-1
LOC111101311,0,1,-1
LOC111101327,2,1,1
LOC111101353,6,4,2
LOC111101355,1,2,-1
LOC111101369,2,3,-1
LOC111101370,5,0,5
LOC111101393,2,3,-1
LOC111101398,0,1,-1
LOC111101402,2,1,1
LOC111101405,3,2,1
LOC111101412,6,4,2
LOC111101438,2,1,1
LOC111101442,1,0,1
LOC111101448,6,5,1
LOC111101455,3,2,1
LOC111101462,2,1,1
LOC111101471,6,5,1
LOC111101473,3,2,1
LOC111101489,5,4,1
LOC111101494,0,1,-1
LOC111101503,2,1,1
LOC111101513,1,0,1
LOC111101518,4,3,1
LOC111101524,2,1,1
LOC111101526,4,2,2
LOC111101543,1,2,-1
LOC111101544,2,1,1
LOC111101545,2,1,1
LOC111101547,2,1,1
LOC111101552,3,1,2
LOC111101582,0,1,-1
LOC111101588,6,4,2
LOC111101597,0,1,-1
LOC111101601,3,2,1
LOC111101602,1,2,-1
LOC111101607,5,6,-1
LOC111101612,10,4,6
LOC111101621,3,4,-1
LOC111101625,1,2,-1
LOC111101628,1,2,-1
LOC111101629,4,2,2
LOC111101636,2,1,1
LOC111101645,2,1,1
LOC111101651,2,1,1
LOC111101663,1,2,-1
LOC111101680,4,3,1
LOC111101689,6,4,2
LOC111101696,2,3,-1
LOC111101711,4,2,2
LOC111101714,2,1,1
LOC111101717,2,1,1
LOC111101727,1,2,-1
LOC111101732,0,1,-1
LOC111101738,0,1,-1
LOC111101741,2,3,-1
LOC111101742,1,2,-1
LOC111101748,2,1,1
LOC111101750,3,0,3
LOC111101754,1,3,-2
LOC111101763,2,1,1
LOC111101766,1,2,-1
LOC111101767,1,0,1
LOC111101771,1,2,-1
LOC111101772,2,1,1
LOC111101781,2,1,1
LOC111101814,4,3,1
LOC111101815,1,2,-1
LOC111101820,4,3,1
LOC111101823,1,2,-1
LOC111101824,0,1,-1
LOC111101825,0,1,-1
LOC111101826,0,1,-1
LOC111101830,1,2,-1
LOC111101850,4,2,2
LOC111101852,6,5,1
LOC111101856,0,1,-1
LOC111101864,1,2,-1
LOC111101871,6,5,1
LOC111101876,2,3,-1
LOC111101879,2,1,1
LOC111101887,0,1,-1
LOC111101888,2,1,1
LOC111101900,0,1,-1
LOC111101946,3,2,1
LOC111101979,2,1,1
LOC111102020,4,3,1
LOC111102077,1,0,1
LOC111102103,1,0,1
LOC111102129,0,1,-1
LOC111102164,0,1,-1
LOC111102184,2,1,1
LOC111102205,1,0,1
LOC111102237,13,10,3
LOC111102238,3,2,1
LOC111102246,1,0,1
LOC111102250,1,2,-1
LOC111102257,2,1,1
LOC111102261,0,1,-1
LOC111102262,2,1,1
LOC111102283,4,2,2
LOC111102285,1,2,-1
LOC111102299,2,1,1
LOC111102310,2,1,1
LOC111102339,2,3,-1
LOC111102341,0,1,-1
LOC111102342,3,2,1
LOC111102349,1,2,-1
LOC111102358,0,1,-1
LOC111102361,12,11,1
LOC111102366,3,2,1
LOC111102388,2,3,-1
LOC111102389,1,2,-1
LOC111102397,2,0,2
LOC111102398,1,0,1
LOC111102418,0,1,-1
LOC111102426,33,16,17
LOC111102432,4,3,1
LOC111102435,4,3,1
LOC111102446,4,3,1
LOC111102449,2,1,1
LOC111102450,1,2,-1
LOC111102454,2,1,1
LOC111102481,1,0,1
LOC111102485,5,3,2
LOC111102490,3,2,1
LOC111102495,11,7,4
LOC111102502,0,1,-1
LOC111102504,3,2,1
LOC111102507,1,0,1
LOC111102508,1,2,-1
LOC111102514,3,2,1
LOC111102519,1,2,-1
LOC111102522,1,0,1
LOC111102526,2,3,-1
LOC111102536,2,1,1
LOC111102541,2,1,1
LOC111102543,0,1,-1
LOC111102547,0,1,-1
LOC111102567,1,2,-1
LOC111102571,5,3,2
LOC111102584,6,4,2
LOC111102587,1,3,-2
LOC111102597,1,2,-1
LOC111102610,4,3,1
LOC111102618,0,1,-1
LOC111102627,2,1,1
LOC111102629,0,1,-1
LOC111102657,0,1,-1
LOC111102660,1,2,-1
LOC111102663,0,2,-2
LOC111102675,7,6,1
LOC111102677,2,3,-1
LOC111102686,1,2,-1
LOC111102699,2,1,1
LOC111102712,0,1,-1
LOC111102717,2,3,-1
LOC111102726,1,0,1
LOC111102737,3,2,1
LOC111102745,4,3,1
LOC111102747,3,2,1
LOC111102779,3,1,2
LOC111102786,0,1,-1
LOC111102787,2,1,1
LOC111102801,5,3,2
LOC111102813,2,1,1
LOC111102817,8,3,5
LOC111102833,22,21,1
LOC111102835,3,2,1
LOC111102837,2,1,1
LOC111102839,4,3,1
LOC111102841,3,4,-1
LOC111102856,1,0,1
LOC111102865,3,1,2
LOC111102872,4,2,2
LOC111102878,4,5,-1
LOC111102887,1,2,-1
LOC111102888,1,2,-1
LOC111102899,1,2,-1
LOC111102902,2,1,1
LOC111102911,2,1,1
LOC111102918,2,1,1
LOC111102923,3,2,1
LOC111102933,2,1,1
LOC111102936,1,2,-1
LOC111102943,2,1,1
LOC111102948,0,1,-1
LOC111102960,5,2,3
LOC111102966,1,2,-1
LOC111102968,0,1,-1
LOC111102976,0,1,-1
LOC111102981,2,1,1
LOC111102982,3,2,1
LOC111102991,2,1,1
LOC111102995,1,2,-1
LOC111103002,3,2,1
LOC111103003,2,4,-2
LOC111103015,6,2,4
LOC111103018,4,3,1
LOC111103019,5,3,2
LOC111103027,2,1,1
LOC111103028,1,2,-1
LOC111103034,1,0,1
LOC111103039,2,1,1
LOC111103055,1,2,-1
LOC111103058,2,1,1
LOC111103061,7,5,2
LOC111103065,1,0,1
LOC111103071,2,1,1
LOC111103085,1,0,1
LOC111103087,1,3,-2
LOC111103090,6,5,1
LOC111103099,1,2,-1
LOC111103111,0,1,-1
LOC111103112,2,1,1
LOC111103119,2,3,-1
LOC111103138,1,0,1
LOC111103141,0,1,-1
LOC111103153,1,2,-1
LOC111103155,2,1,1
LOC111103157,4,5,-1
LOC111103169,1,3,-2
LOC111103172,3,1,2
LOC111103174,2,1,1
LOC111103175,3,2,1
LOC111103190,2,1,1
LOC111103191,2,1,1
LOC111103196,0,1,-1
LOC111103207,2,1,1
LOC111103214,3,2,1
LOC111103223,8,7,1
LOC111103234,3,4,-1
LOC111103241,0,1,-1
LOC111103244,15,6,9
LOC111103270,7,2,5
LOC111103278,0,1,-1
LOC111103287,16,12,4
LOC111103295,0,1,-1
LOC111103298,2,1,1
LOC111103300,0,1,-1
LOC111103302,0,1,-1
LOC111103323,6,5,1
LOC111103324,0,1,-1
LOC111103338,2,1,1
LOC111103342,3,2,1
LOC111103344,11,10,1
LOC111103356,7,6,1
LOC111103366,6,4,2
LOC111103368,0,1,-1
LOC111103369,0,1,-1
LOC111103370,6,5,1
LOC111103375,9,7,2
LOC111103381,4,2,2
LOC111103387,6,5,1
LOC111103393,9,7,2
LOC111103396,10,8,2
LOC111103398,2,1,1
LOC111103401,3,2,1
LOC111103404,2,1,1
LOC111103405,3,4,-1
LOC111103426,1,0,1
LOC111103430,7,6,1
LOC111103431,9,7,2
LOC111103433,0,1,-1
LOC111103435,0,1,-1
LOC111103440,0,1,-1
LOC111103441,6,5,1
LOC111103443,6,5,1
LOC111103456,0,1,-1
LOC111103458,1,0,1
LOC111103462,1,0,1
LOC111103467,2,1,1
LOC111103477,0,1,-1
LOC111103478,1,0,1
LOC111103480,7,5,2
LOC111103482,4,3,1
LOC111103485,4,5,-1
LOC111103487,1,2,-1
LOC111103494,2,1,1
LOC111103505,1,2,-1
LOC111103511,4,3,1
LOC111103514,6,4,2
LOC111103517,5,6,-1
LOC111103519,3,2,1
LOC111103536,1,0,1
LOC111103553,2,3,-1
LOC111103560,4,5,-1
LOC111103565,3,1,2
LOC111103566,1,0,1
LOC111103574,3,2,1
LOC111103578,3,1,2
LOC111103581,3,2,1
LOC111103585,1,2,-1
LOC111103589,6,5,1
LOC111103591,1,2,-1
LOC111103594,3,2,1
LOC111103596,7,5,2
LOC111103631,3,0,3
LOC111103635,4,3,1
LOC111103646,7,4,3
LOC111103649,3,2,1
LOC111103651,1,2,-1
LOC111103655,4,2,2
LOC111103660,2,1,1
LOC111103664,4,1,3
LOC111103674,1,0,1
LOC111103676,7,6,1
LOC111103678,0,1,-1
LOC111103680,4,3,1
LOC111103684,3,1,2
LOC111103692,4,3,1
LOC111103700,5,4,1
LOC111103737,0,1,-1
LOC111103744,9,5,4
LOC111103753,1,0,1
LOC111103755,1,2,-1
LOC111103778,4,3,1
LOC111103782,1,2,-1
LOC111103790,1,2,-1
LOC111103792,4,3,1
LOC111103804,5,4,1
LOC111103805,5,4,1
LOC111103809,8,7,1
LOC111103811,3,2,1
