gene_name,transcript_counts.S12M,transcript_counts.S23M,transcript_counts.S31M,transcript_counts.S48M,transcript_counts.S59M,transcript_counts.S9M,exposed_males_sum_transcript_counts,exposed_males_median_transcript_counts,exposed_males_mean_transcript_counts,exposed_males_max_transcript_counts,exposed_males_min_transcript_counts,exposed_males_std_dev_transcript_counts
LOC111099562,1,1,1,1,1,0,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099563,1,1,1,1,1,0,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099564,1,0,1,1,0,1,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099565,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099566,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099567,1,2,2,2,1,1,9,1.5,1.5,2,1,0.547722557505166
LOC111099568,1,0,0,1,1,1,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099569,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099570,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099571,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099572,1,2,1,1,1,2,8,1,1.33333333333333,2,1,0.516397779494322
LOC111099573,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099574,0,0,0,0,0,1,1,0,0.166666666666667,1,0,0.408248290463863
LOC111099575,2,3,2,1,1,2,11,2,1.83333333333333,3,1,0.752772652709081
LOC111099576,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099577,2,1,2,1,1,2,9,1.5,1.5,2,1,0.547722557505166
LOC111099578,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099579,1,1,0,1,1,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099580,3,3,3,3,3,3,18,3,3,3,3,0
LOC111099581,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099582,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099583,1,2,2,2,0,2,9,2,1.5,2,0,0.836660026534076
LOC111099584,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099585,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099586,1,1,1,1,0,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099587,1,2,2,1,0,2,8,1.5,1.33333333333333,2,0,0.816496580927726
LOC111099588,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099589,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099590,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099591,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099592,3,1,1,3,1,1,10,1,1.66666666666667,3,1,1.03279555898864
LOC111099593,2,2,2,2,2,2,12,2,2,2,2,0
LOC111099594,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099595,1,0,0,0,0,1,2,0,0.333333333333333,1,0,0.516397779494322
LOC111099596,2,2,2,2,2,2,12,2,2,2,2,0
LOC111099597,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099598,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099599,1,1,1,1,0,1,5,1,0.833333333333333,1,0,0.408248290463863
