gene_name,transcript_counts.S12M,transcript_counts.S23M,transcript_counts.S31M,transcript_counts.S48M,transcript_counts.S59M,transcript_counts.S9M,exposed_males_sum_transcript_counts,exposed_males_median_transcript_counts,exposed_males_mean_transcript_counts,exposed_males_max_transcript_counts,exposed_males_min_transcript_counts,exposed_males_std_dev_transcript_counts
LOC111099135,2,3,3,2,3,3,16,3,2.66666666666667,3,2,0.516397779494322
LOC111099136,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099137,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099138,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099139,2,2,1,1,1,1,8,1,1.33333333333333,2,1,0.516397779494322
LOC111099140,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099141,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099142,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099143,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099144,1,1,1,0,1,1,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099145,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099146,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099147,1,2,1,1,1,1,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099148,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099149,1,1,1,1,1,0,5,1,0.833333333333333,1,0,0.408248290463863
LOC111099150,3,3,2,4,3,4,19,3,3.16666666666667,4,2,0.752772652709081
LOC111099151,1,1,1,2,1,1,7,1,1.16666666666667,2,1,0.408248290463863
LOC111099152,2,2,2,2,2,2,12,2,2,2,2,0
LOC111099153,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099154,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099155,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099156,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099157,11,11,11,13,15,14,75,12,12.5,15,11,1.7606816861659
LOC111099158,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099159,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099160,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099161,1,2,1,2,2,2,10,2,1.66666666666667,2,1,0.516397779494322
LOC111099162,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099163,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099164,1,1,1,0,0,1,4,1,0.666666666666667,1,0,0.516397779494322
LOC111099165,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099166,1,1,1,1,1,1,6,1,1,1,1,0
LOC111099167,1,1,1,1,1,1,6,1,1,1,1,0
