gene_name,controls_max_transcript_counts,exposed_max_transcript_counts,difference
LOC111100070,1,2,-1
LOC111100094,2,1,1
LOC111100100,3,2,1
LOC111100117,4,5,-1
LOC111100118,5,4,1
LOC111100126,0,1,-1
LOC111100133,1,2,-1
LOC111100143,7,6,1
LOC111100144,2,3,-1
LOC111100147,3,2,1
LOC111100152,1,2,-1
LOC111100169,1,4,-3
LOC111100182,1,2,-1
LOC111100196,3,4,-1
LOC111100207,2,3,-1
LOC111100219,4,5,-1
LOC111100225,1,2,-1
LOC111100242,3,2,1
LOC111100254,3,2,1
LOC111100277,8,7,1
LOC111100278,9,7,2
LOC111100288,5,4,1
LOC111100292,2,3,-1
LOC111100293,5,4,1
LOC111100294,7,4,3
LOC111100296,1,3,-2
LOC111100299,3,2,1
LOC111100304,2,4,-2
LOC111100310,0,1,-1
LOC111100316,5,4,1
LOC111100324,2,1,1
LOC111100330,4,5,-1
LOC111100331,1,3,-2
LOC111100334,2,1,1
LOC111100336,6,7,-1
LOC111100338,0,1,-1
LOC111100344,5,4,1
LOC111100358,1,0,1
LOC111100375,9,7,2
LOC111100379,3,2,1
LOC111100389,5,8,-3
LOC111100390,3,4,-1
LOC111100392,14,13,1
LOC111100402,3,4,-1
LOC111100404,2,1,1
LOC111100406,8,9,-1
LOC111100408,7,5,2
LOC111100414,1,2,-1
LOC111100420,2,3,-1
LOC111100426,8,7,1
LOC111100441,6,4,2
LOC111100444,7,9,-2
LOC111100466,9,8,1
LOC111100472,1,2,-1
LOC111100474,1,0,1
LOC111100487,2,1,1
LOC111100523,9,10,-1
LOC111100543,1,2,-1
LOC111100551,2,1,1
LOC111100567,2,1,1
LOC111100568,8,7,1
LOC111100571,4,2,2
LOC111100577,9,7,2
LOC111100623,5,3,2
LOC111100634,4,2,2
LOC111100635,3,2,1
LOC111100642,2,3,-1
LOC111100787,1,0,1
LOC111100792,11,9,2
LOC111100801,4,3,1
LOC111100815,5,4,1
LOC111100824,1,2,-1
LOC111100827,1,2,-1
LOC111100838,4,5,-1
LOC111100839,2,1,1
LOC111100840,2,5,-3
LOC111100854,1,2,-1
LOC111100858,6,7,-1
LOC111100872,4,3,1
LOC111100875,3,4,-1
LOC111100876,1,2,-1
LOC111100879,2,1,1
LOC111100894,3,5,-2
LOC111100899,3,1,2
LOC111100907,3,1,2
LOC111100913,1,2,-1
LOC111100914,3,2,1
LOC111100945,2,3,-1
LOC111100970,0,1,-1
LOC111100977,3,2,1
LOC111100984,4,5,-1
LOC111100989,8,9,-1
