gene_name,control_females_max_transcript_counts,exposed_females_max_transcript_counts,difference
LOC111100975,1,3,-2
LOC111100977,3,2,1
LOC111100978,1,0,1
LOC111100984,4,5,-1
LOC111100989,8,9,-1
LOC111100993,4,2,2
LOC111101001,3,1,2
LOC111101010,2,1,1
LOC111101018,2,3,-1
LOC111101028,4,3,1
LOC111101031,3,2,1
LOC111101033,6,4,2
LOC111101042,2,1,1
LOC111101050,7,8,-1
LOC111101078,3,2,1
LOC111101098,1,0,1
LOC111101099,2,1,1
LOC111101103,8,6,2
LOC111101104,0,1,-1
LOC111101105,1,2,-1
LOC111101106,0,1,-1
LOC111101116,2,3,-1
LOC111101134,4,2,2
LOC111101136,3,1,2
LOC111101138,5,4,1
LOC111101163,5,7,-2
LOC111101171,1,2,-1
LOC111101175,3,2,1
LOC111101180,1,2,-1
LOC111101190,4,3,1
LOC111101205,2,1,1
LOC111101206,3,2,1
LOC111101212,16,13,3
LOC111101224,2,1,1
LOC111101225,1,3,-2
LOC111101229,3,2,1
LOC111101256,2,1,1
LOC111101258,5,4,1
LOC111101272,2,1,1
LOC111101277,1,2,-1
LOC111101298,1,2,-1
LOC111101301,0,4,-4
LOC111101312,1,0,1
LOC111101327,2,1,1
LOC111101332,2,1,1
LOC111101341,1,2,-1
LOC111101352,1,0,1
LOC111101353,6,4,2
LOC111101369,2,1,1
LOC111101370,5,3,2
LOC111101372,0,1,-1
LOC111101381,3,1,2
LOC111101390,1,2,-1
LOC111101405,3,1,2
LOC111101412,3,6,-3
LOC111101438,1,2,-1
LOC111101448,6,3,3
LOC111101449,3,4,-1
LOC111101455,1,3,-2
LOC111101465,2,1,1
LOC111101471,5,6,-1
LOC111101489,5,4,1
LOC111101500,0,1,-1
LOC111101503,2,1,1
LOC111101505,3,2,1
LOC111101534,1,0,1
LOC111101535,0,1,-1
LOC111101544,1,2,-1
LOC111101545,1,2,-1
LOC111101547,2,1,1
LOC111101552,2,3,-1
LOC111101555,1,0,1
LOC111101588,6,5,1
LOC111101592,2,1,1
LOC111101601,3,2,1
LOC111101603,6,5,1
LOC111101604,2,1,1
LOC111101608,4,3,1
LOC111101621,3,2,1
LOC111101636,1,2,-1
LOC111101639,3,2,1
LOC111101645,1,2,-1
LOC111101651,1,2,-1
LOC111101664,2,1,1
LOC111101668,1,2,-1
LOC111101675,2,0,2
LOC111101677,1,2,-1
LOC111101680,3,4,-1
LOC111101682,2,1,1
LOC111101685,0,1,-1
LOC111101692,1,0,1
LOC111101714,2,1,1
LOC111101717,1,2,-1
LOC111101719,1,0,1
LOC111101730,1,0,1
LOC111101748,2,1,1
LOC111101750,1,3,-2
LOC111101776,3,2,1
LOC111101781,2,1,1
LOC111101785,1,0,1
LOC111101788,2,1,1
LOC111101809,2,1,1
LOC111101814,4,3,1
LOC111101820,4,3,1
LOC111101850,4,3,1
LOC111101863,1,2,-1
LOC111101871,6,5,1
LOC111101876,2,1,1
LOC111101882,0,1,-1
LOC111101888,2,1,1
LOC111101894,3,2,1
LOC111101897,1,0,1
LOC111101907,1,0,1
LOC111101913,0,1,-1
LOC111101946,2,3,-1
LOC111101971,1,0,1
LOC111102020,2,4,-2
LOC111102037,0,1,-1
LOC111102062,1,0,1
LOC111102071,1,0,1
LOC111102077,0,1,-1
LOC111102098,0,1,-1
LOC111102110,1,0,1
LOC111102127,1,0,1
LOC111102128,0,1,-1
LOC111102136,1,0,1
LOC111102148,1,0,1
LOC111102153,1,0,1
LOC111102154,1,0,1
LOC111102168,2,1,1
LOC111102176,0,1,-1
LOC111102184,2,1,1
LOC111102193,0,1,-1
LOC111102205,0,1,-1
LOC111102216,0,1,-1
LOC111102222,1,0,1
LOC111102223,1,0,1
LOC111102236,1,0,1
LOC111102237,13,12,1
LOC111102246,0,1,-1
