gene_name,control_females_max_transcript_counts,exposed_females_max_transcript_counts,difference
LOC111107503,0,1,-1
LOC111107517,0,1,-1
LOC111107523,1,2,-1
LOC111107541,1,0,1
LOC111107555,2,3,-1
LOC111107576,3,1,2
LOC111107585,0,1,-1
LOC111107586,1,2,-1
LOC111107601,1,0,1
LOC111107620,4,3,1
LOC111107631,2,1,1
LOC111107637,2,1,1
LOC111107662,4,2,2
LOC111107667,3,2,1
LOC111107668,2,3,-1
LOC111107669,5,3,2
LOC111107672,2,3,-1
LOC111107678,3,2,1
LOC111107682,3,2,1
LOC111107716,4,3,1
LOC111107721,0,1,-1
LOC111107723,1,0,1
LOC111107739,4,3,1
LOC111107746,1,0,1
LOC111107748,1,2,-1
LOC111107751,0,1,-1
LOC111107767,3,2,1
LOC111107777,1,0,1
LOC111107797,0,1,-1
LOC111107798,0,1,-1
LOC111107801,0,1,-1
LOC111107808,1,2,-1
LOC111107822,4,3,1
LOC111107824,2,1,1
LOC111107827,7,6,1
LOC111107829,1,0,1
LOC111107834,2,1,1
LOC111107835,3,1,2
LOC111107837,1,2,-1
LOC111107845,1,2,-1
LOC111107870,1,0,1
LOC111107918,1,0,1
LOC111107926,2,4,-2
LOC111107927,1,2,-1
LOC111107933,12,14,-2
LOC111107940,2,1,1
LOC111107943,1,0,1
LOC111107953,2,1,1
LOC111107955,4,5,-1
LOC111107974,2,1,1
LOC111107978,1,2,-1
LOC111107997,2,4,-2
LOC111108000,1,0,1
LOC111108012,1,2,-1
LOC111108013,1,0,1
LOC111108026,2,1,1
LOC111108036,0,1,-1
LOC111108043,2,3,-1
LOC111108046,3,4,-1
LOC111108048,1,2,-1
LOC111108054,1,2,-1
LOC111108060,4,5,-1
LOC111108061,5,6,-1
LOC111108063,4,3,1
LOC111108073,1,0,1
LOC111108075,1,0,1
LOC111108077,0,1,-1
LOC111108079,1,0,1
LOC111108086,24,22,2
LOC111108087,1,0,1
LOC111108092,2,3,-1
LOC111108094,4,3,1
LOC111108099,0,1,-1
LOC111108113,2,1,1
LOC111108116,2,1,1
LOC111108120,4,5,-1
LOC111108121,2,1,1
LOC111108124,14,15,-1
LOC111108148,3,4,-1
LOC111108155,1,0,1
LOC111108157,1,0,1
LOC111108158,1,0,1
LOC111108159,1,0,1
LOC111108160,8,5,3
LOC111108167,8,9,-1
LOC111108168,1,0,1
LOC111108169,2,1,1
LOC111108186,9,2,7
LOC111108194,1,0,1
LOC111108196,0,1,-1
LOC111108204,3,2,1
LOC111108212,17,1,16
LOC111108222,3,1,2
LOC111108225,4,5,-1
LOC111108231,3,2,1
LOC111108236,1,0,1
LOC111108244,1,2,-1
LOC111108248,7,6,1
LOC111108261,1,0,1
LOC111108267,1,2,-1
LOC111108280,1,2,-1
LOC111108283,2,1,1
LOC111108288,2,1,1
LOC111108304,3,2,1
LOC111108307,5,4,1
LOC111108310,2,3,-1
LOC111108322,3,4,-1
LOC111108332,2,1,1
LOC111108361,5,6,-1
LOC111108381,3,2,1
LOC111108383,3,1,2
LOC111108403,5,3,2
LOC111108416,3,2,1
LOC111108428,3,4,-1
LOC111108435,1,2,-1
LOC111108443,3,4,-1
LOC111108445,1,2,-1
LOC111108453,3,2,1
LOC111108457,6,4,2
LOC111108459,4,3,1
LOC111108470,3,2,1
LOC111108471,3,2,1
LOC111108474,2,1,1
LOC111108482,1,2,-1
LOC111108483,0,1,-1
LOC111108495,4,3,1
LOC111108503,5,4,1
LOC111108507,1,2,-1
LOC111108530,0,2,-2
LOC111108537,2,1,1
LOC111108540,1,2,-1
LOC111108558,2,1,1
LOC111108560,3,4,-1
LOC111108564,1,2,-1
LOC111108565,2,0,2
LOC111108580,1,0,1
LOC111108615,4,3,1
LOC111108622,2,1,1
LOC111108628,3,2,1
LOC111108636,2,1,1
LOC111108648,2,1,1
LOC111108653,6,7,-1
LOC111108670,2,3,-1
LOC111108686,1,0,1
LOC111108688,0,1,-1
LOC111108716,2,1,1
LOC111108719,1,2,-1
LOC111108743,4,3,1
LOC111108749,3,1,2
LOC111108769,4,5,-1
LOC111108772,1,2,-1
LOC111108779,3,2,1
LOC111108787,1,2,-1
LOC111108794,0,1,-1
LOC111108795,1,0,1
LOC111108821,1,0,1
LOC111108828,1,0,1
LOC111108831,1,0,1
LOC111108841,0,1,-1
LOC111108843,1,0,1
LOC111108851,1,0,1
LOC111108853,1,0,1
LOC111108854,1,0,1
LOC111108905,1,0,1
LOC111108909,1,0,1
LOC111108931,3,2,1
LOC111108943,0,1,-1
LOC111108950,0,1,-1
LOC111108976,1,0,1
LOC111108977,1,0,1
LOC111108978,1,0,1
LOC111108983,1,0,1
LOC111108988,1,0,1
LOC111108993,0,1,-1
LOC111109011,1,0,1
LOC111109023,1,0,1
LOC111109028,2,1,1
LOC111109042,1,0,1
LOC111109088,0,1,-1
LOC111109105,4,3,1
LOC111109106,0,1,-1
LOC111109141,0,1,-1
LOC111109200,0,1,-1
LOC111109202,0,1,-1
LOC111109204,0,1,-1
LOC111109237,1,0,1
LOC111109263,2,1,1
LOC111109286,1,0,1
LOC111109287,1,0,1
LOC111109310,1,0,1
LOC111109312,0,1,-1
LOC111109324,1,0,1
LOC111109357,1,0,1
LOC111109358,0,1,-1
LOC111109378,1,0,1
LOC111109383,1,0,1
LOC111109384,1,0,1
LOC111109401,2,1,1
LOC111109402,2,3,-1
LOC111109404,5,6,-1
LOC111109415,1,2,-1
LOC111109447,2,1,1
LOC111109450,2,1,1
LOC111109455,3,2,1
LOC111109456,2,4,-2
LOC111109465,8,6,2
LOC111109473,3,2,1
LOC111109484,9,6,3
LOC111109487,1,2,-1
LOC111109489,2,3,-1
LOC111109495,5,2,3
LOC111109496,1,0,1
LOC111109497,0,1,-1
LOC111109523,4,1,3
LOC111109525,2,1,1
LOC111109572,2,1,1
LOC111109588,2,1,1
LOC111109590,3,2,1
LOC111109611,3,2,1
LOC111109626,1,0,1
LOC111109630,3,1,2
LOC111109644,1,0,1
LOC111109646,2,1,1
LOC111109655,5,6,-1
LOC111109692,0,1,-1
LOC111109693,3,4,-1
LOC111109695,0,1,-1
LOC111109711,1,2,-1
LOC111109719,0,1,-1
LOC111109723,2,1,1
LOC111109724,0,1,-1
LOC111109728,0,1,-1
LOC111109735,2,3,-1
LOC111109741,2,1,1
LOC111109749,2,3,-1
LOC111109752,2,1,1
LOC111109769,4,2,2
LOC111109783,2,1,1
LOC111109792,1,0,1
LOC111109803,1,2,-1
LOC111109821,1,2,-1
LOC111109831,3,2,1
LOC111109852,5,1,4
LOC111109855,1,2,-1
LOC111109867,1,0,1
LOC111109868,3,2,1
LOC111109879,3,2,1
LOC111109910,1,2,-1
LOC111109914,2,1,1
LOC111109916,4,2,2
LOC111109925,2,1,1
LOC111109930,2,1,1
LOC111109940,2,1,1
LOC111109944,2,1,1
LOC111109991,1,3,-2
LOC111110011,2,1,1
LOC111110017,1,2,-1
LOC111110021,4,3,1
LOC111110026,1,0,1
LOC111110028,10,9,1
LOC111110037,1,2,-1
LOC111110043,2,1,1
LOC111110046,1,0,1
LOC111110073,2,1,1
LOC111110074,0,1,-1
LOC111110079,0,1,-1
LOC111110093,5,3,2
LOC111110101,2,1,1
LOC111110102,1,2,-1
LOC111110106,1,0,1
LOC111110120,2,1,1
LOC111110127,5,4,1
LOC111110136,2,1,1
LOC111110142,4,5,-1
LOC111110144,1,2,-1
LOC111110148,4,5,-1
LOC111110177,1,0,1
LOC111110186,0,1,-1
LOC111110196,1,0,1
LOC111110199,2,3,-1
LOC111110204,1,2,-1
LOC111110218,2,1,1
LOC111110229,1,0,1
LOC111110231,1,0,1
LOC111110234,0,1,-1
LOC111110239,3,2,1
LOC111110244,8,6,2
LOC111110249,2,1,1
LOC111110250,4,5,-1
LOC111110256,0,1,-1
LOC111110262,2,1,1
LOC111110279,1,0,1
LOC111110286,1,0,1
LOC111110293,1,0,1
LOC111110296,6,5,1
LOC111110303,2,1,1
LOC111110308,0,1,-1
LOC111110316,4,5,-1
LOC111110318,1,2,-1
LOC111110319,2,1,1
LOC111110324,1,2,-1
LOC111110329,1,2,-1
LOC111110333,1,2,-1
LOC111110352,5,4,1
LOC111110354,0,1,-1
LOC111110358,1,0,1
LOC111110395,1,2,-1
LOC111110398,2,1,1
LOC111110462,1,0,1
LOC111110476,6,4,2
LOC111110477,1,2,-1
LOC111110489,0,1,-1
LOC111110495,7,8,-1
LOC111110513,1,0,1
LOC111110518,2,1,1
LOC111110523,2,1,1
LOC111110526,6,5,1
LOC111110527,2,1,1
LOC111110531,0,1,-1
LOC111110538,1,2,-1
LOC111110545,5,4,1
LOC111110556,1,2,-1
LOC111110570,1,0,1
LOC111110595,2,1,1
LOC111110609,4,2,2
LOC111110614,1,0,1
LOC111110615,2,3,-1
LOC111110620,1,0,1
LOC111110622,2,1,1
LOC111110626,1,0,1
LOC111110632,2,1,1
LOC111110633,1,3,-2
LOC111110634,2,1,1
LOC111110642,3,5,-2
LOC111110657,1,3,-2
LOC111110659,2,3,-1
LOC111110671,3,2,1
LOC111110672,2,1,1
LOC111110674,2,1,1
LOC111110708,2,1,1
LOC111110716,3,1,2
LOC111110730,1,0,1
LOC111110737,1,0,1
LOC111110738,3,1,2
LOC111110744,2,3,-1
LOC111110748,6,8,-2
LOC111110749,2,1,1
LOC111110752,0,1,-1
LOC111110769,1,0,1
LOC111110772,1,0,1
LOC111110773,1,0,1
LOC111110781,2,1,1
LOC111110782,3,2,1
LOC111110798,3,2,1
LOC111110803,0,1,-1
LOC111110813,1,2,-1
LOC111110814,3,2,1
LOC111110819,0,1,-1
LOC111110823,3,2,1
LOC111110837,1,0,1
LOC111110840,1,2,-1
LOC111110857,3,2,1
LOC111110858,1,0,1
LOC111110863,7,3,4
LOC111110866,1,0,1
LOC111110867,7,6,1
LOC111110881,2,3,-1
LOC111110890,4,5,-1
LOC111110905,3,2,1
LOC111110909,1,0,1
LOC111110910,2,3,-1
LOC111110914,1,0,1
LOC111110916,1,0,1
LOC111110928,1,0,1
LOC111110929,3,2,1
LOC111110936,0,1,-1
LOC111110957,3,2,1
LOC111110965,6,5,1
LOC111110968,1,0,1
LOC111110975,5,1,4
LOC111110979,9,8,1
LOC111110984,2,1,1
LOC111110985,3,4,-1
LOC111110987,0,1,-1
LOC111110997,13,16,-3
LOC111111003,3,2,1
LOC111111014,1,0,1
LOC111111017,3,2,1
LOC111111020,1,0,1
LOC111111023,2,1,1
LOC111111025,3,2,1
LOC111111028,2,3,-1
LOC111111036,1,0,1
LOC111111039,1,0,1
LOC111111050,11,10,1
LOC111111054,3,2,1
LOC111111058,9,8,1
LOC111111067,0,1,-1
LOC111111079,2,1,1
LOC111111097,0,1,-1
LOC111111099,2,1,1
LOC111111101,1,0,1
LOC111111103,1,0,1
LOC111111109,0,1,-1
LOC111111110,1,0,1
LOC111111114,1,0,1
LOC111111119,3,2,1
LOC111111131,3,2,1
LOC111111132,2,3,-1
LOC111111134,1,0,1
LOC111111135,2,1,1
LOC111111140,1,0,1
LOC111111147,1,0,1
LOC111111149,0,1,-1
LOC111111150,1,0,1
LOC111111156,4,5,-1
LOC111111161,1,2,-1
LOC111111180,1,0,1
LOC111111182,2,4,-2
LOC111111200,0,1,-1
LOC111111224,2,3,-1
LOC111111237,1,0,1
LOC111111255,6,2,4
LOC111111280,0,1,-1
LOC111111289,3,2,1
LOC111111294,5,4,1
LOC111111328,0,1,-1
LOC111111331,3,1,2
LOC111111333,7,6,1
LOC111111337,2,1,1
LOC111111343,4,1,3
LOC111111347,1,0,1
LOC111111350,2,1,1
LOC111111376,2,3,-1
LOC111111392,17,20,-3
LOC111111400,2,1,1
LOC111111409,2,1,1
LOC111111411,0,1,-1
LOC111111418,0,1,-1
LOC111111426,1,2,-1
LOC111111433,0,1,-1
LOC111111447,1,0,1
LOC111111451,3,4,-1
LOC111111454,0,1,-1
LOC111111455,0,1,-1
LOC111111465,2,1,1
LOC111111467,1,2,-1
LOC111111471,3,2,1
LOC111111474,1,0,1
LOC111111479,1,2,-1
LOC111111481,0,1,-1
LOC111111487,18,16,2
LOC111111491,2,1,1
LOC111111496,2,3,-1
LOC111111507,0,1,-1
LOC111111514,2,1,1
LOC111111516,1,2,-1
LOC111111518,0,1,-1
LOC111111525,2,1,1
LOC111111531,2,1,1
LOC111111535,2,1,1
LOC111111542,2,4,-2
LOC111111546,3,2,1
LOC111111553,3,2,1
LOC111111570,1,2,-1
LOC111111573,0,1,-1
LOC111111576,2,3,-1
LOC111111582,3,1,2
LOC111111589,2,1,1
LOC111111593,2,1,1
LOC111111599,8,6,2
LOC111111611,2,1,1
LOC111111623,0,1,-1
LOC111111624,4,2,2
LOC111111646,10,8,2
LOC111111648,1,2,-1
LOC111111661,1,2,-1
LOC111111664,1,0,1
LOC111111666,6,5,1
LOC111111671,1,2,-1
LOC111111673,1,2,-1
LOC111111674,2,1,1
LOC111111679,3,2,1
LOC111111690,1,2,-1
LOC111111698,3,2,1
LOC111111704,4,2,2
LOC111111721,3,4,-1
LOC111111723,1,2,-1
LOC111111727,1,0,1
LOC111111741,2,1,1
LOC111111743,1,0,1
LOC111111750,6,1,5
LOC111111751,2,1,1
LOC111111766,3,1,2
LOC111111772,0,2,-2
LOC111111775,1,0,1
LOC111111779,0,1,-1
LOC111111789,2,1,1
LOC111111790,1,0,1
LOC111111803,0,1,-1
LOC111111812,2,3,-1
LOC111111816,1,2,-1
LOC111111818,3,4,-1
LOC111111821,1,2,-1
LOC111111822,1,2,-1
LOC111111823,1,2,-1
LOC111111855,8,9,-1
LOC111111856,1,0,1
LOC111111867,2,1,1
LOC111111871,4,3,1
LOC111111872,2,3,-1
LOC111111873,2,3,-1
LOC111111903,0,1,-1
LOC111111906,1,2,-1
LOC111111912,2,1,1
LOC111111916,1,2,-1
LOC111111919,2,1,1
LOC111111927,1,0,1
LOC111111930,5,3,2
LOC111111940,3,1,2
LOC111111946,5,2,3
LOC111111948,2,1,1
LOC111111950,2,1,1
LOC111111954,1,0,1
LOC111111956,1,2,-1
LOC111111960,2,1,1
LOC111111963,1,0,1
LOC111111964,0,1,-1
LOC111111971,0,1,-1
LOC111111983,2,4,-2
LOC111111986,1,2,-1
LOC111111991,2,3,-1
LOC111111994,2,3,-1
LOC111112002,0,1,-1
LOC111112005,0,1,-1
LOC111112006,16,17,-1
LOC111112014,4,3,1
LOC111112028,10,8,2
LOC111112040,1,2,-1
LOC111112053,1,0,1
LOC111112062,2,1,1
LOC111112063,2,1,1
LOC111112065,2,1,1
LOC111112069,0,1,-1
LOC111112082,5,6,-1
LOC111112086,2,3,-1
LOC111112093,4,2,2
LOC111112095,2,1,1
LOC111112099,18,16,2
LOC111112114,6,4,2
LOC111112131,12,11,1
LOC111112135,2,1,1
LOC111112137,4,2,2
LOC111112138,2,1,1
LOC111112163,1,2,-1
LOC111112167,1,0,1
LOC111112168,4,3,1
LOC111112171,1,2,-1
LOC111112173,1,2,-1
LOC111112175,3,1,2
LOC111112182,0,1,-1
LOC111112187,1,0,1
LOC111112188,0,1,-1
LOC111112191,1,0,1
LOC111112196,1,0,1
LOC111112198,2,1,1
LOC111112201,2,3,-1
LOC111112202,3,4,-1
LOC111112208,1,0,1
LOC111112214,2,5,-3
LOC111112221,3,2,1
LOC111112227,3,4,-1
LOC111112233,0,1,-1
LOC111112235,1,0,1
LOC111112243,1,0,1
LOC111112248,0,1,-1
LOC111112251,2,3,-1
LOC111112264,0,1,-1
LOC111112272,2,1,1
LOC111112287,2,1,1
LOC111112306,1,0,1
LOC111112311,1,0,1
LOC111112317,1,0,1
LOC111112331,1,0,1
LOC111112335,1,0,1
LOC111112350,6,4,2
LOC111112352,6,3,3
LOC111112356,0,1,-1
LOC111112358,2,1,1
LOC111112365,2,1,1
LOC111112366,2,1,1
LOC111112374,3,1,2
LOC111112375,0,1,-1
LOC111112376,1,0,1
LOC111112384,1,0,1
LOC111112387,3,2,1
LOC111112397,1,2,-1
LOC111112400,6,5,1
LOC111112401,2,1,1
LOC111112433,7,3,4
LOC111112441,2,1,1
LOC111112446,2,1,1
LOC111112451,2,1,1
LOC111112470,0,1,-1
LOC111112478,3,2,1
LOC111112487,4,5,-1
LOC111112493,1,0,1
LOC111112495,0,1,-1
LOC111112504,2,3,-1
LOC111112506,2,1,1
LOC111112512,1,0,1
LOC111112513,1,2,-1
LOC111112517,1,2,-1
LOC111112520,0,1,-1
LOC111112536,0,1,-1
LOC111112548,1,0,1
LOC111112585,12,11,1
LOC111112588,14,12,2
LOC111112592,1,0,1
LOC111112603,5,4,1
LOC111112605,24,26,-2
LOC111112609,2,0,2
LOC111112612,3,4,-1
LOC111112614,4,2,2
LOC111112620,27,12,15
LOC111112624,4,3,1
LOC111112629,9,7,2
LOC111112646,1,2,-1
LOC111112650,2,1,1
LOC111112655,11,10,1
LOC111112657,2,1,1
LOC111112658,1,2,-1
LOC111112665,1,2,-1
LOC111112666,1,2,-1
LOC111112669,2,3,-1
LOC111112678,1,0,1
LOC111112687,2,1,1
LOC111112688,2,3,-1
LOC111112692,1,0,1
LOC111112695,2,1,1
LOC111112697,1,0,1
LOC111112699,5,4,1
LOC111112702,0,1,-1
LOC111112713,1,0,1
LOC111112720,9,10,-1
LOC111112735,1,0,1
LOC111112740,2,1,1
LOC111112741,3,5,-2
LOC111112744,6,5,1
LOC111112757,0,3,-3
LOC111112774,2,1,1
LOC111112775,2,1,1
LOC111112780,6,7,-1
LOC111112781,4,2,2
LOC111112785,1,0,1
LOC111112790,3,2,1
LOC111112800,2,1,1
LOC111112810,5,3,2
LOC111112811,6,4,2
LOC111112816,1,2,-1
LOC111112826,2,1,1
LOC111112827,2,1,1
LOC111112829,3,2,1
LOC111112839,6,4,2
LOC111112840,1,0,1
LOC111112856,1,0,1
LOC111112898,4,1,3
LOC111112902,2,1,1
LOC111112907,1,2,-1
LOC111112926,3,4,-1
LOC111112932,0,1,-1
LOC111112958,1,0,1
LOC111112966,1,2,-1
LOC111112970,2,1,1
LOC111112977,1,0,1
LOC111113012,0,1,-1
LOC111113019,3,2,1
LOC111113020,12,10,2
LOC111113025,1,2,-1
LOC111113027,1,2,-1
LOC111113033,3,4,-1
LOC111113035,3,2,1
LOC111113038,2,3,-1
LOC111113042,7,6,1
LOC111113053,1,2,-1
LOC111113062,5,1,4
LOC111113075,1,0,1
LOC111113082,1,2,-1
LOC111113083,1,0,1
LOC111113084,3,1,2
LOC111113090,4,5,-1
LOC111113095,1,0,1
LOC111113097,0,1,-1
LOC111113099,2,1,1
LOC111113102,0,1,-1
LOC111113107,3,1,2
LOC111113109,3,1,2
LOC111113111,1,0,1
LOC111113124,4,6,-2
LOC111113125,5,3,2
LOC111113129,9,7,2
LOC111113146,1,0,1
LOC111113147,1,0,1
LOC111113156,0,1,-1
LOC111113157,7,8,-1
LOC111113159,3,4,-1
LOC111113163,11,10,1
LOC111113166,1,3,-2
LOC111113172,2,1,1
LOC111113173,12,10,2
LOC111113174,4,3,1
LOC111113175,14,13,1
LOC111113184,1,0,1
LOC111113188,3,4,-1
LOC111113202,1,2,-1
LOC111113208,5,6,-1
LOC111113223,2,1,1
LOC111113225,3,1,2
LOC111113255,1,0,1
LOC111113274,7,2,5
LOC111113290,2,1,1
LOC111113294,1,2,-1
LOC111113309,6,5,1
LOC111113311,2,1,1
LOC111113316,5,3,2
LOC111113320,1,2,-1
LOC111113342,3,2,1
LOC111113345,2,4,-2
LOC111113346,3,2,1
LOC111113349,1,2,-1
LOC111113351,0,1,-1
LOC111113352,5,6,-1
LOC111113355,10,9,1
LOC111113358,6,3,3
LOC111113360,3,2,1
LOC111113363,3,4,-1
LOC111113416,5,4,1
LOC111113422,2,1,1
LOC111113428,8,7,1
LOC111113440,1,2,-1
LOC111113447,3,4,-1
LOC111113449,1,2,-1
LOC111113456,0,1,-1
LOC111113457,1,0,1
LOC111113459,1,0,1
LOC111113463,1,0,1
LOC111113464,1,0,1
LOC111113465,1,0,1
LOC111113481,1,0,1
LOC111113506,0,1,-1
LOC111113516,0,1,-1
LOC111113520,1,0,1
LOC111113524,2,1,1
LOC111113530,1,0,1
LOC111113539,1,0,1
LOC111113540,1,0,1
LOC111113553,1,0,1
LOC111113554,5,4,1
LOC111113555,1,0,1
LOC111113560,0,1,-1
LOC111113592,2,1,1
LOC111113611,1,0,1
LOC111113632,0,1,-1
LOC111113638,0,1,-1
LOC111113645,0,1,-1
LOC111113647,0,1,-1
LOC111113654,1,0,1
LOC111113655,1,0,1
LOC111113665,1,0,1
LOC111113676,1,0,1
LOC111113685,1,0,1
LOC111113689,0,1,-1
LOC111113693,0,1,-1
LOC111113712,1,0,1
LOC111113723,1,0,1
LOC111113746,0,1,-1
LOC111113757,0,1,-1
LOC111113760,0,1,-1
LOC111113765,1,0,1
LOC111113772,0,1,-1
LOC111113776,0,1,-1
LOC111113784,0,1,-1
LOC111113792,0,1,-1
LOC111113810,1,0,1
LOC111113835,0,1,-1
LOC111113842,1,0,1
LOC111113851,0,1,-1
LOC111113855,0,1,-1
LOC111113858,0,1,-1
LOC111113867,1,0,1
LOC111113869,1,0,1
LOC111113874,1,0,1
LOC111113884,0,1,-1
LOC111113908,1,0,1
LOC111113910,1,0,1
LOC111113920,0,1,-1
LOC111114043,1,0,1
LOC111114124,1,0,1
LOC111114160,1,0,1
LOC111114167,1,0,1
LOC111114185,0,1,-1
LOC111114190,0,1,-1
LOC111114199,0,1,-1
LOC111114216,1,0,1
LOC111114221,1,0,1
LOC111114226,0,1,-1
LOC111114227,1,0,1
LOC111114239,0,1,-1
LOC111114271,1,0,1
LOC111114283,7,4,3
LOC111114284,1,0,1
LOC111114320,1,0,1
LOC111114321,1,0,1
LOC111114346,4,3,1
LOC111114359,0,1,-1
LOC111114364,0,1,-1
LOC111114365,1,0,1
LOC111114374,1,0,1
LOC111114375,0,1,-1
LOC111114395,1,0,1
LOC111114399,1,0,1
LOC111114401,1,0,1
LOC111114434,1,0,1
LOC111114437,1,0,1
LOC111114459,6,4,2
LOC111114467,2,1,1
LOC111114475,4,2,2
LOC111114486,3,2,1
LOC111114491,3,1,2
LOC111114492,2,1,1
LOC111114495,4,2,2
LOC111114504,0,1,-1
LOC111114510,2,1,1
LOC111114512,1,0,1
LOC111114513,1,0,1
LOC111114521,1,2,-1
LOC111114526,1,2,-1
LOC111114528,0,1,-1
LOC111114549,2,1,1
LOC111114581,2,1,1
LOC111114587,3,2,1
LOC111114612,1,0,1
LOC111114644,4,6,-2
LOC111114645,1,0,1
LOC111114650,3,2,1
LOC111114652,1,0,1
LOC111114658,1,0,1
LOC111114664,2,1,1
LOC111114666,1,2,-1
LOC111114683,2,1,1
LOC111114692,2,1,1
LOC111114697,0,1,-1
LOC111114705,2,3,-1
LOC111114709,1,2,-1
LOC111114711,2,3,-1
LOC111114714,4,3,1
LOC111114715,3,4,-1
LOC111114725,2,1,1
LOC111114726,1,0,1
LOC111114747,4,3,1
LOC111114771,5,6,-1
LOC111114802,2,1,1
LOC111114803,2,3,-1
LOC111114807,9,13,-4
LOC111114816,2,3,-1
LOC111114820,4,5,-1
LOC111114825,3,1,2
LOC111114827,2,1,1
LOC111114828,2,1,1
LOC111114836,3,4,-1
LOC111114842,4,5,-1
LOC111114844,2,1,1
LOC111114851,1,2,-1
LOC111114859,2,3,-1
LOC111114862,3,2,1
LOC111114863,2,1,1
LOC111114865,4,2,2
LOC111114875,0,1,-1
LOC111114882,4,3,1
LOC111114887,5,4,1
LOC111114891,2,1,1
LOC111114896,3,2,1
LOC111114900,5,6,-1
LOC111114916,0,1,-1
LOC111114928,2,1,1
LOC111114933,1,2,-1
LOC111114936,2,3,-1
LOC111114947,6,5,1
LOC111114949,2,1,1
LOC111114958,1,2,-1
LOC111114959,1,2,-1
LOC111114972,3,2,1
LOC111114979,3,4,-1
LOC111114985,1,2,-1
LOC111114987,2,3,-1
LOC111114994,1,2,-1
LOC111114997,1,2,-1
LOC111115006,3,2,1
LOC111115007,1,0,1
LOC111115010,1,2,-1
LOC111115025,2,0,2
LOC111115028,0,1,-1
LOC111115029,0,1,-1
LOC111115032,0,1,-1
LOC111115039,0,1,-1
LOC111115070,0,1,-1
LOC111115085,2,1,1
LOC111115090,1,2,-1
LOC111115098,0,1,-1
LOC111115118,2,1,1
LOC111115120,1,3,-2
LOC111115123,9,6,3
LOC111115128,2,1,1
LOC111115129,3,2,1
LOC111115138,4,3,1
LOC111115146,2,3,-1
LOC111115151,2,1,1
LOC111115152,1,0,1
LOC111115163,1,2,-1
LOC111115175,2,1,1
LOC111115182,2,1,1
LOC111115187,1,0,1
LOC111115196,0,1,-1
LOC111115199,1,2,-1
LOC111115202,1,2,-1
LOC111115229,1,0,1
LOC111115251,2,1,1
LOC111115257,3,2,1
LOC111115259,3,2,1
LOC111115260,3,2,1
LOC111115280,2,1,1
LOC111115282,1,0,1
LOC111115287,1,0,1
LOC111115293,0,1,-1
LOC111115295,0,2,-2
LOC111115297,0,1,-1
LOC111115305,1,2,-1
LOC111115306,5,4,1
LOC111115313,0,1,-1
LOC111115314,1,0,1
LOC111115315,0,1,-1
LOC111115316,0,1,-1
LOC111115320,0,1,-1
LOC111115322,2,1,1
LOC111115328,1,0,1
LOC111115337,1,0,1
LOC111115341,8,6,2
LOC111115349,1,0,1
LOC111115351,0,1,-1
LOC111115352,1,0,1
LOC111115353,3,1,2
LOC111115370,1,2,-1
LOC111115373,2,1,1
LOC111115402,0,2,-2
LOC111115412,1,2,-1
LOC111115435,2,1,1
LOC111115440,1,0,1
LOC111115448,1,0,1
LOC111115453,2,1,1
LOC111115459,1,0,1
LOC111115471,3,2,1
LOC111115474,3,5,-2
LOC111115476,1,0,1
LOC111115478,1,0,1
LOC111115507,0,1,-1
LOC111115511,0,1,-1
LOC111115516,2,0,2
LOC111115530,2,1,1
LOC111115531,3,1,2
LOC111115533,1,2,-1
LOC111115540,4,3,1
LOC111115545,1,2,-1
LOC111115549,1,2,-1
LOC111115552,1,0,1
LOC111115563,1,0,1
LOC111115566,1,2,-1
LOC111115581,3,4,-1
LOC111115585,1,2,-1
LOC111115591,1,2,-1
LOC111115596,2,1,1
LOC111115599,3,1,2
LOC111115602,1,0,1
LOC111115605,2,1,1
LOC111115612,17,13,4
LOC111115625,1,0,1
LOC111115627,2,1,1
LOC111115650,1,2,-1
LOC111115654,0,1,-1
LOC111115655,1,2,-1
LOC111115656,1,2,-1
LOC111115659,2,1,1
LOC111115663,2,0,2
LOC111115664,1,0,1
LOC111115670,2,1,1
LOC111115675,4,3,1
LOC111115698,2,3,-1
LOC111115700,1,0,1
LOC111115701,0,1,-1
LOC111115704,1,2,-1
LOC111115717,2,1,1
LOC111115727,1,0,1
LOC111115743,2,1,1
LOC111115746,2,1,1
LOC111115763,1,0,1
LOC111115765,2,1,1
LOC111115780,1,2,-1
LOC111115787,1,0,1
LOC111115788,2,1,1
LOC111115790,1,3,-2
LOC111115795,16,14,2
LOC111115805,0,1,-1
LOC111115815,1,2,-1
LOC111115825,0,1,-1
LOC111115834,3,1,2
LOC111115844,11,9,2
LOC111115851,2,1,1
LOC111115862,1,0,1
LOC111115869,1,2,-1
LOC111115873,3,2,1
LOC111115877,0,1,-1
LOC111115882,2,1,1
LOC111115885,2,1,1
LOC111115888,0,1,-1
LOC111115894,3,4,-1
LOC111115896,8,9,-1
LOC111115900,2,1,1
LOC111115902,1,0,1
LOC111115912,4,3,1
LOC111115920,3,2,1
LOC111115921,1,2,-1
LOC111115931,1,0,1
LOC111115933,0,1,-1
LOC111115938,2,3,-1
LOC111115940,2,1,1
LOC111115962,3,4,-1
LOC111115974,2,1,1
LOC111115979,4,2,2
LOC111115981,2,1,1
LOC111115982,0,1,-1
LOC111115986,1,2,-1
LOC111115991,1,0,1
LOC111115995,5,4,1
