gene_name,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,difference
LOC111099619,0,1,-1
LOC111099632,1,3,-2
LOC111099634,1,0,1
LOC111099639,4,3,1
LOC111099646,2,1,1
LOC111099649,1,2,-1
LOC111099655,1,2,-1
LOC111099662,1,0,1
LOC111099663,2,3,-1
LOC111099667,1,0,1
LOC111099668,2,1,1
LOC111099673,4,1,3
LOC111099675,1,2,-1
LOC111099678,1,3,-2
LOC111099684,2,1,1
LOC111099686,2,1,1
LOC111099689,1,2,-1
LOC111099692,10,6,4
LOC111099696,3,2,1
LOC111099698,1,0,1
LOC111099700,5,3,2
LOC111099706,3,2,1
LOC111099707,0,1,-1
LOC111099708,0,1,-1
LOC111099711,4,1,3
LOC111099726,1,0,1
LOC111099733,1,2,-1
LOC111099734,2,1,1
LOC111099746,6,4,2
LOC111099747,4,5,-1
LOC111099754,2,1,1
LOC111099766,2,1,1
LOC111099767,3,1,2
LOC111099770,3,2,1
LOC111099771,4,5,-1
LOC111099781,5,4,1
LOC111099789,3,1,2
LOC111099794,3,5,-2
LOC111099804,2,1,1
LOC111099809,0,1,-1
LOC111099833,0,1,-1
LOC111099840,0,1,-1
LOC111099841,2,1,1
LOC111099848,0,1,-1
LOC111099849,6,1,5
LOC111099852,0,2,-2
LOC111099858,1,0,1
LOC111099870,12,8,4
LOC111099877,1,2,-1
LOC111099879,1,2,-1
LOC111099880,3,2,1
LOC111099886,6,4,2
LOC111099891,0,1,-1
LOC111099892,3,5,-2
LOC111099894,2,1,1
LOC111099895,2,3,-1
LOC111099896,2,1,1
LOC111099899,3,2,1
LOC111099903,1,2,-1
LOC111099905,1,4,-3
LOC111099911,3,4,-1
LOC111099912,1,0,1
LOC111099920,4,2,2
LOC111099925,1,2,-1
LOC111099931,0,1,-1
LOC111099944,2,1,1
LOC111099945,2,1,1
LOC111099947,2,1,1
LOC111099950,0,1,-1
LOC111099951,0,1,-1
LOC111099955,0,1,-1
LOC111099965,4,2,2
LOC111099980,17,12,5
LOC111099984,0,1,-1
LOC111099987,2,4,-2
LOC111099989,2,1,1
LOC111099995,7,5,2
LOC111099999,2,0,2
LOC111100005,1,2,-1
LOC111100010,4,3,1
LOC111100020,2,1,1
LOC111100021,2,1,1
LOC111100026,5,8,-3
LOC111100028,2,3,-1
LOC111100030,0,1,-1
LOC111100034,5,4,1
LOC111100037,2,1,1
LOC111100050,2,1,1
LOC111100057,2,1,1
LOC111100059,1,0,1
LOC111100065,4,3,1
LOC111100066,1,2,-1
LOC111100068,1,2,-1
LOC111100069,3,2,1
LOC111100070,1,2,-1
LOC111100078,4,3,1
LOC111100093,2,1,1
LOC111100100,1,2,-1
LOC111100102,0,1,-1
LOC111100114,2,1,1
LOC111100117,5,3,2
LOC111100118,4,2,2
LOC111100121,0,1,-1
LOC111100122,0,1,-1
LOC111100126,0,1,-1
LOC111100138,1,2,-1
LOC111100142,1,2,-1
LOC111100148,5,4,1
LOC111100151,0,1,-1
LOC111100152,1,2,-1
LOC111100153,0,1,-1
LOC111100154,12,9,3
LOC111100155,0,1,-1
LOC111100157,1,0,1
LOC111100165,4,3,1
LOC111100174,0,1,-1
LOC111100176,5,6,-1
LOC111100182,1,2,-1
LOC111100185,1,2,-1
LOC111100186,4,3,1
LOC111100192,7,6,1
LOC111100196,4,2,2
LOC111100198,2,1,1
LOC111100207,1,3,-2
LOC111100219,5,4,1
LOC111100224,3,1,2
LOC111100225,1,2,-1
LOC111100226,0,1,-1
LOC111100234,2,1,1
LOC111100239,8,7,1
LOC111100240,2,3,-1
LOC111100241,5,3,2
LOC111100250,0,1,-1
LOC111100257,4,3,1
LOC111100276,0,1,-1
LOC111100277,7,6,1
LOC111100278,7,4,3
LOC111100279,2,1,1
LOC111100292,3,2,1
LOC111100294,3,4,-1
LOC111100296,2,3,-1
LOC111100304,4,1,3
LOC111100310,1,0,1
LOC111100311,2,1,1
LOC111100321,2,1,1
LOC111100326,3,2,1
LOC111100327,6,5,1
LOC111100328,0,1,-1
LOC111100329,5,3,2
LOC111100330,5,3,2
LOC111100331,2,3,-1
LOC111100336,7,5,2
LOC111100338,1,0,1
LOC111100344,4,3,1
LOC111100361,0,1,-1
LOC111100362,3,2,1
LOC111100366,2,3,-1
LOC111100375,7,6,1
LOC111100377,0,1,-1
LOC111100384,5,4,1
LOC111100389,8,6,2
LOC111100392,13,9,4
LOC111100394,1,2,-1
LOC111100397,1,2,-1
LOC111100402,4,3,1
LOC111100403,9,10,-1
LOC111100406,9,7,2
LOC111100407,7,4,3
LOC111100408,3,5,-2
LOC111100409,4,1,3
LOC111100411,1,2,-1
LOC111100414,1,2,-1
LOC111100418,2,3,-1
LOC111100420,1,3,-2
LOC111100421,3,4,-1
LOC111100425,5,4,1
LOC111100436,5,6,-1
LOC111100444,7,9,-2
LOC111100465,7,8,-1
LOC111100466,8,3,5
LOC111100469,0,1,-1
LOC111100470,3,1,2
LOC111100471,6,5,1
LOC111100476,3,2,1
LOC111100477,3,2,1
LOC111100481,6,5,1
LOC111100486,3,4,-1
LOC111100506,3,1,2
LOC111100510,2,1,1
LOC111100522,6,5,1
LOC111100523,10,6,4
LOC111100540,2,1,1
LOC111100543,1,2,-1
LOC111100546,3,2,1
LOC111100548,9,8,1
LOC111100568,6,7,-1
LOC111100572,2,1,1
LOC111100577,6,7,-1
LOC111100579,2,3,-1
LOC111100586,5,6,-1
LOC111100619,1,2,-1
LOC111100623,3,2,1
LOC111100625,3,2,1
LOC111100628,3,1,2
LOC111100633,2,1,1
LOC111100634,1,2,-1
LOC111100635,2,1,1
LOC111100642,2,3,-1
LOC111100658,0,1,-1
LOC111100698,0,1,-1
LOC111100731,0,1,-1
LOC111100734,2,4,-2
LOC111100738,0,1,-1
LOC111100751,0,1,-1
LOC111100752,3,2,1
LOC111100765,6,5,1
LOC111100788,7,4,3
LOC111100790,3,2,1
LOC111100792,9,7,2
LOC111100816,2,1,1
LOC111100824,1,2,-1
LOC111100827,2,1,1
LOC111100838,5,1,4
LOC111100840,2,5,-3
LOC111100844,3,2,1
LOC111100858,7,3,4
LOC111100861,2,1,1
LOC111100867,2,1,1
LOC111100869,3,4,-1
LOC111100872,3,2,1
LOC111100875,4,3,1
LOC111100876,2,1,1
LOC111100878,3,2,1
LOC111100893,2,3,-1
LOC111100894,4,5,-1
LOC111100895,2,1,1
LOC111100896,11,9,2
LOC111100906,4,3,1
LOC111100913,2,1,1
LOC111100915,1,2,-1
LOC111100924,5,3,2
LOC111100943,1,2,-1
LOC111100945,2,3,-1
LOC111100954,1,2,-1
LOC111100964,3,2,1
LOC111100970,0,1,-1
LOC111100974,2,1,1
LOC111100978,0,1,-1
LOC111100983,2,1,1
LOC111100984,5,2,3
LOC111100989,9,8,1
LOC111100993,2,3,-1
LOC111100998,0,1,-1
LOC111101001,1,2,-1
LOC111101010,1,2,-1
LOC111101014,3,2,1
LOC111101015,2,1,1
LOC111101016,2,1,1
LOC111101019,1,0,1
LOC111101026,3,2,1
LOC111101027,4,3,1
LOC111101028,3,2,1
LOC111101036,20,15,5
LOC111101049,6,5,1
LOC111101050,8,7,1
LOC111101055,5,4,1
LOC111101060,6,5,1
LOC111101077,2,1,1
LOC111101081,1,2,-1
LOC111101086,2,1,1
LOC111101098,0,1,-1
LOC111101102,4,2,2
LOC111101103,6,8,-2
LOC111101104,1,0,1
LOC111101105,2,1,1
LOC111101114,2,1,1
LOC111101116,3,1,2
LOC111101125,1,0,1
LOC111101134,2,3,-1
LOC111101136,1,3,-2
LOC111101137,4,3,1
LOC111101139,3,2,1
LOC111101141,2,1,1
LOC111101148,4,3,1
LOC111101159,1,2,-1
LOC111101163,7,5,2
LOC111101166,4,5,-1
LOC111101180,2,1,1
LOC111101190,3,2,1
LOC111101205,1,2,-1
LOC111101206,2,5,-3
LOC111101212,13,16,-3
LOC111101229,2,1,1
LOC111101230,3,1,2
LOC111101249,3,2,1
LOC111101251,5,3,2
LOC111101255,1,2,-1
LOC111101256,1,2,-1
LOC111101258,4,2,2
LOC111101274,2,1,1
LOC111101276,2,3,-1
LOC111101277,2,1,1
LOC111101293,1,2,-1
LOC111101298,2,1,1
LOC111101301,4,0,4
LOC111101304,1,2,-1
LOC111101332,1,2,-1
LOC111101352,0,1,-1
LOC111101355,1,2,-1
LOC111101369,1,3,-2
LOC111101370,3,0,3
LOC111101371,2,1,1
LOC111101381,1,3,-2
LOC111101393,2,3,-1
LOC111101402,2,1,1
LOC111101405,1,2,-1
LOC111101410,2,1,1
LOC111101412,6,2,4
LOC111101438,2,1,1
LOC111101442,1,0,1
LOC111101448,3,4,-1
LOC111101455,3,2,1
LOC111101462,2,1,1
LOC111101465,1,2,-1
LOC111101471,6,5,1
LOC111101473,3,1,2
LOC111101503,1,0,1
LOC111101505,2,3,-1
LOC111101513,1,0,1
LOC111101518,4,3,1
LOC111101524,2,1,1
LOC111101526,4,2,2
LOC111101534,0,1,-1
LOC111101543,1,2,-1
LOC111101544,2,1,1
LOC111101545,2,1,1
LOC111101552,3,1,2
LOC111101555,0,1,-1
LOC111101582,0,1,-1
LOC111101588,5,4,1
LOC111101592,1,2,-1
LOC111101597,0,1,-1
LOC111101602,1,2,-1
LOC111101603,5,4,1
LOC111101604,1,2,-1
LOC111101607,5,6,-1
LOC111101612,10,4,6
LOC111101621,2,4,-2
LOC111101625,1,2,-1
LOC111101628,1,2,-1
LOC111101629,4,2,2
LOC111101636,2,1,1
LOC111101639,2,3,-1
LOC111101645,2,1,1
LOC111101651,2,1,1
