gene_name,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,difference
LOC111105463,0,1,-1
LOC111105475,1,2,-1
LOC111105478,3,2,1
LOC111105479,1,2,-1
LOC111105480,0,3,-3
LOC111105482,1,2,-1
LOC111105489,1,2,-1
LOC111105494,3,2,1
LOC111105499,3,2,1
LOC111105501,2,3,-1
LOC111105503,2,1,1
LOC111105509,7,5,2
LOC111105511,3,4,-1
LOC111105522,2,1,1
LOC111105534,0,1,-1
LOC111105540,1,2,-1
LOC111105545,1,3,-2
LOC111105549,1,2,-1
LOC111105552,4,3,1
LOC111105575,1,2,-1
LOC111105577,0,1,-1
LOC111105609,2,3,-1
LOC111105611,1,0,1
LOC111105618,0,1,-1
LOC111105619,4,3,1
LOC111105620,0,1,-1
LOC111105622,0,1,-1
LOC111105624,2,1,1
LOC111105631,0,1,-1
LOC111105634,1,2,-1
LOC111105659,2,1,1
LOC111105679,1,2,-1
LOC111105684,1,5,-4
LOC111105713,5,3,2
LOC111105716,15,9,6
LOC111105732,1,2,-1
LOC111105746,1,2,-1
LOC111105754,4,2,2
LOC111105770,1,2,-1
LOC111105771,0,1,-1
LOC111105777,0,1,-1
LOC111105783,1,2,-1
LOC111105787,0,1,-1
LOC111105800,0,1,-1
LOC111105801,2,4,-2
LOC111105804,1,2,-1
LOC111105805,2,1,1
LOC111105807,19,15,4
LOC111105814,1,2,-1
LOC111105816,2,1,1
LOC111105820,0,1,-1
LOC111105825,3,2,1
LOC111105828,12,9,3
LOC111105830,1,2,-1
LOC111105835,1,3,-2
LOC111105837,0,1,-1
LOC111105842,3,2,1
LOC111105847,5,4,1
LOC111105861,0,1,-1
LOC111105862,2,1,1
LOC111105873,0,1,-1
LOC111105885,0,1,-1
LOC111105887,0,1,-1
LOC111105891,1,2,-1
LOC111105901,2,1,1
LOC111105903,2,1,1
LOC111105904,8,12,-4
LOC111105910,1,2,-1
LOC111105919,1,2,-1
LOC111105922,1,2,-1
LOC111105931,2,1,1
LOC111105939,2,3,-1
LOC111105940,1,2,-1
LOC111105949,2,1,1
LOC111105970,1,2,-1
LOC111105975,1,2,-1
LOC111105979,2,1,1
LOC111105984,2,1,1
LOC111105993,0,1,-1
LOC111105995,0,1,-1
LOC111105996,0,1,-1
LOC111105998,0,1,-1
LOC111106007,1,2,-1
LOC111106009,1,2,-1
LOC111106023,4,3,1
LOC111106026,7,6,1
LOC111106057,1,2,-1
LOC111106078,1,3,-2
LOC111106086,0,1,-1
LOC111106095,1,2,-1
LOC111106099,1,0,1
LOC111106104,2,1,1
LOC111106113,0,1,-1
LOC111106119,10,5,5
LOC111106126,2,1,1
LOC111106137,0,1,-1
LOC111106147,0,1,-1
LOC111106150,1,2,-1
LOC111106154,1,2,-1
LOC111106157,1,2,-1
LOC111106158,2,1,1
LOC111106160,0,1,-1
LOC111106170,1,2,-1
LOC111106179,1,2,-1
LOC111106188,0,1,-1
LOC111106189,5,4,1
LOC111106195,0,1,-1
LOC111106199,1,5,-4
LOC111106203,2,1,1
LOC111106212,6,3,3
LOC111106214,1,0,1
LOC111106225,1,2,-1
LOC111106228,3,1,2
LOC111106238,2,3,-1
LOC111106240,10,7,3
LOC111106245,1,2,-1
LOC111106255,3,2,1
LOC111106260,1,3,-2
LOC111106267,1,3,-2
LOC111106279,1,0,1
LOC111106280,0,1,-1
LOC111106281,1,2,-1
LOC111106287,1,0,1
LOC111106299,5,4,1
LOC111106301,3,2,1
LOC111106302,1,2,-1
LOC111106307,2,3,-1
LOC111106313,1,0,1
LOC111106315,1,2,-1
LOC111106336,3,4,-1
LOC111106339,4,5,-1
LOC111106341,0,1,-1
LOC111106344,1,2,-1
LOC111106374,0,1,-1
LOC111106379,0,1,-1
LOC111106389,1,3,-2
LOC111106393,1,2,-1
LOC111106412,2,1,1
LOC111106415,0,1,-1
LOC111106420,0,2,-2
LOC111106430,0,1,-1
LOC111106436,0,1,-1
LOC111106453,0,1,-1
LOC111106455,4,3,1
LOC111106461,3,2,1
LOC111106465,2,5,-3
LOC111106466,2,1,1
LOC111106471,1,2,-1
LOC111106488,0,1,-1
LOC111106496,3,2,1
LOC111106502,1,2,-1
LOC111106507,1,2,-1
LOC111106508,5,3,2
LOC111106514,2,3,-1
LOC111106516,2,3,-1
LOC111106520,2,3,-1
LOC111106533,0,1,-1
LOC111106535,2,1,1
LOC111106546,2,3,-1
LOC111106556,2,1,1
LOC111106558,1,2,-1
LOC111106567,2,1,1
LOC111106578,1,2,-1
LOC111106580,1,2,-1
LOC111106589,2,1,1
LOC111106605,1,2,-1
LOC111106607,2,1,1
LOC111106611,1,2,-1
LOC111106614,1,2,-1
LOC111106615,0,1,-1
LOC111106620,1,2,-1
LOC111106630,3,2,1
LOC111106639,11,10,1
LOC111106647,0,1,-1
LOC111106654,2,1,1
LOC111106656,2,3,-1
LOC111106663,1,2,-1
LOC111106664,1,2,-1
LOC111106668,2,4,-2
LOC111106672,1,2,-1
LOC111106678,1,2,-1
LOC111106679,0,1,-1
LOC111106688,0,1,-1
LOC111106698,3,2,1
LOC111106701,2,1,1
LOC111106706,3,2,1
LOC111106711,2,0,2
LOC111106714,1,2,-1
LOC111106717,1,2,-1
LOC111106723,0,1,-1
LOC111106731,3,5,-2
LOC111106739,1,2,-1
LOC111106744,0,1,-1
LOC111106749,2,3,-1
LOC111106751,2,1,1
LOC111106752,8,7,1
LOC111106754,5,4,1
LOC111106755,2,1,1
LOC111106768,2,1,1
LOC111106776,2,1,1
LOC111106778,1,2,-1
LOC111106790,1,2,-1
LOC111106795,2,1,1
LOC111106808,2,3,-1
LOC111106814,0,1,-1
LOC111106819,2,1,1
LOC111106825,1,2,-1
LOC111106830,11,7,4
LOC111106835,0,1,-1
LOC111106837,2,3,-1
LOC111106854,1,2,-1
LOC111106859,4,3,1
LOC111106861,5,3,2
LOC111106862,6,4,2
LOC111106865,0,1,-1
LOC111106867,1,2,-1
LOC111106871,1,0,1
LOC111106885,5,3,2
LOC111106889,0,2,-2
LOC111106900,2,1,1
LOC111106901,4,2,2
LOC111106905,2,1,1
LOC111106944,4,2,2
LOC111106946,1,2,-1
LOC111106952,2,1,1
LOC111106974,2,1,1
LOC111106979,1,2,-1
LOC111106980,12,13,-1
LOC111106984,0,1,-1
LOC111106989,1,0,1
LOC111106990,2,1,1
LOC111106992,3,2,1
LOC111106996,0,1,-1
LOC111106997,1,0,1
LOC111107004,0,1,-1
LOC111107009,4,3,1
LOC111107025,2,3,-1
LOC111107032,2,1,1
LOC111107041,1,2,-1
LOC111107046,5,4,1
LOC111107048,2,3,-1
LOC111107058,5,4,1
LOC111107064,10,8,2
LOC111107068,2,1,1
LOC111107073,0,1,-1
LOC111107076,0,1,-1
LOC111107077,0,1,-1
LOC111107079,0,1,-1
LOC111107084,4,3,1
LOC111107085,2,1,1
LOC111107090,0,1,-1
LOC111107094,1,4,-3
LOC111107095,0,1,-1
LOC111107096,4,1,3
LOC111107097,4,2,2
LOC111107099,4,3,1
LOC111107101,0,1,-1
LOC111107104,7,5,2
LOC111107128,0,1,-1
LOC111107129,0,1,-1
LOC111107136,2,1,1
LOC111107138,8,5,3
LOC111107143,2,1,1
LOC111107144,2,5,-3
LOC111107147,0,1,-1
LOC111107154,9,7,2
LOC111107155,5,8,-3
LOC111107161,0,1,-1
LOC111107184,1,0,1
LOC111107185,6,4,2
LOC111107186,1,2,-1
LOC111107197,2,1,1
LOC111107203,0,1,-1
LOC111107204,9,8,1
LOC111107211,0,1,-1
LOC111107223,0,1,-1
LOC111107224,4,5,-1
LOC111107241,2,1,1
LOC111107250,10,7,3
LOC111107253,3,2,1
LOC111107257,4,3,1
LOC111107266,2,4,-2
LOC111107271,2,3,-1
LOC111107278,9,8,1
LOC111107281,1,2,-1
LOC111107284,1,3,-2
LOC111107287,2,1,1
LOC111107298,3,2,1
LOC111107314,0,1,-1
LOC111107325,4,3,1
LOC111107328,7,9,-2
LOC111107342,4,3,1
LOC111107349,6,5,1
LOC111107352,0,1,-1
LOC111107360,2,3,-1
LOC111107363,4,3,1
LOC111107364,5,3,2
LOC111107370,1,2,-1
LOC111107371,2,1,1
LOC111107386,0,1,-1
LOC111107387,4,3,1
LOC111107397,1,0,1
LOC111107402,5,4,1
LOC111107404,4,3,1
LOC111107409,5,4,1
LOC111107417,0,1,-1
LOC111107424,1,2,-1
LOC111107435,0,1,-1
LOC111107437,2,1,1
LOC111107443,11,9,2
LOC111107475,0,1,-1
LOC111107485,2,1,1
LOC111107486,1,2,-1
LOC111107489,1,2,-1
LOC111107493,2,3,-1
LOC111107498,0,1,-1
LOC111107500,0,1,-1
LOC111107518,10,7,3
LOC111107523,2,1,1
LOC111107541,0,1,-1
LOC111107549,3,4,-1
LOC111107551,1,3,-2
LOC111107555,3,1,2
LOC111107556,1,2,-1
LOC111107560,5,4,1
LOC111107576,1,2,-1
LOC111107583,1,0,1
LOC111107585,1,0,1
LOC111107595,7,6,1
LOC111107596,2,1,1
LOC111107601,0,1,-1
LOC111107627,4,3,1
LOC111107631,1,2,-1
LOC111107637,1,2,-1
LOC111107662,2,4,-2
LOC111107668,3,2,1
LOC111107672,3,4,-1
LOC111107675,2,1,1
LOC111107695,9,5,4
LOC111107697,2,1,1
LOC111107701,1,2,-1
LOC111107704,2,1,1
LOC111107716,3,4,-1
LOC111107723,0,1,-1
LOC111107727,10,7,3
LOC111107731,11,9,2
LOC111107737,2,1,1
LOC111107739,3,5,-2
LOC111107740,0,1,-1
LOC111107745,0,1,-1
LOC111107746,0,1,-1
LOC111107760,2,1,1
LOC111107767,2,3,-1
LOC111107777,0,1,-1
LOC111107778,0,1,-1
LOC111107779,3,2,1
LOC111107786,3,2,1
LOC111107808,2,1,1
LOC111107822,3,4,-1
LOC111107823,2,3,-1
LOC111107827,6,5,1
LOC111107829,0,1,-1
LOC111107834,1,2,-1
LOC111107837,2,1,1
LOC111107852,4,3,1
LOC111107854,5,4,1
LOC111107858,2,1,1
LOC111107863,4,2,2
LOC111107864,0,1,-1
LOC111107870,0,1,-1
LOC111107907,4,3,1
LOC111107911,4,3,1
LOC111107913,15,12,3
LOC111107917,6,3,3
LOC111107930,2,1,1
LOC111107933,14,12,2
LOC111107935,2,3,-1
LOC111107938,2,3,-1
LOC111107940,1,2,-1
LOC111107943,0,1,-1
LOC111107947,2,3,-1
LOC111107949,2,3,-1
LOC111107953,1,2,-1
LOC111107955,5,4,1
LOC111107979,0,1,-1
LOC111107985,2,3,-1
LOC111107997,4,3,1
LOC111107998,0,1,-1
LOC111108000,0,1,-1
LOC111108006,8,6,2
LOC111108010,6,5,1
LOC111108012,2,1,1
LOC111108013,0,1,-1
LOC111108026,1,2,-1
LOC111108030,2,1,1
LOC111108034,0,1,-1
LOC111108035,0,1,-1
LOC111108038,3,2,1
LOC111108045,1,2,-1
LOC111108046,4,1,3
LOC111108048,2,1,1
LOC111108050,7,6,1
LOC111108054,2,1,1
LOC111108060,5,3,2
LOC111108061,6,4,2
LOC111108064,2,1,1
LOC111108071,1,2,-1
LOC111108073,0,1,-1
LOC111108075,0,1,-1
LOC111108079,0,1,-1
LOC111108086,22,12,10
LOC111108087,0,1,-1
LOC111108089,10,5,5
LOC111108091,2,1,1
LOC111108092,3,4,-1
LOC111108094,3,4,-1
LOC111108097,0,1,-1
LOC111108113,1,2,-1
LOC111108116,1,2,-1
LOC111108120,5,4,1
LOC111108121,1,4,-3
LOC111108124,15,14,1
LOC111108143,3,2,1
LOC111108144,3,2,1
LOC111108145,4,3,1
LOC111108148,4,2,2
LOC111108155,0,1,-1
LOC111108157,0,1,-1
LOC111108158,0,1,-1
LOC111108159,0,1,-1
LOC111108160,5,9,-4
LOC111108167,9,8,1
LOC111108168,0,1,-1
LOC111108169,1,3,-2
LOC111108170,3,2,1
LOC111108179,6,5,1
LOC111108181,3,2,1
LOC111108185,8,5,3
LOC111108186,2,11,-9
LOC111108194,0,2,-2
LOC111108199,4,3,1
LOC111108202,6,5,1
LOC111108204,2,3,-1
LOC111108222,1,4,-3
LOC111108228,3,4,-1
LOC111108236,0,1,-1
LOC111108248,6,4,2
LOC111108249,6,5,1
LOC111108261,0,1,-1
LOC111108265,3,2,1
LOC111108267,2,1,1
LOC111108274,4,3,1
LOC111108283,1,2,-1
LOC111108288,1,2,-1
LOC111108305,4,3,1
LOC111108314,3,2,1
LOC111108332,1,2,-1
LOC111108342,2,1,1
LOC111108353,4,2,2
LOC111108355,2,1,1
LOC111108357,4,3,1
LOC111108367,2,1,1
LOC111108368,2,1,1
LOC111108372,2,1,1
LOC111108379,3,2,1
LOC111108381,2,3,-1
LOC111108383,1,3,-2
LOC111108385,3,2,1
LOC111108399,1,2,-1
LOC111108403,3,2,1
LOC111108407,2,1,1
LOC111108410,4,3,1
LOC111108416,2,3,-1
LOC111108426,4,3,1
LOC111108428,4,5,-1
LOC111108435,2,1,1
LOC111108439,10,9,1
LOC111108443,4,3,1
LOC111108445,2,1,1
LOC111108451,3,1,2
LOC111108453,2,3,-1
LOC111108459,3,2,1
LOC111108460,2,1,1
LOC111108461,2,1,1
LOC111108479,5,4,1
LOC111108482,2,1,1
LOC111108492,2,1,1
LOC111108495,3,1,2
LOC111108501,8,5,3
LOC111108506,2,3,-1
LOC111108519,4,3,1
LOC111108523,6,4,2
LOC111108525,3,2,1
LOC111108530,2,1,1
LOC111108534,3,2,1
LOC111108535,2,1,1
LOC111108540,2,3,-1
LOC111108556,3,2,1
LOC111108558,1,2,-1
LOC111108560,4,3,1
LOC111108565,0,2,-2
LOC111108577,2,1,1
LOC111108578,2,1,1
LOC111108580,0,1,-1
LOC111108586,6,4,2
LOC111108615,3,4,-1
LOC111108622,1,2,-1
LOC111108628,2,3,-1
LOC111108636,1,2,-1
LOC111108644,1,2,-1
LOC111108648,1,2,-1
LOC111108653,7,6,1
LOC111108659,3,2,1
LOC111108662,4,3,1
LOC111108663,1,3,-2
LOC111108670,3,4,-1
LOC111108686,0,1,-1
LOC111108695,2,3,-1
LOC111108704,3,2,1
LOC111108708,2,1,1
LOC111108732,1,2,-1
LOC111108743,3,4,-1
LOC111108749,1,2,-1
LOC111108758,2,1,1
LOC111108769,5,7,-2
LOC111108771,1,3,-2
LOC111108772,2,4,-2
LOC111108782,2,3,-1
LOC111108795,0,1,-1
LOC111108799,4,3,1
LOC111108821,0,1,-1
LOC111108824,0,1,-1
LOC111108828,0,1,-1
LOC111108831,0,1,-1
LOC111108835,8,7,1
LOC111108838,0,1,-1
LOC111108841,1,0,1
LOC111108843,0,1,-1
LOC111108851,0,1,-1
LOC111108853,0,1,-1
LOC111108854,0,1,-1
LOC111108877,0,1,-1
LOC111108884,0,1,-1
LOC111108901,4,3,1
LOC111108905,0,1,-1
LOC111108909,0,1,-1
LOC111108937,0,1,-1
LOC111108944,0,1,-1
LOC111108976,0,1,-1
LOC111108977,0,1,-1
LOC111108978,0,1,-1
LOC111108983,0,1,-1
LOC111108988,0,1,-1
LOC111108990,1,0,1
LOC111109011,0,1,-1
LOC111109021,1,0,1
LOC111109023,0,1,-1
LOC111109028,1,2,-1
LOC111109042,0,1,-1
LOC111109043,2,3,-1
LOC111109065,0,1,-1
LOC111109077,0,1,-1
LOC111109105,3,4,-1
LOC111109154,2,1,1
LOC111109183,0,1,-1
LOC111109192,0,1,-1
LOC111109203,0,1,-1
LOC111109237,0,1,-1
LOC111109240,0,1,-1
LOC111109286,0,1,-1
LOC111109287,0,1,-1
LOC111109310,0,1,-1
LOC111109314,0,1,-1
LOC111109317,0,1,-1
LOC111109324,0,1,-1
LOC111109357,0,1,-1
LOC111109369,3,2,1
LOC111109378,0,1,-1
LOC111109383,0,1,-1
LOC111109384,0,1,-1
LOC111109393,0,1,-1
LOC111109394,0,1,-1
LOC111109404,6,2,4
LOC111109406,2,1,1
LOC111109410,2,1,1
LOC111109414,4,5,-1
LOC111109417,1,2,-1
LOC111109424,4,1,3
LOC111109447,1,2,-1
LOC111109450,1,2,-1
LOC111109455,2,3,-1
LOC111109456,4,2,2
LOC111109465,6,5,1
LOC111109474,0,1,-1
LOC111109484,6,1,5
LOC111109487,2,3,-1
LOC111109495,2,4,-2
LOC111109496,0,1,-1
LOC111109497,1,2,-1
LOC111109499,2,3,-1
LOC111109508,2,1,1
LOC111109510,2,1,1
LOC111109517,2,1,1
LOC111109524,2,1,1
LOC111109525,1,2,-1
LOC111109526,4,2,2
LOC111109527,5,4,1
LOC111109547,1,2,-1
LOC111109550,1,3,-2
LOC111109561,3,4,-1
LOC111109572,1,2,-1
LOC111109585,2,3,-1
LOC111109590,2,3,-1
LOC111109596,5,3,2
LOC111109606,3,1,2
LOC111109611,2,4,-2
LOC111109626,0,1,-1
LOC111109627,3,2,1
LOC111109630,1,2,-1
LOC111109634,1,2,-1
LOC111109641,1,3,-2
LOC111109644,0,1,-1
LOC111109646,1,2,-1
LOC111109649,4,3,1
LOC111109655,6,5,1
LOC111109657,6,5,1
LOC111109663,3,2,1
LOC111109693,4,2,2
LOC111109698,2,1,1
LOC111109711,2,1,1
LOC111109724,1,0,1
LOC111109727,1,2,-1
LOC111109741,1,2,-1
LOC111109768,4,3,1
LOC111109769,2,4,-2
LOC111109770,2,1,1
LOC111109783,1,2,-1
LOC111109786,3,2,1
LOC111109792,0,1,-1
LOC111109793,1,2,-1
LOC111109814,2,1,1
LOC111109829,1,2,-1
LOC111109840,1,2,-1
LOC111109846,1,2,-1
LOC111109852,1,2,-1
LOC111109855,2,1,1
LOC111109862,3,2,1
LOC111109867,0,1,-1
LOC111109871,0,1,-1
LOC111109872,0,1,-1
LOC111109873,2,1,1
LOC111109879,2,1,1
LOC111109885,5,6,-1
LOC111109889,2,1,1
LOC111109893,2,1,1
LOC111109910,2,1,1
LOC111109918,1,2,-1
LOC111109919,1,2,-1
LOC111109930,1,2,-1
LOC111109937,2,1,1
LOC111109944,1,2,-1
LOC111109949,7,6,1
LOC111109953,1,2,-1
LOC111109963,1,2,-1
LOC111109973,8,7,1
LOC111109974,1,2,-1
LOC111109981,4,3,1
LOC111109985,1,0,1
LOC111109990,2,1,1
LOC111109991,3,1,2
LOC111109993,10,8,2
LOC111110011,1,2,-1
LOC111110014,3,2,1
LOC111110017,2,3,-1
LOC111110021,3,4,-1
LOC111110024,1,2,-1
LOC111110026,0,1,-1
LOC111110036,0,1,-1
LOC111110038,3,2,1
LOC111110041,2,1,1
LOC111110046,0,1,-1
LOC111110051,2,3,-1
LOC111110073,1,3,-2
LOC111110074,1,0,1
LOC111110084,5,4,1
LOC111110089,3,2,1
LOC111110093,3,5,-2
LOC111110094,1,0,1
LOC111110100,2,1,1
LOC111110101,1,2,-1
LOC111110102,2,1,1
LOC111110104,2,1,1
LOC111110106,0,2,-2
LOC111110109,2,1,1
LOC111110120,1,2,-1
LOC111110127,4,5,-1
LOC111110134,0,1,-1
LOC111110136,1,2,-1
LOC111110142,5,3,2
LOC111110143,1,2,-1
LOC111110148,5,2,3
LOC111110171,1,2,-1
LOC111110177,0,1,-1
LOC111110179,4,3,1
LOC111110192,4,3,1
LOC111110196,0,1,-1
LOC111110199,3,4,-1
LOC111110204,2,1,1
LOC111110218,1,2,-1
LOC111110219,3,4,-1
LOC111110223,1,2,-1
LOC111110229,0,1,-1
LOC111110230,1,0,1
LOC111110231,0,1,-1
LOC111110244,6,7,-1
LOC111110250,5,4,1
LOC111110255,4,3,1
LOC111110279,0,1,-1
LOC111110280,5,3,2
LOC111110285,2,1,1
LOC111110286,0,1,-1
LOC111110293,0,1,-1
LOC111110296,5,3,2
LOC111110298,2,1,1
LOC111110303,1,2,-1
LOC111110316,5,3,2
LOC111110325,0,1,-1
LOC111110335,0,1,-1
LOC111110337,1,2,-1
LOC111110346,6,5,1
LOC111110347,11,5,6
LOC111110349,0,2,-2
LOC111110358,0,1,-1
LOC111110367,1,2,-1
LOC111110371,3,2,1
LOC111110394,3,2,1
LOC111110396,1,2,-1
LOC111110398,1,3,-2
LOC111110400,0,1,-1
LOC111110405,0,1,-1
LOC111110413,2,1,1
LOC111110421,4,3,1
LOC111110445,3,2,1
LOC111110462,0,1,-1
LOC111110476,4,5,-1
LOC111110477,2,3,-1
LOC111110494,3,2,1
LOC111110495,8,7,1
LOC111110503,5,4,1
LOC111110507,3,2,1
LOC111110509,1,2,-1
LOC111110513,0,1,-1
LOC111110517,8,7,1
LOC111110518,1,2,-1
LOC111110523,1,2,-1
LOC111110527,1,2,-1
LOC111110538,2,1,1
LOC111110540,3,4,-1
LOC111110542,3,2,1
LOC111110545,4,2,2
LOC111110553,1,0,1
LOC111110556,2,1,1
LOC111110585,1,2,-1
LOC111110595,1,2,-1
LOC111110614,0,1,-1
LOC111110617,0,1,-1
LOC111110620,0,1,-1
LOC111110626,0,1,-1
LOC111110632,1,2,-1
LOC111110633,3,2,1
LOC111110634,1,2,-1
LOC111110635,1,0,1
LOC111110637,5,4,1
LOC111110640,1,3,-2
LOC111110642,5,4,1
LOC111110648,2,1,1
LOC111110659,3,2,1
LOC111110671,2,5,-3
LOC111110672,1,2,-1
LOC111110680,0,1,-1
LOC111110715,1,2,-1
LOC111110730,0,1,-1
LOC111110737,0,1,-1
LOC111110738,1,3,-2
LOC111110743,2,3,-1
LOC111110744,3,2,1
LOC111110748,8,6,2
LOC111110749,1,2,-1
LOC111110756,3,4,-1
LOC111110763,0,1,-1
LOC111110769,0,1,-1
LOC111110772,0,1,-1
LOC111110773,0,1,-1
LOC111110781,1,2,-1
LOC111110783,2,1,1
LOC111110798,2,3,-1
LOC111110807,2,1,1
LOC111110808,0,1,-1
LOC111110814,2,1,1
LOC111110816,3,2,1
LOC111110817,1,3,-2
LOC111110820,2,4,-2
LOC111110823,2,3,-1
LOC111110828,3,2,1
LOC111110833,1,2,-1
LOC111110835,4,2,2
LOC111110837,0,1,-1
LOC111110839,1,2,-1
LOC111110845,1,2,-1
LOC111110857,2,3,-1
LOC111110863,3,4,-1
LOC111110866,0,1,-1
LOC111110867,6,4,2
LOC111110875,1,2,-1
LOC111110876,1,2,-1
LOC111110881,3,2,1
LOC111110883,1,2,-1
LOC111110894,1,2,-1
LOC111110897,1,2,-1
LOC111110909,0,1,-1
LOC111110910,3,5,-2
LOC111110914,0,1,-1
LOC111110916,0,1,-1
LOC111110918,0,1,-1
LOC111110919,0,1,-1
LOC111110928,0,1,-1
LOC111110929,2,3,-1
LOC111110933,1,0,1
LOC111110934,0,1,-1
LOC111110937,0,1,-1
LOC111110942,5,3,2
LOC111110946,9,7,2
LOC111110954,2,1,1
LOC111110965,5,4,1
LOC111110968,0,1,-1
LOC111110975,1,4,-3
LOC111110979,8,9,-1
LOC111110984,1,2,-1
LOC111110989,2,1,1
LOC111110991,1,0,1
LOC111110997,16,13,3
LOC111111013,5,4,1
LOC111111014,0,1,-1
LOC111111019,3,2,1
LOC111111020,0,1,-1
LOC111111025,2,3,-1
LOC111111028,3,2,1
LOC111111036,0,1,-1
LOC111111039,0,1,-1
LOC111111050,10,9,1
LOC111111054,2,3,-1
LOC111111056,3,1,2
LOC111111058,8,5,3
LOC111111064,2,1,1
LOC111111077,2,1,1
LOC111111082,0,1,-1
LOC111111097,1,2,-1
LOC111111099,1,2,-1
LOC111111101,0,1,-1
LOC111111103,0,1,-1
LOC111111109,1,0,1
LOC111111110,0,1,-1
LOC111111114,0,1,-1
LOC111111119,2,3,-1
LOC111111122,3,2,1
LOC111111124,6,5,1
LOC111111132,3,1,2
LOC111111134,0,2,-2
LOC111111135,1,2,-1
LOC111111138,0,1,-1
LOC111111147,0,1,-1
LOC111111155,2,1,1
LOC111111156,5,3,2
LOC111111161,2,1,1
LOC111111163,1,2,-1
LOC111111178,0,1,-1
LOC111111180,0,1,-1
LOC111111182,4,3,1
LOC111111212,2,1,1
LOC111111228,1,2,-1
LOC111111237,0,1,-1
LOC111111243,3,2,1
LOC111111244,1,2,-1
LOC111111255,2,5,-3
LOC111111274,4,3,1
LOC111111279,2,1,1
LOC111111289,2,4,-2
LOC111111290,2,1,1
LOC111111294,4,5,-1
LOC111111298,0,1,-1
LOC111111300,5,3,2
LOC111111331,1,3,-2
LOC111111333,6,7,-1
LOC111111337,1,2,-1
LOC111111343,1,2,-1
LOC111111346,1,0,1
LOC111111347,0,1,-1
LOC111111350,1,2,-1
LOC111111358,1,3,-2
LOC111111365,2,4,-2
LOC111111378,3,4,-1
LOC111111392,20,11,9
LOC111111400,1,2,-1
LOC111111403,2,3,-1
LOC111111406,1,0,1
LOC111111423,0,1,-1
LOC111111446,2,1,1
LOC111111451,4,3,1
LOC111111454,1,0,1
LOC111111464,2,4,-2
LOC111111465,1,2,-1
LOC111111467,2,1,1
LOC111111472,2,3,-1
LOC111111474,0,1,-1
LOC111111487,16,10,6
LOC111111494,1,2,-1
LOC111111507,1,0,1
LOC111111514,1,2,-1
LOC111111520,6,5,1
LOC111111525,1,2,-1
LOC111111527,5,3,2
LOC111111536,2,1,1
LOC111111537,5,4,1
LOC111111542,4,2,2
LOC111111546,2,3,-1
LOC111111556,1,2,-1
LOC111111569,3,4,-1
LOC111111582,1,2,-1
LOC111111589,1,3,-2
LOC111111593,1,2,-1
LOC111111599,6,5,1
LOC111111602,1,2,-1
LOC111111616,6,5,1
LOC111111620,1,2,-1
LOC111111624,2,3,-1
LOC111111635,0,1,-1
LOC111111640,1,2,-1
LOC111111644,0,1,-1
LOC111111646,8,5,3
LOC111111647,2,1,1
LOC111111657,2,3,-1
LOC111111663,2,1,1
LOC111111664,0,1,-1
LOC111111666,5,3,2
LOC111111674,1,2,-1
LOC111111676,2,1,1
LOC111111679,2,3,-1
LOC111111683,0,1,-1
LOC111111698,2,3,-1
LOC111111704,2,5,-3
LOC111111713,6,5,1
LOC111111715,1,2,-1
LOC111111727,0,1,-1
LOC111111733,0,1,-1
LOC111111748,1,2,-1
LOC111111750,1,4,-3
LOC111111751,1,2,-1
LOC111111772,2,1,1
LOC111111776,1,2,-1
LOC111111780,3,2,1
LOC111111790,0,1,-1
LOC111111809,1,2,-1
LOC111111812,3,2,1
LOC111111818,4,3,1
LOC111111821,2,1,1
LOC111111822,2,1,1
LOC111111823,2,1,1
LOC111111851,0,1,-1
LOC111111855,9,5,4
LOC111111856,0,1,-1
LOC111111864,1,2,-1
LOC111111867,1,2,-1
LOC111111879,1,2,-1
LOC111111883,1,2,-1
LOC111111906,2,3,-1
LOC111111912,1,2,-1
LOC111111916,2,1,1
LOC111111920,2,1,1
LOC111111927,0,1,-1
LOC111111940,1,2,-1
LOC111111943,1,2,-1
LOC111111946,2,3,-1
LOC111111954,0,1,-1
LOC111111956,2,1,1
LOC111111963,0,1,-1
LOC111111971,1,0,1
LOC111111975,5,4,1
LOC111111983,4,5,-1
LOC111111986,2,1,1
LOC111111998,3,2,1
LOC111112005,1,0,1
LOC111112006,17,5,12
LOC111112010,0,1,-1
LOC111112022,1,2,-1
LOC111112028,8,6,2
LOC111112037,2,3,-1
LOC111112040,2,1,1
LOC111112053,0,1,-1
LOC111112074,1,2,-1
LOC111112080,2,3,-1
LOC111112082,6,5,1
LOC111112086,3,2,1
LOC111112092,1,2,-1
LOC111112095,1,2,-1
LOC111112099,16,13,3
LOC111112114,4,5,-1
LOC111112121,1,2,-1
LOC111112126,7,5,2
LOC111112129,5,3,2
LOC111112130,10,5,5
LOC111112131,11,9,2
LOC111112137,2,4,-2
LOC111112138,1,2,-1
LOC111112152,1,2,-1
LOC111112166,1,2,-1
LOC111112167,0,1,-1
LOC111112171,2,3,-1
LOC111112173,2,3,-1
LOC111112178,2,1,1
LOC111112187,0,1,-1
LOC111112191,0,1,-1
LOC111112193,0,1,-1
LOC111112196,0,1,-1
LOC111112201,3,2,1
LOC111112204,4,5,-1
LOC111112214,5,4,1
LOC111112221,2,3,-1
LOC111112222,1,2,-1
