"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold1","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",6,55,100,8,3,3,0,2.21557371600442,2.81341071676004,0.287682072451781,-0.693147180559945,-0.693147180559945
"2","LOC111099030",2,4,2,2,NA,NA,0,0.693147180559945,0,0,NA,NA
"3","LOC111099031",8,1,1.33333333333333,2,2,1.66666666666667,0,-2.07944154167984,-1.79175946922805,-1.38629436111989,-1.38629436111989,-1.56861591791385
"4","LOC111099032",2,12,NA,NA,NA,NA,0,1.79175946922805,NA,NA,NA,NA
"5","LOC111099033",60,70,23,32,8,21,0,0.154150679827258,-0.958850346292951,-0.628608659422374,-2.01490302054226,-1.04982212449868
"6","LOC111099034",30,55,71,159,NA,NA,0,0.606135803570315,0.86148249537916,1.66770682055808,NA,NA
"7","LOC111099035",37.5,57,50,49,91,158,0,0.418710334858185,0.287682072451781,0.267479365134261,0.886518573540485,1.4382541000506
"8","LOC111099036",23.5,19.5,38,29,150,100,0,-0.186585955580412,0.480585738576272,0.210295408836361,1.85363487294614,1.44816976483798
"9","LOC111099037",7,22,NA,NA,NA,NA,0,1.145132304303,NA,NA,NA,NA
"10","LOC111099038",3,2,NA,NA,NA,NA,0,-0.405465108108164,NA,NA,NA,NA
"11","LOC111099039",5,10,NA,NA,NA,NA,0,0.693147180559945,NA,NA,NA,NA
"12","LOC111099040",148.32,192.96,152.8,153.36,40.6,50.88,0,0.263110811721276,0.0297577749148753,0.0334159969198442,-1.29560403520986,-1.06990218278568
"13","LOC111099041",10,36,51.5,247,59,68,0,1.28093384546206,1.63899671467564,3.20680324363393,1.77495235091167,1.91692261218206
"14","LOC111099042",5,4,25,14,NA,NA,0,-0.22314355131421,1.6094379124341,1.02961941718116,NA,NA
"15","LOC111099043",36,51.5,31.5,21.5,39,55,0,0.35806286921358,-0.133531392624523,-0.515466003322493,0.0800427076735364,0.423814246776361
"16","LOC111099044",7,18,14,NA,NA,NA,0,0.944461608840852,0.693147180559945,NA,NA,NA
