"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"6961","LOC111113562",26,114,328,86,NA,NA,4.38461538461539,12.6153846153846,3.30769230769231,NA,NA
"6962","LOC111113563",212,367,NA,NA,NA,NA,1.7311320754717,NA,NA,NA,NA
"6963","LOC111113567",33,27,43,50,70,NA,0.818181818181818,1.3030303030303,1.51515151515152,2.12121212121212,NA
"6964","LOC111113568",22,24,28,23,NA,NA,1.09090909090909,1.27272727272727,1.04545454545455,NA,NA
"6965","LOC111113571",12,28,21,37,13,16,2.33333333333333,1.75,3.08333333333333,1.08333333333333,1.33333333333333
"6966","LOC111113572",337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6967","LOC111113575",83,61,NA,NA,NA,NA,0.734939759036145,NA,NA,NA,NA
"6968","LOC111113576",362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969","LOC111113577",182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6970","LOC111113578",25,25,25,25,27,25,1,1,1,1.08,1
"6971","LOC111113584",5,10,47,NA,NA,NA,2,9.4,NA,NA,NA
"6972","LOC111113585",1,5,7,1,8,5,5,7,1,8,5
"6973","LOC111113586",286,586,475,313,214,176,2.04895104895105,1.66083916083916,1.09440559440559,0.748251748251748,0.615384615384615
"6974","LOC111113587",11,10,16,12,11,NA,0.909090909090909,1.45454545454545,1.09090909090909,1,NA
"6975","LOC111113588",66,48,184,NA,NA,NA,0.727272727272727,2.78787878787879,NA,NA,NA
"6976","LOC111113592",1,1,1,8.5,16,NA,1,1,8.5,16,NA
"6977","LOC111113595",9,5,18,19,NA,NA,0.555555555555556,2,2.11111111111111,NA,NA
"6978","LOC111113598",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6979","LOC111113602",41,21,24,16,83,176,0.51219512195122,0.585365853658537,0.390243902439024,2.02439024390244,4.29268292682927
"6980","LOC111113603",358,26,80,NA,NA,NA,0.0726256983240224,0.223463687150838,NA,NA,NA
