"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"11746","LOC111121672",21.3333333333333,24,17,30,76,25,1.125,0.796875,1.40625,3.5625,1.171875
"11747","LOC111121674",35,53,37,22,64,41,1.51428571428571,1.05714285714286,0.628571428571429,1.82857142857143,1.17142857142857
"11748","LOC111121675",23,10,19,15,11,10,0.434782608695652,0.826086956521739,0.652173913043478,0.478260869565217,0.434782608695652
"11749","LOC111121677",14.6666666666667,283,NA,NA,NA,NA,19.2954545454545,NA,NA,NA,NA
"11750","LOC111121678",13,37,4,6,28,15,2.84615384615385,0.307692307692308,0.461538461538462,2.15384615384615,1.15384615384615
"11751","LOC111121679",4541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11752","LOC111121680",1634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11753","LOC111121681",1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11754","LOC111121683",1316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11755","LOC111121684",1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11756","LOC111121685",1266,1914,NA,NA,NA,NA,1.51184834123223,NA,NA,NA,NA
"11757","LOC111121686",243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11758","LOC111121687",1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11759","LOC111121688",2586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11760","LOC111121689",1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11761","LOC111121690",719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11762","LOC111121691",4766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11763","LOC111121692",1626,489,3847,NA,NA,NA,0.300738007380074,2.36592865928659,NA,NA,NA
"11764","LOC111121694",3077,474,1498,NA,NA,NA,0.154046148846279,0.486837829054274,NA,NA,NA
"11765","LOC111121695",1705,581,7098,NA,NA,NA,0.340762463343109,4.16304985337243,NA,NA,NA
"11766","LOC111121701",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11767","LOC111121704",288.5,110,84.5,66.5,88,96,0.381282495667244,0.292894280762565,0.23050259965338,0.305025996533795,0.332755632582322
"11768","LOC111121707",516,525,528,524,538,615,1.01744186046512,1.02325581395349,1.01550387596899,1.04263565891473,1.19186046511628
"11769","LOC111121708",617,639,659,630,630,648,1.03565640194489,1.06807131280389,1.02106969205835,1.02106969205835,1.05024311183144
"11770","LOC111121709",635,636,612,628,635,648,1.00157480314961,0.963779527559055,0.988976377952756,1,1.02047244094488
"11771","LOC111121710",420,432,425,435,441,422,1.02857142857143,1.01190476190476,1.03571428571429,1.05,1.0047619047619
"11772","LOC111121711",212,210,214,218,215,217,0.990566037735849,1.00943396226415,1.02830188679245,1.01415094339623,1.02358490566038
"11773","LOC111121712",643,613.142857142857,603,612.142857142857,606.285714285714,612.714285714286,0.953565874250167,0.937791601866252,0.952010664296823,0.942901577427238,0.952899355698734
"11774","LOC111121714",585,589,580,602,588,574,1.00683760683761,0.991452991452991,1.02905982905983,1.00512820512821,0.981196581196581
"11775","LOC111121715",146,143,163,139,131,129,0.979452054794521,1.11643835616438,0.952054794520548,0.897260273972603,0.883561643835616
"11776","LOC111121716",499,497,499,497,499,500,0.995991983967936,1,0.995991983967936,1,1.00200400801603
"11777","LOC111121717",57,128,29,12,19,16,2.24561403508772,0.508771929824561,0.210526315789474,0.333333333333333,0.280701754385965
"11778","LOC111121718",610,746,635,604,609,602,1.22295081967213,1.04098360655738,0.99016393442623,0.998360655737705,0.986885245901639
"11779","LOC111121719",419,420,412,426,428,454,1.00238663484487,0.983293556085919,1.01670644391408,1.02147971360382,1.08353221957041
"11780","LOC111121720",53,19,61,37,21,25,0.358490566037736,1.15094339622642,0.69811320754717,0.39622641509434,0.471698113207547
"11781","LOC111121721",222,217,216,216,220,221,0.977477477477477,0.972972972972973,0.972972972972973,0.990990990990991,0.995495495495496
"11782","LOC111121722",631,637,639,645,612,630,1.0095087163233,1.01267828843106,1.02218700475436,0.969889064976228,0.998415213946117
"11783","LOC111121723",611,598,593,608,604,616,0.978723404255319,0.970540098199673,0.995090016366612,0.988543371522095,1.00818330605565
"11784","LOC111121725",610,639,622,625,618,633,1.04754098360656,1.01967213114754,1.02459016393443,1.01311475409836,1.03770491803279
"11785","LOC111121726",615,616,617,616,619,617,1.00162601626016,1.00325203252033,1.00162601626016,1.00650406504065,1.00325203252033
"11786","LOC111121727",633,635,635,636,635,620,1.00315955766193,1.00315955766193,1.00473933649289,1.00315955766193,0.979462875197472
"11787","LOC111121728",647,611,609,643,630,629,0.94435857805255,0.941267387944359,0.993817619783617,0.973724884080371,0.972179289026275
"11788","LOC111121729",570.666666666667,573,586.666666666667,588.333333333333,750.666666666667,835,1.00408878504673,1.02803738317757,1.03095794392523,1.31542056074766,1.46320093457944
"11789","LOC111121730",99,108,85.5,80.5,143,204,1.09090909090909,0.863636363636364,0.813131313131313,1.44444444444444,2.06060606060606
"11790","LOC111121731",592,600,603,586,600,592,1.01351351351351,1.01858108108108,0.989864864864865,1.01351351351351,1
"11791","LOC111121732",48,48,53,48,52,61,1,1.10416666666667,1,1.08333333333333,1.27083333333333
"11792","LOC111121733",80,16,28,49,29.375,46.375,0.2,0.35,0.6125,0.3671875,0.5796875
"11793","LOC111121734",240.8,263.4,304.2,486.8,592.4,578.4,1.09385382059801,1.26328903654485,2.02159468438538,2.46013289036545,2.40199335548173
"11794","LOC111121735",405,392,421,105,168,104,0.967901234567901,1.03950617283951,0.259259259259259,0.414814814814815,0.25679012345679
"11795","LOC111121736",504,513,515,529,NA,NA,1.01785714285714,1.0218253968254,1.04960317460317,NA,NA
"11796","LOC111121737",697,644,634,618,630,639,0.923959827833572,0.90961262553802,0.886657101865136,0.903873744619799,0.916786226685796
"11797","LOC111121738",589,588,589,582,581,583,0.99830220713073,1,0.98811544991511,0.98641765704584,0.98981324278438
"11798","LOC111121739",546,544,563,562,540,568,0.996336996336996,1.03113553113553,1.02930402930403,0.989010989010989,1.04029304029304
"11799","LOC111121740",89,90,127,102,89,98,1.01123595505618,1.42696629213483,1.14606741573034,1,1.10112359550562
"11800","LOC111121741",131,62,35,4,8,37,0.473282442748092,0.267175572519084,0.0305343511450382,0.0610687022900763,0.282442748091603
"11801","LOC111121742",45,254.666666666667,61,173,51.6666666666667,67.3333333333333,5.65925925925926,1.35555555555556,3.84444444444444,1.14814814814815,1.4962962962963
"11802","LOC111121745",512,534.6,561.4,542.6,531.8,529,1.044140625,1.096484375,1.059765625,1.038671875,1.033203125
"11803","LOC111121746",632,621,617,616,614,614,0.982594936708861,0.97626582278481,0.974683544303797,0.971518987341772,0.971518987341772
"11804","LOC111121747",808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11805","LOC111121748",638,725,658,NA,NA,NA,1.13636363636364,1.03134796238245,NA,NA,NA
"11806","LOC111121749",619.333333333333,615,656.666666666667,633,603,624.666666666667,0.993003229278794,1.06027987082885,1.02206673842842,0.973627556512379,1.00861141011841
"11807","LOC111121750",622,616,626,609,608,609,0.990353697749196,1.0064308681672,0.979099678456592,0.977491961414791,0.979099678456592
"11808","LOC111121751",627,605,598,607,610,606,0.964912280701754,0.953748006379585,0.968102073365231,0.972886762360447,0.966507177033493
"11809","LOC111121753",630,642,635,612,622,622,1.01904761904762,1.00793650793651,0.971428571428571,0.987301587301587,0.987301587301587
"11810","LOC111121754",670,607,604,621,602,633,0.905970149253731,0.901492537313433,0.926865671641791,0.898507462686567,0.944776119402985
"11811","LOC111121755",49,8,11,66,13,57,0.163265306122449,0.224489795918367,1.3469387755102,0.26530612244898,1.16326530612245
"11812","LOC111121756",625,630,687,614,618,622,1.008,1.0992,0.9824,0.9888,0.9952
"11813","LOC111121757",589,594,594,591,617,NA,1.00848896434635,1.00848896434635,1.00339558573854,1.04753820033956,NA
"11814","LOC111121759",631,610,625,613,619,614.666666666667,0.966719492868463,0.990491283676704,0.971473851030111,0.980982567353407,0.974115161119915
"11815","LOC111121760",428,493,NA,NA,NA,NA,1.1518691588785,NA,NA,NA,NA
"11816","LOC111121762",621,599,597,611,720,NA,0.964573268921095,0.961352657004831,0.98389694041868,1.15942028985507,NA
"11817","LOC111121763",241,258,263,NA,NA,NA,1.07053941908714,1.09128630705394,NA,NA,NA
"11818","LOC111121764",418,432,434,NA,NA,NA,1.03349282296651,1.03827751196172,NA,NA,NA
"11819","LOC111121765",590,591,592,591,591,593,1.00169491525424,1.00338983050847,1.00169491525424,1.00169491525424,1.00508474576271
"11820","LOC111121768",609,595,623,595,NA,NA,0.977011494252874,1.02298850574713,0.977011494252874,NA,NA
"11821","LOC111121769",602,602,604,NA,NA,NA,1,1.00332225913621,NA,NA,NA
"11822","LOC111121770",17,12,36,33,19,40,0.705882352941177,2.11764705882353,1.94117647058824,1.11764705882353,2.35294117647059
"11823","LOC111121771",618,614,615,609,609,620,0.993527508090615,0.995145631067961,0.985436893203884,0.985436893203884,1.00323624595469
"11824","LOC111121772",602,604,621,607,610,599,1.00332225913621,1.03156146179402,1.00830564784053,1.01328903654485,0.995016611295681
"11825","LOC111121773",607,613,610,614,611,612,1.00988467874794,1.00494233937397,1.01153212520593,1.00658978583196,1.00823723228995
"11826","LOC111121774",586,596,589,590,589,NA,1.01706484641638,1.00511945392491,1.00682593856655,1.00511945392491,NA
"11827","LOC111121775",16.5,6,4,14,4,29,0.363636363636364,0.242424242424242,0.848484848484849,0.242424242424242,1.75757575757576
"11828","LOC111121776",69,11,48,NA,NA,NA,0.159420289855072,0.695652173913043,NA,NA,NA
"11829","LOC111121777",2,291,NA,NA,NA,NA,145.5,NA,NA,NA,NA
"11830","LOC111121779",5,6,3,30,5,NA,1.2,0.6,6,1,NA
"11831","LOC111121780",46,97,32,7,16,12,2.10869565217391,0.695652173913043,0.152173913043478,0.347826086956522,0.260869565217391
