"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold1","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",6,4,44,11,5,4,0,-0.405465108108164,1.99243016469021,0.606135803570315,-0.182321556793955,-0.405465108108164
"2","LOC111099033",56,60,36,38,3,19,0,0.0689928714869514,-0.441832752279039,-0.387765531008763,-2.92673940206704,-1.08091271156871
"3","LOC111099034",17,14,13,81,NA,NA,0,-0.194156014440958,-0.268263986594679,1.56123581061622,NA,NA
"4","LOC111099035",11,10,22,34,20,19,0,-0.0953101798043249,0.693147180559945,1.12846525181779,0.59783700075562,0.54654370636807
"5","LOC111099036",18.5,22,42,5,218,90,0,0.173271721274037,0.819898886199089,-1.30833281965018,2.46672433070481,1.58203893824599
"6","LOC111099040",73.36,16.88,17.2,21.72,9.92,24.52,0,-1.4692493387804,-1.4504694441288,-1.21714533288247,-2.00082590665143,-1.0958897168802
"7","LOC111099041",68,102,89.5,193,94,98,0,0.405465108108164,0.274730920104703,1.04318248372878,0.323787077093897,0.365459773494465
"8","LOC111099043",150,390,248,117,247.5,363,0,0.955511445027436,0.502793452068726,-0.2484613592985,0.500775287912489,0.883767540168595
"9","LOC111099044",95,113,89,NA,NA,NA,0,0.1735109271118,-0.065240521868401,NA,NA,NA
"10","LOC111099045",14,17,39,55,21,26,0,0.194156014440957,1.02450431651439,1.36827585561721,0.405465108108164,0.619039208406224
"11","LOC111099047",22.1428571428571,22.5714285714286,32,30,40.1428571428571,35.1428571428571,0,0.0191699161077203,0.368220934935793,0.303682413798222,0.594929552414499,0.461906419013116
"12","LOC111099048",49,13,5,32,NA,NA,0,-1.32687094064909,-2.28238238567653,-0.4260843953109,NA,NA
"13","LOC111099050",73,5,50,25,30,19,0,-2.68102152871429,-0.378436435720245,-1.07158361628019,-0.889262059486236,-1.34602046198195
"14","LOC111099051",55,44,NA,NA,NA,NA,0,-0.22314355131421,NA,NA,NA,NA
"15","LOC111099052",76,86,85,81,123,NA,0,0.123613955967177,0.111917916203985,0.0637158143861078,0.481451015086086,NA
"16","LOC111099053",37,41,27,55,22,38,0,0.102654154060083,-0.315081046639895,0.396415272588246,-0.519875459285909,0.0266682470821613
"17","LOC111099056",21.3333333333333,84,31,26,24,19,0,1.37054600415175,0.373716409793584,0.19782574332992,0.117783035656383,-0.115831815525122
"18","LOC111099060",11,9,27,45,41,56,0,-0.200670695462151,0.897941593205959,1.40876721697195,1.31567679390594,1.62745641793678
"19","LOC111099062",43,35,39,56,33,22,0,-0.205852054204149,-0.0976384695639161,0.264151575041587,-0.264692554227082,-0.670157662335247
"20","LOC111099063",19,27,23,26,19,47,0,0.351397886837889,0.191055236762709,0.313657558855042,0,0.905708622543618
"21","LOC111099064",40,22,41,43,59,100,0,-0.59783700075562,0.0246926125903714,0.0723206615796261,0.388657989791783,0.916290731874155
"22","LOC111099065",141.5,122,134,299,43,396,0,-0.148278672350036,-0.054459917132381,0.748143856307394,-1.19109960138973,1.02911449417119
"23","LOC111099067",49,62,17,44,84,32,0,0.235314086934465,-1.05860695405441,-0.107630664192365,0.538996500732687,-0.4260843953109
"24","LOC111099068",17,118,34,42,84.5,NA,0,1.93747128040945,0.693147180559945,0.904456274227152,1.60353819030691,NA
"25","LOC111099069",43,44,42,49,101,37,0,0.0229895182246988,-0.0235304974101942,0.130620182417064,0.853920401147697,-0.150282203049338
"26","LOC111099070",33.4,111,122,59,28,8,0,1.20097430132968,1.2954651447506,0.568981543923065,-0.176351389807451,-1.42911435830282
"27","LOC111099071",46,81,61,123,NA,NA,0,0.565807758183344,0.282232467684216,0.983542958883322,NA,NA
"28","LOC111099073",51,32,43,23,35,6,0,-0.466089729924599,-0.170625517030763,-0.796331416795176,-0.376477571234912,-2.14006616349627
"29","LOC111099076",70,72.5,64,57,113,NA,0,0.0350913198112702,-0.0896121586896872,-0.205443974214809,0.478892576662982,NA
"30","LOC111099079",64,103,174,73,81,100,0,0.475845904869964,1.00017221585486,0.131576357788719,0.235566071312767,0.44628710262842
"31","LOC111099080",16,61,20,66,121,18,0,1.33828514193353,0.22314355131421,1.41706601978664,2.02320182335696,0.117783035656383
"32","LOC111099081",43,36,82,133,NA,NA,0,-0.177681177237452,0.645519131570691,1.12914901252819,NA,NA
"33","LOC111099082",1035,469,186,NA,NA,NA,0,-0.79155393725319,-1.71641003198627,NA,NA,NA
"34","LOC111099083",611,67,443,NA,NA,NA,0,-2.21040433978063,-0.32152718912646,NA,NA,NA
"35","LOC111099088",19,307.5,209,39,NA,NA,0,2.78403610808013,2.39789527279837,0.719122666963206,NA,NA
"36","LOC111099091",90,9,30,25,23,47,0,-2.30258509299405,-1.09861228866811,-1.28093384546206,-1.36431545440112,-0.649662068620206
"37","LOC111099092",43,42,34,37,44,62,0,-0.0235304974101942,-0.234839591077401,-0.150282203049338,0.0229895182246988,0.365934269351529
"38","LOC111099093",62,92,71,57,68,39,0,0.394654192003949,0.135545491996224,-0.0840831172105414,0.0923733201310151,-0.463572738915445
"39","LOC111099095",35.5,42,60,37,98,62,0,0.168136921801998,0.524811865740731,0.0413852161628543,1.0154347821892,0.557601688563721
"40","LOC111099097",13,75,10,17,12,12,0,1.75253875607477,-0.262364264467491,0.268263986594679,-0.0800427076735364,-0.0800427076735364
