"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold1","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",5,57,81,10,2,2,0,2.43361335540045,2.78501124223834,0.693147180559945,-0.916290731874155,-0.916290731874155
"2","LOC111099030",3,3,5,5,NA,NA,0,0,0.510825623765991,0.510825623765991,NA,NA
"3","LOC111099031",8,4,4,4,4,4,0,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.693147180559945
"4","LOC111099032",14,26,NA,NA,NA,NA,0,0.619039208406224,NA,NA,NA,NA
"5","LOC111099033",30,48,32,15,0,15,0,0.470003629245736,0.0645385211375712,-0.693147180559945,NA,-0.693147180559945
"6","LOC111099034",17,21,23,49,NA,NA,0,0.211309093667207,0.302280871872934,1.05860695405441,NA,NA
"7","LOC111099035",35,53,40,69,62,101,0,0.414943852062708,0.133531392624523,0.678758443107846,0.571786323555678,1.05977245535185
"8","LOC111099036",12.5,14.5,33,16,58,20,0,0.148420005118273,0.970778917158225,0.246860077931526,1.53471436623816,0.470003629245736
"9","LOC111099037",5,19,NA,NA,NA,NA,0,1.33500106673234,NA,NA,NA,NA
"10","LOC111099038",5,3,NA,NA,NA,NA,0,-0.510825623765991,NA,NA,NA,NA
"11","LOC111099039",6,13,NA,NA,NA,NA,0,0.773189888233482,NA,NA,NA,NA
"12","LOC111099040",30.16,31.92,18,21.16,6.64,17.24,0,0.0567162294418526,-0.516144785243591,-0.354403936149657,-1.51340457965141,-0.559284277904208
"13","LOC111099041",54,56,70,102,62,67,0,0.0363676441708748,0.259511195485085,0.635988766719997,0.138150338480817,0.215708572826692
"14","LOC111099042",6,7,18,7,NA,NA,0,0.154150679827258,1.09861228866811,0.154150679827258,NA,NA
"15","LOC111099043",9,25,15.5,7,14.5,23,0,1.02165124753198,0.543615446588982,-0.251314428280906,0.476924072090309,0.93826963859293
"16","LOC111099044",59,55,56,NA,NA,NA,0,-0.0702042586732486,-0.0521857531705702,NA,NA,NA
"17","LOC111099045",210,248,407,558,277,569,0,0.166321215447514,0.661705654725126,0.977251431663842,0.27690997546987,0.996772903408862
"18","LOC111099046",0,0,1.5,1.25,1,1.25,NA,NA,NA,NA,NA,NA
"19","LOC111099047",13.4285714285714,38.4285714285714,118.285714285714,68.5714285714286,58.2857142857143,46.2857142857143,0,1.05141659733184,2.17571837211526,1.63049132163193,1.46797239213416,1.23744873352233
"20","LOC111099048",7,5,5,4,NA,NA,0,-0.336472236621213,-0.336472236621213,-0.559615787935423,NA,NA
"21","LOC111099049",0,2.5,1.5,3,NA,NA,NA,NA,NA,NA,NA,NA
"22","LOC111099050",32,34,48,53,56,34,0,0.0606246218164348,0.405465108108164,0.504556010752395,0.559615787935423,0.0606246218164348
"23","LOC111099051",230,209,NA,NA,NA,NA,0,-0.0957450569583844,NA,NA,NA,NA
"24","LOC111099052",99,96,110,99,61,NA,0,-0.0307716586667537,0.105360515657826,0,-0.484245985961279,NA
"25","LOC111099053",162,281,322,426,270,406,0,0.550758334101362,0.686955210312024,0.966843011036986,0.510825623765991,0.918756824369349
"26","LOC111099054",18,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"27","LOC111099055",4,4,0,7,1,1,0,0,NA,0.559615787935423,-1.38629436111989,-1.38629436111989
"28","LOC111099056",28.3333333333333,85,56,50,30,9,0,1.09861228866811,0.681312722912943,0.567984037605939,0.0571584138399486,-1.14681439048599
"29","LOC111099057",33,22,NA,NA,NA,NA,0,-0.405465108108164,NA,NA,NA,NA
"30","LOC111099058",8,8,14,NA,NA,NA,0,0,0.559615787935423,NA,NA,NA
"31","LOC111099059",3.66666666666667,3,1,5,NA,NA,0,-0.200670695462151,-1.29928298413026,0.31015492830384,NA,NA
"32","LOC111099060",6.5,10,16,79,70,104,0,0.430782916092454,0.90078654533819,2.49764567556543,2.37669306514777,2.77258872223978
"33","LOC111099061",4,7,5,8,NA,NA,0,0.559615787935423,0.22314355131421,0.693147180559945,NA,NA
"34","LOC111099062",48,50,143,96,38,14,0,0.0408219945202552,1.09164361935202,0.693147180559945,-0.233614851181505,-1.23214368129263
"35","LOC111099063",15,66,96,101,61,80,0,1.48160454092422,1.85629799036563,1.90707031573905,1.4028236630711,1.67397643357167
"36","LOC111099064",14,11,8,13,22,20,0,-0.241162056816888,-0.559615787935423,-0.0741079721537218,0.451985123743057,0.356674943938732
"37","LOC111099065",17.5,31,54,74,45,109,0,0.571786323555678,1.12678316563481,1.4418642122747,0.944461608840852,1.82914700129968
"38","LOC111099066",4,4,4,7,NA,NA,0,0,0,0.559615787935423,NA,NA
