"sample"	"12M"	"13M"	"16F"	"19F"	"22F"	"23M"	"29F"	"31M"	"35F"	"36F"	"39F"	"3F"	"41F"	"44F"	"48M"	"50F"	"52F"	"53F"	"54F"	"59M"	"64M"	"6M"	"76F"	"77F"	"7M"	"9M"
"50F"	30802.1750112176	30925.8967039296	22163.8369573453	21635.1996885776	21877.2473381328	31438.8088317763	21873.6697098681	31145.2913807054	22206.5657594841	22039.7514142215	22094.855027849	22021.1069142223	21921.0232111382	21422.9365288058	30972.8794336194	0	22538.1263669867	21826.5876107906	21371.094496747	31665.5863760154	30930.6258761724	31055.1890423384	22620.4474251791	22171.9621267915	31317.8682119421	31126.2532486864
"52F"	32363.6733837327	32560.6681982318	22081.4397914588	22468.5436476405	22479.7116528522	33105.2630944886	22489.1031097789	32763.0288459725	22885.7363942489	22929.1509671772	22604.1435003875	22616.158577722	23005.9667008064	21831.3287463903	32573.7140854165	22538.1263669867	0	22619.2422236106	22269.994406834	33291.6803262015	32613.6760801564	32578.7425481951	23697.2786469477	22652.0524927857	32871.6533433268	32641.7415959601
"53F"	29715.84843474	29916.9701964374	22096.1829200641	21609.504114758	21920.3877265594	30529.0134420106	21910.004399407	30078.2964657813	21911.3517711319	21903.1733636234	21895.4883851907	22009.5092651673	22388.4774572733	21503.4871319471	29991.5806572692	21826.5876107906	22619.2422236106	0	20850.1330101222	30789.8829914271	29919.8245789123	30063.8368022445	22370.4852331834	21719.5350918103	30334.1346006121	30154.4886670943
"54F"	30263.1784448872	30218.7542528186	21707.2614719206	21245.886958832	21462.5827662726	30907.6079986862	21081.232327706	30618.4724314309	21600.1774063523	21442.5379451064	21312.1002969521	21646.9293050742	22041.8514699984	20586.0299388655	30095.8833532293	21371.094496747	22269.994406834	20850.1330101222	0	30695.492712427	30366.8092040331	30475.4875659731	21760.9357131642	20823.2299659241	30679.3609974829	30400.0398854086
"59M"	23373.4562991821	22750.4306101376	31684.2837629249	30506.5450325931	31287.2354320411	21719.6748834236	31365.016048968	23638.9617533385	30049.3367129015	30070.8708615226	30074.6026204067	32655.9557905411	33083.7163555327	31343.9511681445	22089.6364078563	31665.5863760154	33291.6803262015	30789.8829914271	30695.492712427	0	23189.9908412596	23272.5967290062	27812.4819098263	29895.8140853614	23290.2941863194	23362.4692222083
"64M"	23109.804844686	23470.1539102454	31088.75807745	29805.0761098269	30607.0913772133	23134.8819719255	31270.0443844602	23368.5398768608	29515.7269863604	29439.1949563177	29731.6024375806	31980.3962608054	32138.9349094534	31173.581404493	22999.2753393148	30930.6258761724	32613.6760801564	29919.8245789123	30366.8092040331	23189.9908412596	0	23192.0115553725	28615.1512273657	29621.8074856622	23120.3512017911	23315.057696875
"6M"	22788.2103589562	22821.7073551669	31009.8075583255	29855.3285791351	30526.697271791	23003.4050665505	31223.0871586813	23359.3245760307	29538.6730984923	29424.1535185877	29381.8108454229	32092.1206887591	32304.5837754653	31281.9356056049	22890.1607245155	31055.1890423384	32578.7425481951	30063.8368022445	30475.4875659731	23272.5967290062	23192.0115553725	0	28373.6116947864	29473.324187107	22998.4155056223	22998.2013267814
"76F"	28416.2384891171	28133.3505453335	22821.7107290929	21997.4939452564	22735.0509911552	28182.865153358	22293.717519544	28600.9155602903	22279.7080615754	22178.5938258694	21720.0625030525	22850.5969448848	23668.8983888993	21542.0530325037	28105.0549392803	22620.4474251791	23697.2786469477	22370.4852331834	21760.9357131642	27812.4819098263	28615.1512273657	28373.6116947864	0	21258.7824984659	28973.0248110005	28502.9580387839
"77F"	29508.2720313387	29423.3860224598	22009.2152216749	21394.5275320221	21836.5100792217	29941.7073754878	21642.0450252709	29756.0342235508	21759.718758873	21715.8770441579	21211.6396373197	22177.6939743236	22708.9545174674	21159.0793772409	29112.2222390727	22171.9621267915	22652.0524927857	21719.5350918103	20823.2299659241	29895.8140853614	29621.8074856622	29473.324187107	21258.7824984659	0	29872.2454852259	29486.1760007204
"7M"	23029.4325530648	23402.9729931548	31265.4548777594	30162.0472147577	30724.1095113882	23068.023552064	31741.1264598235	23465.135488583	29702.5930935341	29743.4568298964	30021.3031625502	32418.3156695706	32604.44587066	31613.3183886751	22890.7913133314	31317.8682119421	32871.6533433268	30334.1346006121	30679.3609974829	23290.2941863194	23120.3512017911	22998.4155056223	28973.0248110005	29872.2454852259	0	22970.8258620153
"9M"	22958.6680752021	23244.6873020802	31048.0203963478	29908.6251392502	30620.9825535607	23214.3129340691	31179.9597375483	22945.0816050159	29555.8159082701	29228.7042678161	29783.4814127686	31724.8856976534	32318.5685366378	31117.509442616	22928.4036725903	31126.2532486864	32641.7415959601	30154.4886670943	30400.0398854086	23362.4692222083	23315.057696875	22998.2013267814	28502.9580387839	29486.1760007204	22970.8258620153	0
