GOslim.BP	Term	GO.IDs	Genes
GO:0006260	DNA replication	GO:0006261;GO:0006264;GO:0006268;GO:0006269;GO:0006270;GO:0006271;GO:0006272;GO:0006273;GO:0006275;GO:0008156;GO:0010571;GO:0030174;GO:0031297;GO:0032201;GO:0032298;GO:0032876;GO:0032877;GO:0033260;GO:0033262;GO:0033567;GO:0042023;GO:0043111;GO:0043137;GO:0045004;GO:0045740;GO:0062176;GO:0071163;GO:0071165;GO:0071932;GO:0090296;GO:0090297;GO:0090298;GO:0090329;GO:0110025;GO:1900264;GO:1902975;GO:1902977;GO:1902979;GO:1902983;GO:1902990;GO:1903463;GO:1903465;GO:1903469;GO:1904860;GO:1990426;GO:1990506; GO:0006260	LOC111108767,LOC111131355,LOC111101029,LOC111118490,LOC111120487,LOC111120114,LOC111123176,LOC111126184,LOC111125562,LOC111122897,LOC111128010,LOC111130152,LOC111131043,LOC111130718,LOC111137687,LOC111133909,LOC111134900,LOC111132381,LOC111134654,LOC111137582,LOC111135979,LOC111135402,LOC111135799,LOC111134136,LOC111100739,LOC111101926,LOC111102289,LOC111100880,LOC111105459,LOC111103398
GO:0006281	DNA repair	GO:0000012;GO:0000706;GO:0000717;GO:0000719;GO:0000720;GO:0000724;GO:0000725;GO:0000727;GO:0000729;GO:0000730;GO:0000731;GO:0006282;GO:0006283;GO:0006284;GO:0006285;GO:0006287;GO:0006288;GO:0006289;GO:0006290;GO:0006297;GO:0006298;GO:0006301;GO:0006302;GO:0006303;GO:0006307;GO:0007146;GO:0010569;GO:0010792;GO:0019985;GO:0036297;GO:0036298;GO:0042140;GO:0042276;GO:0043504;GO:0045002;GO:0045003;GO:0045004;GO:0045007;GO:0045008;GO:0045738;GO:0045739;GO:0051103;GO:0070914;GO:0070987;GO:0090262;GO:0097510;GO:0097680;GO:0097681;GO:0106300;GO:1901255;GO:1901291;GO:1903516;GO:1903518;GO:1903775;GO:1904161;GO:1905051;GO:1905053;GO:1905168;GO:1990414;GO:1990918;GO:2000042;GO:2000779;GO:2000780;GO:2000781;GO:2000819;GO:2001032;GO:2001033;GO:2001034; GO:0006281	LOC111119924,LOC111121723,LOC111120860,LOC111121647,LOC111121400,LOC111129239,LOC111128516,LOC111128425,LOC111135198,LOC111135354,LOC111136704,LOC111111868,LOC111111498
GO:0006310	DNA recombination	GO:0000018;GO:0000019;GO:0000712;GO:0000722;GO:0000724;GO:0000725;GO:0000727;GO:0000730;GO:0000732;GO:0006311;GO:0006312;GO:0006313;GO:0007131;GO:0007146;GO:0010569;GO:0010845;GO:0016447;GO:0033151;GO:0033152;GO:0033153;GO:0035825;GO:0036298;GO:0042140;GO:0042148;GO:0045003;GO:0045190;GO:0045191;GO:0045830;GO:0045910;GO:0045911;GO:0045950;GO:0048294;GO:0048297;GO:0048298;GO:0048302;GO:0048304;GO:0051026;GO:0051102;GO:0061819;GO:0071139;GO:0071140;GO:0071707;GO:0098530;GO:1905168;GO:1990414;GO:1990918;GO:2000042; GO:0006310	LOC111121011,LOC111121726,LOC111137412,LOC111104381,LOC111103867,LOC111104713
GO:0006325	chromatin organization	GO:0000183;GO:0006334;GO:0006335;GO:0006337;GO:0006338;GO:0006346;GO:0006349;GO:0009048;GO:0031048;GO:0031445;GO:0031452;GO:0031453;GO:0031507;GO:0031508;GO:0031509;GO:0033696;GO:0034080;GO:0034728;GO:0035092;GO:0040029;GO:0045814;GO:0045815;GO:0060817;GO:0060819;GO:0060820;GO:0070828;GO:0071514;GO:0090308;GO:0090309;GO:0090310;GO:0140673;GO:0140718;GO:0140861;GO:1900095;GO:1902275;GO:1905269;GO:1990700; GO:0006325	LOC111119924,LOC111121723,LOC111124334,LOC111127274,LOC111123066
GO:0006351	DNA-templated transcription	GO:0000083;GO:0000122;GO:0000432;GO:0000435;GO:0001080;GO:0001111;GO:0001174;GO:0001178;GO:0001188;GO:0001193;GO:0006352;GO:0006353;GO:0006355;GO:0006357;GO:0006359;GO:0006360;GO:0006361;GO:0006362;GO:0006363;GO:0006366;GO:0006367;GO:0006368;GO:0006369;GO:0006383;GO:0006384;GO:0006386;GO:0006390;GO:0006391;GO:0006990;GO:0007072;GO:0007221;GO:0007228;GO:0007253;GO:0009299;GO:0009301;GO:0009303;GO:0010944;GO:0016479;GO:0016480;GO:0017055;GO:0032088;GO:0032784;GO:0032785;GO:0032786;GO:0032792;GO:0032793;GO:0032968;GO:0034243;GO:0034244;GO:0036003;GO:0042789;GO:0042790;GO:0042791;GO:0042795;GO:0042796;GO:0042797;GO:0042994;GO:0043433;GO:0043619;GO:0043620;GO:0045892;GO:0045893;GO:0045899;GO:0045943;GO:0045944;GO:0045945;GO:0046015;GO:0051090;GO:0051091;GO:0051092;GO:0051123;GO:0060260;GO:0060261;GO:0060566;GO:0061418;GO:0061419;GO:0061428;GO:0061614;GO:0061987;GO:0070897;GO:0070898;GO:0071930;GO:0071931;GO:0140673;GO:1901522;GO:1901582;GO:1901836;GO:1901837;GO:1901838;GO:1902894;GO:1902895;GO:1903108;GO:1903109;GO:1905382;GO:1990440;GO:1990441;GO:1990787;GO:2000142;GO:2000144;GO:2000730;GO:2000805;GO:2000806;GO:2000825; GO:0006351	LOC111120643,LOC111125325,LOC111124507,LOC111135214,LOC111135204,LOC111107790,LOC111107574,LOC111110930
GO:0006355	regulation of DNA-templated transcription	GO:0000083;GO:0000122;GO:0000432;GO:0000435;GO:0001080;GO:0001178;GO:0006357;GO:0006359;GO:0006990;GO:0007072;GO:0007221;GO:0007228;GO:0007253;GO:0010944;GO:0016479;GO:0016480;GO:0017055;GO:0032088;GO:0032784;GO:0032785;GO:0032786;GO:0032792;GO:0032793;GO:0032968;GO:0034243;GO:0034244;GO:0036003;GO:0042994;GO:0043433;GO:0043619;GO:0043620;GO:0045892;GO:0045893;GO:0045899;GO:0045943;GO:0045944;GO:0045945;GO:0046015;GO:0051090;GO:0051091;GO:0051092;GO:0060260;GO:0060261;GO:0060566;GO:0061418;GO:0061419;GO:0061428;GO:0061987;GO:0071930;GO:0071931;GO:1901522;GO:1901582;GO:1901836;GO:1901837;GO:1901838;GO:1902894;GO:1902895;GO:1903108;GO:1903109;GO:1905382;GO:1990440;GO:1990441;GO:1990787;GO:2000142;GO:2000144;GO:2000730;GO:2000805;GO:2000806;GO:2000825; GO:0006355	LOC111120643,LOC111125325,LOC111124507,LOC111135214,LOC111135204,LOC111107790,LOC111107574,LOC111110930
GO:0006399	tRNA metabolic process	GO:0000379;GO:0000971;GO:0001680;GO:0001682;GO:0001717;GO:0002098;GO:0002100;GO:0002101;GO:0002128;GO:0002130;GO:0002143;GO:0002926;GO:0002939;GO:0002940;GO:0002943;GO:0002946;GO:0002949;GO:0006388;GO:0006400;GO:0006418;GO:0006419;GO:0006420;GO:0006421;GO:0006422;GO:0006423;GO:0006424;GO:0006425;GO:0006426;GO:0006427;GO:0006428;GO:0006429;GO:0006430;GO:0006431;GO:0006432;GO:0006433;GO:0006434;GO:0006435;GO:0006436;GO:0006437;GO:0006438;GO:0008033;GO:0016078;GO:0030488;GO:0031119;GO:0031591;GO:0034227;GO:0036416;GO:0042780;GO:0042797;GO:0043039;GO:0051391;GO:0070143;GO:0070145;GO:0070150;GO:0070153;GO:0070154;GO:0070155;GO:0070158;GO:0070183;GO:0070184;GO:0070681;GO:0070900;GO:0070902;GO:0071038;GO:0071951;GO:0090646;GO:0101030;GO:0106004;GO:0106074;GO:0106217;GO:0106354;GO:1990180;GO:1990983; GO:0006399	LOC111124329,LOC111120126,LOC111120312
GO:0006457	protein folding	GO:0006458;GO:0007023;GO:0022417;GO:0034975;GO:0042026;GO:0051083;GO:0051084;GO:0051085;GO:0051086;GO:0061077;GO:1903334;GO:1903644;GO:1903645; GO:0006457	LOC111121907,LOC111121939
GO:0006486	protein glycosylation	GO:0006487;GO:0006488;GO:0006489;GO:0006493;GO:0016266;GO:0016267;GO:0016268;GO:0018242;GO:0018243;GO:0018279;GO:0018406;GO:0035268;GO:0035269;GO:0036066;GO:0042125;GO:0042543;GO:0060049;GO:0060050;GO:0060051;GO:0097370; GO:0006486	LOC111122131,LOC111121994,LOC111110416,LOC111138032,LOC111121258,LOC111136571,LOC111103552,LOC111122035,LOC111113622,LOC111122438,LOC111120200,LOC111118324,LOC111119564,LOC111119763,LOC111125283,LOC111124162,LOC111124588,LOC111122836,LOC111125632,LOC111124365,LOC111123380,LOC111126062,LOC111124498,LOC111126414,LOC111129901,LOC111130127,LOC111128947,LOC111134962,LOC111135243,LOC111137731,LOC111136783,LOC111133538,LOC111133542,LOC111132159,LOC111134558,LOC111135242,LOC111134828,LOC111137033,LOC111099485,LOC111099578,LOC111103713,LOC111104545,LOC111104119,LOC111105594,LOC111110121,LOC111105830,LOC111108038,LOC111109100,LOC111108423,LOC111109889,LOC111109889,LOC111106457,LOC111111259,LOC111113415,LOC111111013,LOC111111566,LOC111111491,LOC111111492,LOC111111914,LOC111114984,LOC111114824,LOC111115227,LOC111111655,LOC111111624,LOC111112815,LOC111117450
GO:0006520	cellular amino acid metabolic process	GO:0000052;GO:0000053;GO:0000105;GO:0000821;GO:0006418;GO:0006419;GO:0006420;GO:0006421;GO:0006422;GO:0006423;GO:0006424;GO:0006425;GO:0006426;GO:0006427;GO:0006428;GO:0006429;GO:0006430;GO:0006431;GO:0006432;GO:0006433;GO:0006434;GO:0006435;GO:0006436;GO:0006437;GO:0006438;GO:0006522;GO:0006525;GO:0006526;GO:0006527;GO:0006528;GO:0006529;GO:0006531;GO:0006532;GO:0006533;GO:0006534;GO:0006535;GO:0006536;GO:0006537;GO:0006538;GO:0006539;GO:0006541;GO:0006542;GO:0006543;GO:0006544;GO:0006545;GO:0006546;GO:0006547;GO:0006548;GO:0006550;GO:0006552;GO:0006554;GO:0006555;GO:0006558;GO:0006559;GO:0006560;GO:0006561;GO:0006563;GO:0006564;GO:0006565;GO:0006567;GO:0006568;GO:0006569;GO:0006570;GO:0006571;GO:0006572;GO:0006574;GO:0006583;GO:0006585;GO:0006587;GO:0006591;GO:0006592;GO:0008652;GO:0009063;GO:0009069;GO:0009070;GO:0009071;GO:0009072;GO:0009083;GO:0009086;GO:0009087;GO:0009089;GO:0009092;GO:0009094;GO:0009097;GO:0009098;GO:0009099;GO:0009448;GO:0009449;GO:0009450;GO:0010121;GO:0010133;GO:0016261;GO:0019240;GO:0019264;GO:0019265;GO:0019284;GO:0019293;GO:0019343;GO:0019344;GO:0019346;GO:0019441;GO:0019442;GO:0019448;GO:0019449;GO:0019452;GO:0019464;GO:0019478;GO:0019481;GO:0019482;GO:0019483;GO:0019509;GO:0019510;GO:0019518;GO:0019544;GO:0019550;GO:0019551;GO:0019556;GO:0019557;GO:0019676;GO:0019878;GO:0033345;GO:0033387;GO:0033389;GO:0033396;GO:0033512;GO:0033514;GO:0034354;GO:0036088;GO:0042450;GO:0042851;GO:0042853;GO:0043039;GO:0043041;GO:0043418;GO:0043420;GO:0045763;GO:0046439;GO:0046947;GO:0050667;GO:0052707;GO:0055129;GO:0070143;GO:0070145;GO:0070150;GO:0070153;GO:0070154;GO:0070155;GO:0070158;GO:0070178;GO:0070179;GO:0070183;GO:0070184;GO:0070189;GO:0070681;GO:0070981;GO:0071266;GO:0071267;GO:0097053;GO:0097054;GO:1900079;GO:1900082;GO:1901605;GO:1903197;GO:1903249;GO:2000211;GO:2000213;GO:2001250; GO:0006520	LOC111126156,LOC111134926
GO:0006575	cellular modified amino acid metabolic process	GO:0000053;GO:0006577;GO:0006579;GO:0006590;GO:0006658;GO:0006659;GO:0006660;GO:0006749;GO:0006750;GO:0006751;GO:0006760;GO:0009257;GO:0009258;GO:0009437;GO:0015939;GO:0019254;GO:0019285;GO:0019510;GO:0030328;GO:0033477;GO:0033528;GO:0035999;GO:0036150;GO:0036531;GO:0042219;GO:0042403;GO:0042413;GO:0045329;GO:0046314;GO:0046452;GO:0046653;GO:0046654;GO:0046655;GO:0046900;GO:0046901;GO:0046947;GO:0052699;GO:0052704;GO:0052707;GO:1903197;GO:1903257;GO:2000609;GO:2000611	LOC111105882
GO:0006629	lipid metabolic process	GO:0000038;GO:0001516;GO:0001523;GO:0001561;GO:0001572;GO:0001573;GO:0001676;GO:0002138;GO:0002152;GO:0002933;GO:0006488;GO:0006489;GO:0006490;GO:0006505;GO:0006506;GO:0006507;GO:0006631;GO:0006633;GO:0006635;GO:0006636;GO:0006639;GO:0006640;GO:0006641;GO:0006642;GO:0006643;GO:0006644;GO:0006646;GO:0006650;GO:0006651;GO:0006654;GO:0006655;GO:0006656;GO:0006657;GO:0006658;GO:0006659;GO:0006660;GO:0006661;GO:0006663;GO:0006664;GO:0006665;GO:0006666;GO:0006668;GO:0006669;GO:0006670;GO:0006672;GO:0006676;GO:0006678;GO:0006679;GO:0006680;GO:0006681;GO:0006682;GO:0006683;GO:0006684;GO:0006685;GO:0006686;GO:0006687;GO:0006688;GO:0006689;GO:0006692;GO:0006693;GO:0006694;GO:0006695;GO:0006699;GO:0006700;GO:0006701;GO:0006702;GO:0006703;GO:0006706;GO:0006707;GO:0006710;GO:0006711;GO:0006720;GO:0006776;GO:0007553;GO:0008202;GO:0008203;GO:0008205;GO:0008206;GO:0008207;GO:0008209;GO:0008210;GO:0008211;GO:0008299;GO:0008300;GO:0008610;GO:0008611;GO:0008653;GO:0008654;GO:0009062;GO:0009104;GO:0009240;GO:0009247;GO:0009395;GO:0009686;GO:0010025;GO:0010028;GO:0010142;GO:0010430;GO:0010510;GO:0010513;GO:0010867;GO:0010868;GO:0010893;GO:0010894;GO:0010897;GO:0010898;GO:0010956;GO:0010957;GO:0016024;GO:0016042;GO:0016094;GO:0016095;GO:0016098;GO:0016101;GO:0016114;GO:0016121;GO:0016125;GO:0016126;GO:0016132;GO:0016254;GO:0016255;GO:0016488;GO:0019216;GO:0019217;GO:0019218;GO:0019287;GO:0019288;GO:0019348;GO:0019367;GO:0019369;GO:0019371;GO:0019372;GO:0019373;GO:0019376;GO:0019395;GO:0019408;GO:0019432;GO:0019433;GO:0019542;GO:0019543;GO:0019606;GO:0019626;GO:0019678;GO:0030148;GO:0030149;GO:0030258;GO:0030259;GO:0030497;GO:0030573;GO:0031161;GO:0031393;GO:0031394;GO:0031998;GO:0032000;GO:0032048;GO:0032049;GO:0032342;GO:0032347;GO:0032348;GO:0033306;GO:0033383;GO:0033384;GO:0033386;GO:0033489;GO:0033490;GO:0033539;GO:0033540;GO:0034440;GO:0034478;GO:0034625;GO:0034626;GO:0034638;GO:0034650;GO:0034651;GO:0034653;GO:0035238;GO:0035336;GO:0035338;GO:0035965;GO:0036092;GO:0036101;GO:0036102;GO:0036109;GO:0036111;GO:0036112;GO:0036114;GO:0036115;GO:0036149;GO:0036150;GO:0036151;GO:0036152;GO:0036378;GO:0042359;GO:0042369;GO:0042448;GO:0042572;GO:0042573;GO:0042574;GO:0042758;GO:0042759;GO:0042760;GO:0042761;GO:0042904;GO:0043048;GO:0043552;GO:0043553;GO:0043651;GO:0044242;GO:0044255;GO:0044258;GO:0044580;GO:0045337;GO:0045339;GO:0045487;GO:0045540;GO:0045541;GO:0045542;GO:0045717;GO:0045723;GO:0045922;GO:0045923;GO:0045998;GO:0046320;GO:0046321;GO:0046322;GO:0046327;GO:0046337;GO:0046338;GO:0046339;GO:0046340;GO:0046341;GO:0046359;GO:0046360;GO:0046459;GO:0046464;GO:0046466;GO:0046469;GO:0046470;GO:0046471;GO:0046473;GO:0046474;GO:0046475;GO:0046477;GO:0046479;GO:0046485;GO:0046486;GO:0046488;GO:0046511;GO:0046512;GO:0046513;GO:0046514;GO:0046834;GO:0046839;GO:0046854;GO:0046856;GO:0046889;GO:0046890;GO:0046949;GO:0046951;GO:0046952;GO:0050810;GO:0050992;GO:0050994;GO:0050995;GO:0050996;GO:0051055;GO:0051122;GO:0051790;GO:0051791;GO:0051792;GO:0051793;GO:0051999;GO:0052651;GO:0060304;GO:0060588;GO:0061370;GO:0061725;GO:0062175;GO:0062234;GO:0070292;GO:0070640;GO:0070857;GO:0070858;GO:0071071;GO:0071072;GO:0071073;GO:0071602;GO:0090032;GO:0090122;GO:0090155;GO:0090181;GO:0090205;GO:0090207;GO:0090209;GO:0090217;GO:0090218;GO:0090219;GO:0097089;GO:0097267;GO:0097384;GO:0120323;GO:0140493;GO:0150172;GO:1900053;GO:1900208;GO:1900210;GO:1900480;GO:1901738;GO:1901749;GO:1901750;GO:1901753;GO:1901810;GO:1902224;GO:1902247;GO:1902634;GO:1902635;GO:1903512;GO:1903741;GO:1904562;GO:1904736;GO:1905373;GO:1905693;GO:1905695;GO:1905828;GO:2000064;GO:2000065;GO:2000180;GO:2000182;GO:2000303;GO:2000304;GO:2000753;GO:2000755;GO:2001247;GO:2001301;GO:2001302;GO:2001303;GO:2001311; GO:0006629	LOC111132545,LOC111115085,LOC111138426,LOC111122309,LOC111121838,LOC111131759,LOC111131033,LOC111128451,LOC111129331,LOC111137682,LOC111135419,LOC111135201,LOC111135891,LOC111107850,LOC111115744,LOC111113990,LOC111115754,LOC111115745
GO:0006766	vitamin metabolic process	GO:0006768;GO:0006772;GO:0006776;GO:0008615;GO:0009229;GO:0009235;GO:0009443;GO:0010956;GO:0010957;GO:0015939;GO:0019852;GO:0019853;GO:0019854;GO:0034653;GO:0035238;GO:0036378;GO:0042357;GO:0042359;GO:0042360;GO:0042366;GO:0042369;GO:0042371;GO:0042373;GO:0042376;GO:0042377;GO:0042723;GO:0042822;GO:0042823;GO:0046655;GO:0070640;GO:0106064;GO:0106121;GO:1900053;GO:1901738; GO:0006766	LOC111135130
GO:0006790	sulfur compound metabolic process	GO:0000096;GO:0000103;GO:0006084;GO:0006085;GO:0006086;GO:0006104;GO:0006477;GO:0006478;GO:0006534;GO:0006535;GO:0006555;GO:0006556;GO:0006637;GO:0006749;GO:0006750;GO:0006751;GO:0006768;GO:0006772;GO:0009086;GO:0009087;GO:0009229;GO:0010510;GO:0016226;GO:0018146;GO:0018283;GO:0018909;GO:0019284;GO:0019287;GO:0019343;GO:0019344;GO:0019346;GO:0019427;GO:0019442;GO:0019448;GO:0019449;GO:0019452;GO:0019509;GO:0019510;GO:0019530;GO:0019762;GO:0019800;GO:0030202;GO:0030206;GO:0030207;GO:0030209;GO:0030210;GO:0030211;GO:0033353;GO:0033477;GO:0033512;GO:0033514;GO:0033528;GO:0035336;GO:0035338;GO:0036111;GO:0036112;GO:0036114;GO:0036115;GO:0036531;GO:0042340;GO:0042357;GO:0042412;GO:0042723;GO:0043418;GO:0044571;GO:0044572;GO:0044580;GO:0046356;GO:0046439;GO:0046491;GO:0046500;GO:0046949;GO:0050427;GO:0050667;GO:0051923;GO:0052699;GO:0052704;GO:0061720;GO:0070221;GO:0070813;GO:0070814;GO:0071266;GO:0071267;GO:1901289;GO:1901290;GO:1901687;GO:1901749;GO:1901750;GO:1902858;GO:1902859;GO:1903331;GO:2001294;GO:2001295; GO:0006790	LOC111137404,LOC111134065
GO:0006886	intracellular protein transport	GO:0001844;GO:0006605;GO:0006606;GO:0006607;GO:0006610;GO:0006611;GO:0006612;GO:0006613;GO:0006614;GO:0006616;GO:0006617;GO:0006620;GO:0006622;GO:0006623;GO:0006625;GO:0006626;GO:0006627;GO:0016256;GO:0016558;GO:0016560;GO:0016561;GO:0016562;GO:0030150;GO:0030970;GO:0031204;GO:0032527;GO:0032979;GO:0033157;GO:0042306;GO:0042307;GO:0042308;GO:0043328;GO:0044721;GO:0044861;GO:0045039;GO:0045040;GO:0045041;GO:0045046;GO:0045047;GO:0045204;GO:0046825;GO:0046826;GO:0046827;GO:0051204;GO:0065002;GO:0070845;GO:0070863;GO:0071211;GO:0090314;GO:0090315;GO:0090316;GO:0090317;GO:0098840;GO:0098887;GO:0098943;GO:0099152;GO:0099638;GO:0099639;GO:0099641;GO:0140450;GO:1900740;GO:1903214;GO:1903215;GO:1903217;GO:1903445;GO:1903533;GO:1903638;GO:1903955;GO:1904152;GO:1904153;GO:1904154;GO:1904211;GO:1990953; GO:0006886	LOC111103080
GO:0006913	nucleocytoplasmic transport	GO:0000054;GO:0000055;GO:0000056;GO:0006404;GO:0006405;GO:0006406;GO:0006407;GO:0006408;GO:0006409;GO:0006606;GO:0006607;GO:0006610;GO:0006611;GO:0010793;GO:0016973;GO:0031990;GO:0042306;GO:0042307;GO:0042308;GO:0045204;GO:0046822;GO:0046823;GO:0046824;GO:0046825;GO:0046826;GO:0046827;GO:0046832;GO:0046833;GO:0051168;GO:0051170;GO:0061015;GO:0071528;GO:0140591;GO:2000208; GO:0006913	LOC111125104,LOC111125671,LOC111129825
GO:0006914	autophagy	GO:0000045;GO:0000422;GO:0000423;GO:0000425;GO:0010506;GO:0010507;GO:0010508;GO:0016236;GO:0016237;GO:0016239;GO:0016240;GO:0016241;GO:0016242;GO:0016243;GO:0030242;GO:0034497;GO:0034517;GO:0034727;GO:0035695;GO:0035973;GO:0044804;GO:0044805;GO:0061684;GO:0061709;GO:0061723;GO:0061724;GO:0061734;GO:0061738;GO:0061739;GO:0061909;GO:0061912;GO:0071211;GO:0097352;GO:0098779;GO:0098792;GO:1901096;GO:1901097;GO:1901098;GO:1901525;GO:1901526;GO:1902902;GO:1903146;GO:1903147;GO:1903599;GO:1904417;GO:1904504;GO:1904925;GO:1905037;GO:1905090;GO:1905337;GO:2000785;GO:2000786; GO:0006914	LOC111111995,LOC111111995,LOC111111295,LOC111137235,LOC111128360,LOC111128360,LOC111133120,LOC111119767,LOC111120978,LOC111119828,LOC111118945,LOC111119147,LOC111120809,LOC111124607,LOC111124608,LOC111124610,LOC111125472,LOC111123325,LOC111127325,LOC111125798,LOC111128059,LOC111128047,LOC111127926,LOC111130268,LOC111129256,LOC111129995,LOC111127889,LOC111127889,LOC111131738,LOC111131691,LOC111099101,LOC111135747,LOC111135459,LOC111134873,LOC111133363,LOC111132058,LOC111103567,LOC111108144,LOC111109271,LOC111105967,LOC111108376,LOC111114705,LOC111115682
GO:0006954	inflammatory response	GO:0001774;GO:0001807;GO:0002232;GO:0002265;GO:0002282;GO:0002432;GO:0002437;GO:0002523;GO:0002526;GO:0002532;GO:0002536;GO:0002540;GO:0002542;GO:0002544;GO:0002552;GO:0002553;GO:0002554;GO:0002673;GO:0002674;GO:0002675;GO:0002677;GO:0002862;GO:0002863;GO:0002866;GO:0002882;GO:0006953;GO:0031622;GO:0048143;GO:0050727;GO:0050728;GO:0050729;GO:0060266;GO:0090594;GO:0106014;GO:0106015;GO:0106016;GO:0150077;GO:0150103;GO:1900015;GO:1900016;GO:1900017;GO:1903595;GO:1903979;GO:1903980; GO:0006954	LOC111128838,LOC111104302,LOC111119282,LOC111136087
GO:0007005	mitochondrion organization	GO:0000002;GO:0000266;GO:0000422;GO:0000423;GO:0001836;GO:0001844;GO:0006264;GO:0006626;GO:0006627;GO:0007006;GO:0007007;GO:0007008;GO:0008053;GO:0008637;GO:0010635;GO:0010636;GO:0010637;GO:0010821;GO:0010822;GO:0010823;GO:0030150;GO:0030382;GO:0032042;GO:0032043;GO:0032976;GO:0032979;GO:0032981;GO:0033108;GO:0033615;GO:0033617;GO:0034551;GO:0034553;GO:0035694;GO:0035695;GO:0035794;GO:0035795;GO:0042407;GO:0043504;GO:0043653;GO:0045039;GO:0045040;GO:0045041;GO:0046902;GO:0048311;GO:0048312;GO:0051204;GO:0061734;GO:0070584;GO:0090140;GO:0090141;GO:0090149;GO:0090200;GO:0090201;GO:0090258;GO:0090296;GO:0090297;GO:0090298;GO:0097250;GO:0097345;GO:0098779;GO:1900740;GO:1901028;GO:1901029;GO:1901030;GO:1901525;GO:1901526;GO:1901858;GO:1901859;GO:1902108;GO:1902109;GO:1902110;GO:1902445;GO:1902686;GO:1903146;GO:1903147;GO:1903214;GO:1903215;GO:1903217;GO:1903599;GO:1903638;GO:1903850;GO:1903852;GO:1903955;GO:1904925;GO:1905090;GO:1990046; GO:0007005	LOC111106437,LOC111107339,LOC111107528,LOC111119455,LOC111122069,LOC111120276,LOC111122310,LOC111122653,LOC111124160,LOC111131342,LOC111131327,LOC111128546,LOC111128543,LOC111128548,LOC111129167,LOC111132442,LOC111135903,LOC111100667,LOC111100760,LOC111102086,LOC111102202,LOC111102204,LOC111103517,LOC111105042,LOC111103795,LOC111103795,LOC111103796,LOC111102818,LOC111105213,LOC111108932,LOC111109072,LOC111112528,LOC111113627,LOC111113658,LOC111112269,LOC111114232,LOC111116305,LOC111116346,LOC111116348,LOC111116429,LOC111116647
GO:0007010	cytoskeleton organization	GO:0000022;GO:0000132;GO:0000212;GO:0000226;GO:0000915;GO:0001578;GO:0007015;GO:0007019;GO:0007020;GO:0007026;GO:0007051;GO:0007052;GO:0007053;GO:0007056;GO:0007057;GO:0007098;GO:0007099;GO:0007100;GO:0007288;GO:0008064;GO:0008103;GO:0008154;GO:0008302;GO:0008335;GO:0010457;GO:0010824;GO:0010825;GO:0010826;GO:0010968;GO:0014866;GO:0016325;GO:0021817;GO:0030034;GO:0030036;GO:0030041;GO:0030042;GO:0030043;GO:0030046;GO:0030047;GO:0030239;GO:0030240;GO:0030241;GO:0030832;GO:0030833;GO:0030835;GO:0030837;GO:0030838;GO:0030865;GO:0030866;GO:0030950;GO:0030951;GO:0030953;GO:0030954;GO:0031023;GO:0031032;GO:0031034;GO:0031036;GO:0031037;GO:0031106;GO:0031109;GO:0031110;GO:0031111;GO:0031113;GO:0031114;GO:0031115;GO:0031116;GO:0031117;GO:0031122;GO:0031247;GO:0031322;GO:0031532;GO:0032053;GO:0032185;GO:0032231;GO:0032232;GO:0032233;GO:0032888;GO:0032956;GO:0034314;GO:0034315;GO:0034316;GO:0034453;GO:0034454;GO:0035082;GO:0036158;GO:0036159;GO:0040001;GO:0042989;GO:0043149;GO:0043538;GO:0043622;GO:0045010;GO:0045104;GO:0045108;GO:0045109;GO:0045214;GO:0046599;GO:0046600;GO:0046601;GO:0046602;GO:0046603;GO:0046604;GO:0046605;GO:0046785;GO:0048769;GO:0048789;GO:0051013;GO:0051016;GO:0051017;GO:0051125;GO:0051126;GO:0051225;GO:0051228;GO:0051231;GO:0051255;GO:0051256;GO:0051257;GO:0051293;GO:0051294;GO:0051295;GO:0051298;GO:0051299;GO:0051300;GO:0051492;GO:0051493;GO:0051494;GO:0051495;GO:0051496;GO:0051497;GO:0051638;GO:0051639;GO:0051693;GO:0051694;GO:0051764;GO:0055003;GO:0055005;GO:0060052;GO:0060236;GO:0060297;GO:0060298;GO:0060299;GO:0060404;GO:0061511;GO:0061572;GO:0061573;GO:0062177;GO:0070060;GO:0070286;GO:0070462;GO:0070507;GO:0070649;GO:0070650;GO:0071688;GO:0071689;GO:0071691;GO:0072393;GO:0090063;GO:0090135;GO:0090169;GO:0090176;GO:0090222;GO:0090306;GO:0090307;GO:0090527;GO:0098534;GO:0098535;GO:0098974;GO:0099140;GO:0099190;GO:0106036;GO:0110020;GO:0110028;GO:0110053;GO:0150101;GO:1901673;GO:1902441;GO:1902850;GO:1903126;GO:1903475;GO:1903479;GO:1903723;GO:1903724;GO:1904158;GO:1905305;GO:1905832;GO:1905833;GO:2000249;GO:2000431;GO:2000601;GO:2000812;GO:2000813; GO:0007010	LOC111132123,LOC111104252,LOC111115046
