LOC111102776 rna-XM_022435641.1
LOC111102828 rna-XM_022435721.1
LOC111102833 rna-XM_022435792.1
LOC111102841 rna-XM_022435747.1
LOC111102843 rna-XM_022435752.1
LOC111102850 rna-XM_022435762.1
LOC111102872 rna-XR_002634586.1
LOC111102888 rna-XM_022435818.1
LOC111102967 rna-XM_022435924.1
LOC111102981 rna-XM_022435941.1
LOC111102989 rna-XM_022435955.1
LOC111103003 rna-XM_022435983.1
LOC111103027 rna-XM_022436024.1
LOC111103032 rna-XM_022436032.1
LOC111103039 rna-XR_002634634.1
LOC111103044 rna-XM_022436044.1
LOC111103075 rna-XM_022436079.1
LOC111103079 rna-XM_022436088.1
LOC111103091 rna-XM_022436106.1
LOC111103092 rna-XM_022436111.1
LOC111103115 rna-XM_022436143.1
LOC111103144 rna-XM_022436191.1
LOC111103148 rna-XM_022436193.1
LOC111103176 rna-XM_022436243.1
LOC111103204 rna-XM_022436281.1
LOC111103205 rna-XR_002634671.1
LOC111103220 rna-XM_022436300.1
LOC111103223 rna-XM_022436308.1
LOC111103234 rna-XM_022436318.1
LOC111103235 rna-XM_022436324.1
LOC111103236 rna-XM_022436326.1
LOC111103253 rna-XM_022436378.1
LOC111103304 rna-XM_022436472.1
LOC111103316 rna-XM_022436498.1
LOC111103328 rna-XM_022436512.1
LOC111103344 rna-XR_002634706.1
LOC111103345 rna-XR_002634719.1
LOC111103375 rna-XM_022436608.1
LOC111103393 rna-XM_022436640.1
LOC111103400 rna-XM_022436669.1
LOC111103402 rna-XM_022436670.1
LOC111103417 rna-XM_022436696.1
LOC111103430 rna-XM_022436709.1
LOC111103431 rna-XR_002634750.1
LOC111103443 rna-XR_002634761.1
LOC111103452 rna-XM_022436736.1
LOC111103465 rna-XM_022436758.1
LOC111103484 rna-XM_022436790.1
LOC111103511 rna-XM_022436832.1
LOC111103587 rna-XM_022436946.1
LOC111103594 rna-XM_022436971.1
LOC111103596 rna-XM_022436980.1
LOC111103646 rna-XM_022437053.1
LOC111103658 rna-XM_022437078.1
LOC111103664 rna-XM_022437083.1
LOC111103676 rna-XM_022437105.1
LOC111103677 rna-XM_022437111.1
LOC111103696 rna-XM_022437134.1
LOC111103697 rna-XM_022437135.1
LOC111103744 rna-XM_022437188.1
LOC111103762 rna-XM_022437224.1
LOC111103783 rna-XM_022437251.1
LOC111103803 rna-XM_022437285.1
LOC111103809 rna-XM_022437303.1
LOC111103814 rna-XM_022437317.1
LOC111103821 rna-XM_022437339.1
LOC111103827 rna-XM_022437363.1
LOC111103829 rna-XM_022437366.1
LOC111103835 rna-XM_022437375.1
LOC111103840 rna-XM_022437383.1
LOC111103847 rna-XM_022437393.1
LOC111103848 rna-XM_022437401.1
LOC111103869 rna-XM_022437496.1
LOC111103877 rna-XM_022437446.1
LOC111103896 rna-XM_022437487.1
LOC111103943 rna-XM_022437584.1
LOC111103982 rna-XM_022437654.1
LOC111104098 rna-XM_022437845.1
LOC111104104 rna-XM_022437857.1
LOC111104108 rna-XM_022437861.1
LOC111104129 rna-XM_022437915.1
LOC111104156 rna-XM_022437955.1
LOC111104159 rna-XM_022437960.1
LOC111104161 rna-XM_022437965.1
LOC111104169 rna-XM_022437976.1
LOC111104186 rna-XM_022438002.1
LOC111104196 rna-XM_022438028.1
LOC111104208 rna-XM_022438043.1
LOC111104238 rna-XM_022438081.1
LOC111104243 rna-XR_002634857.1
LOC111104244 rna-XM_022438086.1
LOC111104252 rna-XM_022438100.1
LOC111104302 rna-XM_022438182.1
LOC111104342 rna-XM_022438237.1
LOC111104346 rna-XM_022438241.1
LOC111104349 rna-XM_022438250.1
LOC111104376 rna-XM_022438283.1
LOC111104382 rna-XM_022438299.1
LOC111104386 rna-XR_002634879.1
LOC111104396 rna-XM_022438316.1
LOC111104424 rna-XM_022438362.1
LOC111104449 rna-XR_002634889.1
LOC111104451 rna-XM_022438420.1
LOC111104453 rna-XM_022438536.1
LOC111104461 rna-XM_022438434.1
LOC111104497 rna-XR_002634895.1
LOC111104501 rna-XM_022438490.1
LOC111104526 rna-XM_022438528.1
LOC111104531 rna-XM_022438537.1
LOC111104591 rna-XM_022438610.1
LOC111104625 rna-XM_022438653.1
LOC111104629 rna-XM_022438689.1
LOC111104650 rna-XM_022438714.1
LOC111104660 rna-XM_022438725.1
LOC111104721 rna-XM_022438820.1
LOC111104729 rna-XR_002634950.1
LOC111104732 rna-XR_002634951.1
LOC111104769 rna-XM_022438887.1
LOC111104783 rna-XM_022438909.1
LOC111104784 rna-XM_022438916.1
LOC111104807 rna-XR_002634968.1
