gene_name,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
LOC111136545,rna-XM_022487464.1,rna-XM_022487464.1,rna-XM_022487464.1,rna-XM_022487464.1
LOC111136546,rna-XM_022487466.1,rna-XM_022487466.1,rna-XM_022487465.1,rna-XM_022487465.1
LOC111136547,rna-XM_022487472.1,rna-XM_022487472.1,rna-XM_022487482.1,rna-XM_022487482.1
LOC111136548,rna-XM_022487477.1,rna-XM_022487468.1,rna-XR_002639764.1,rna-XM_022487468.1
LOC111136549,rna-XM_022487480.1,rna-XM_022487480.1,rna-XM_022487480.1,rna-XM_022487480.1
LOC111136550,rna-XM_022487483.1,rna-XM_022487483.1,rna-XM_022487483.1,rna-XM_022487483.1
LOC111136551,rna-XM_022487484.1,rna-XM_022487484.1,rna-XM_022487484.1,rna-XM_022487484.1
LOC111136552,rna-XM_022487486.1,rna-XM_022487486.1,rna-XM_022487485.1,rna-XM_022487486.1
LOC111136553,rna-XM_022487488.1,rna-XM_022487488.1,rna-XM_022487488.1,rna-XM_022487488.1
LOC111136554,rna-XM_022487495.1,rna-XM_022487495.1,rna-XM_022487495.1,rna-XM_022487495.1
LOC111136555,rna-XM_022487493.1,rna-XM_022487493.1,rna-XM_022487493.1,rna-XM_022487493.1
LOC111136556,rna-XM_022487497.1,rna-XM_022487497.1,rna-XM_022487497.1,rna-XM_022487497.1
LOC111136557,rna-XM_022487498.1,rna-XM_022487498.1,rna-XM_022487498.1,rna-XM_022487498.1
LOC111136558,rna-XM_022487499.1,rna-XM_022487499.1,rna-XM_022487499.1,rna-XM_022487499.1
LOC111136559,rna-XM_022487500.1,rna-XM_022487500.1,rna-XM_022487500.1,rna-XM_022487500.1
LOC111136560,rna-XM_022487501.1,rna-XM_022487501.1,rna-XM_022487501.1,rna-XM_022487501.1
LOC111136561,rna-XM_022487502.1,rna-XM_022487502.1,rna-XM_022487502.1,rna-XM_022487502.1
LOC111136562,rna-XM_022487505.1,rna-XM_022487505.1,rna-XM_022487504.1,rna-XM_022487504.1
LOC111136563,rna-XM_022487508.1,rna-XM_022487508.1,rna-XM_022487508.1,rna-XM_022487508.1
LOC111136564,rna-XM_022487509.1,rna-XM_022487509.1,rna-XM_022487509.1,rna-XM_022487509.1
LOC111136565,rna-XM_022487510.1,rna-XM_022487510.1,rna-XM_022487510.1,rna-XM_022487510.1
LOC111136566,rna-XM_022487512.1,rna-XM_022487511.1,rna-XM_022487512.1,rna-XM_022487512.1
LOC111136567,rna-XM_022487513.1,rna-XM_022487513.1,rna-XM_022487513.1,rna-XM_022487513.1
LOC111136568,rna-XR_002639765.1,rna-XR_002639765.1,rna-XR_002639765.1,rna-XR_002639765.1
LOC111136569,rna-XM_022487514.1,rna-XM_022487514.1,rna-XM_022487514.1,rna-XM_022487514.1
LOC111136570,rna-XM_022487515.1,rna-XM_022487515.1,rna-XM_022487515.1,rna-XM_022487515.1
LOC111136571,rna-XM_022487519.1,rna-XM_022487519.1,rna-XM_022487519.1,rna-XM_022487519.1
LOC111136572,rna-XM_022487516.1,rna-XM_022487516.1,rna-XM_022487517.1,rna-XM_022487517.1
LOC111136573,rna-XM_022487518.1,rna-XM_022487518.1,rna-XM_022487518.1,rna-XM_022487518.1
LOC111136574,rna-XM_022487520.1,rna-XM_022487520.1,rna-XM_022487520.1,rna-XM_022487520.1
LOC111136575,rna-XM_022487521.1,rna-XM_022487521.1,rna-XM_022487521.1,rna-XM_022487521.1
LOC111136576,rna-XM_022487522.1,rna-XM_022487522.1,rna-XM_022487522.1,rna-XM_022487522.1
LOC111136577,rna-XM_022487523.1,rna-XM_022487523.1,rna-XM_022487523.1,rna-XM_022487523.1
LOC111136578,rna-XM_022487524.1,rna-XM_022487524.1,rna-XM_022487524.1,rna-XM_022487524.1
LOC111136579,rna-XM_022487525.1,rna-XM_022487525.1,rna-XM_022487525.1,rna-XM_022487525.1
LOC111136580,rna-XM_022487526.1,rna-XM_022487526.1,rna-XM_022487526.1,rna-XM_022487526.1
LOC111136581,rna-XR_002639766.1,rna-XR_002639766.1,rna-XR_002639766.1,rna-XR_002639766.1
LOC111136582,rna-XM_022487527.1,rna-XM_022487527.1,rna-XM_022487527.1,rna-XM_022487527.1
LOC111136583,rna-XM_022487528.1,rna-XM_022487528.1,rna-XM_022487528.1,rna-XM_022487528.1
LOC111136584,rna-XM_022487529.1,rna-XM_022487529.1,rna-XM_022487529.1,rna-XM_022487529.1
LOC111136585,rna-XM_022487530.1,rna-XM_022487532.1,rna-XM_022487530.1,rna-XM_022487530.1
LOC111136586,rna-XM_022487533.1,rna-XM_022487533.1,rna-XM_022487533.1,rna-XM_022487533.1
LOC111136587,rna-XM_022487537.1,rna-XM_022487537.1,rna-XM_022487537.1,rna-XM_022487537.1
LOC111136588,rna-XR_002639769.1,rna-XR_002639769.1,rna-XR_002639767.1,rna-XR_002639768.1
LOC111136589,rna-XM_022487538.1,rna-XM_022487536.1,rna-XM_022487536.1,rna-XM_022487536.1
LOC111136590,rna-XM_022487539.1,rna-XM_022487539.1,rna-XM_022487539.1,rna-XM_022487539.1
LOC111136591,rna-XM_022487542.1,rna-XM_022487542.1,rna-XM_022487540.1,rna-XM_022487540.1
LOC111136592,rna-XM_022487550.1,rna-XM_022487550.1,rna-XM_022487550.1,rna-XM_022487550.1
LOC111136593,rna-XR_002639774.1,rna-XR_002639774.1,rna-XR_002639774.1,rna-XR_002639774.1
LOC111136594,rna-XM_022487558.1,rna-XM_022487558.1,rna-XM_022487558.1,rna-XM_022487558.1
LOC111136595,rna-XM_022487563.1,rna-XM_022487563.1,rna-XM_022487559.1,rna-XM_022487559.1
LOC111136596,rna-XM_022487565.1,rna-XM_022487565.1,rna-XM_022487565.1,rna-XM_022487565.1
LOC111136597,rna-XM_022487564.1,rna-XM_022487564.1,rna-XM_022487564.1,rna-XM_022487564.1
LOC111136598,rna-XM_022487568.1,rna-XM_022487568.1,rna-XM_022487568.1,rna-XM_022487568.1
LOC111136599,rna-XM_022487569.1,rna-XM_022487569.1,rna-XM_022487569.1,rna-XM_022487569.1
LOC111136600,rna-XR_002639773.1,rna-XR_002639773.1,rna-XR_002639773.1,rna-XR_002639773.1
LOC111136601,rna-XM_022487570.1,rna-XM_022487570.1,rna-XM_022487570.1,rna-XM_022487570.1
LOC111136602,rna-XM_022487573.1,rna-XM_022487573.1,rna-XM_022487571.1,rna-XM_022487573.1
LOC111136603,rna-XM_022487575.1,rna-XM_022487575.1,rna-XM_022487575.1,rna-XM_022487575.1
LOC111136604,rna-XM_022487574.1,rna-XM_022487574.1,rna-XM_022487574.1,rna-XM_022487574.1
LOC111136605,gene-LOC111136605,gene-LOC111136605,gene-LOC111136605,gene-LOC111136605
LOC111136606,rna-XM_022487576.1,rna-XM_022487576.1,rna-XM_022487576.1,rna-XM_022487576.1
LOC111136607,rna-XM_022487577.1,rna-XM_022487577.1,rna-XM_022487577.1,rna-XM_022487577.1
LOC111136608,rna-XM_022487578.1,rna-XM_022487578.1,rna-XM_022487578.1,rna-XM_022487578.1
LOC111136609,rna-XM_022487580.1,rna-XM_022487580.1,rna-XM_022487582.1,rna-XM_022487580.1
LOC111136610,rna-XM_022487588.1,rna-XM_022487588.1,rna-XM_022487588.1,rna-XM_022487588.1
LOC111136611,rna-XM_022487585.1,rna-XM_022487585.1,rna-XM_022487585.1,rna-XM_022487585.1
LOC111136612,rna-XM_022487587.1,rna-XM_022487587.1,rna-XM_022487587.1,rna-XM_022487587.1
LOC111136613,rna-XM_022487589.1,rna-XM_022487589.1,rna-XM_022487589.1,rna-XM_022487589.1
LOC111136614,rna-XM_022487590.1,rna-XM_022487590.1,rna-XM_022487590.1,rna-XM_022487590.1
LOC111136615,rna-XM_022487592.1,rna-XM_022487592.1,rna-XM_022487591.1,rna-XM_022487591.1
LOC111136616,rna-XM_022487595.1,rna-XM_022487595.1,rna-XM_022487595.1,rna-XM_022487595.1
LOC111136617,rna-XM_022487597.1,rna-XM_022487597.1,rna-XM_022487597.1,rna-XM_022487597.1
LOC111136618,rna-XM_022487601.1,rna-XM_022487601.1,rna-XM_022487601.1,rna-XM_022487601.1
LOC111136619,rna-XM_022487598.1,rna-XM_022487598.1,rna-XM_022487598.1,rna-XM_022487598.1
LOC111136620,rna-XM_022487599.1,rna-XM_022487599.1,rna-XM_022487599.1,rna-XM_022487599.1
LOC111136621,rna-XM_022487600.1,rna-XM_022487600.1,rna-XM_022487600.1,rna-XM_022487600.1
LOC111136622,rna-XM_022487602.1,rna-XM_022487602.1,rna-XM_022487602.1,rna-XM_022487602.1
LOC111136623,rna-XM_022487603.1,rna-XM_022487603.1,rna-XM_022487603.1,rna-XM_022487603.1
LOC111136624,rna-XM_022487604.1,rna-XM_022487604.1,rna-XM_022487604.1,rna-XM_022487604.1
LOC111136625,rna-XM_022487605.1,rna-XM_022487605.1,rna-XM_022487605.1,rna-XM_022487605.1
LOC111136626,rna-XR_002639775.1,rna-XR_002639775.1,rna-XR_002639775.1,rna-XR_002639775.1
LOC111136627,rna-XM_022487610.1,rna-XM_022487610.1,rna-XM_022487610.1,rna-XM_022487610.1
LOC111136628,rna-XM_022487614.1,rna-XM_022487614.1,rna-XM_022487614.1,rna-XM_022487614.1
LOC111136629,rna-XM_022487615.1,rna-XM_022487615.1,rna-XM_022487615.1,rna-XM_022487615.1
LOC111136630,rna-XM_022487617.1,rna-XM_022487617.1,rna-XM_022487617.1,rna-XM_022487617.1
LOC111136631,rna-XM_022487619.1,rna-XM_022487619.1,rna-XM_022487619.1,rna-XM_022487619.1
LOC111136632,rna-XM_022487622.1,rna-XM_022487622.1,rna-XM_022487622.1,rna-XM_022487622.1
LOC111136633,rna-XM_022487623.1,rna-XM_022487623.1,rna-XM_022487623.1,rna-XM_022487623.1
LOC111136634,rna-XM_022487624.1,rna-XM_022487624.1,rna-XM_022487624.1,rna-XM_022487624.1
LOC111136635,rna-XM_022487625.1,rna-XM_022487625.1,rna-XM_022487625.1,rna-XM_022487625.1
LOC111136636,rna-XM_022487649.1,rna-XM_022487630.1,rna-XM_022487630.1,rna-XM_022487630.1
LOC111136637,rna-XM_022487626.1,rna-XM_022487626.1,rna-XM_022487626.1,rna-XM_022487626.1
LOC111136638,rna-XM_022487627.1,rna-XM_022487627.1,rna-XM_022487627.1,rna-XM_022487627.1
LOC111136639,rna-XM_022487634.1,rna-XM_022487634.1,rna-XM_022487634.1,rna-XM_022487634.1
LOC111136640,rna-XM_022487635.1,rna-XM_022487635.1,rna-XM_022487635.1,rna-XM_022487635.1
LOC111136641,rna-XM_022487639.1,rna-XM_022487639.1,rna-XM_022487639.1,rna-XM_022487639.1
LOC111136642,rna-XM_022487643.1,rna-XM_022487643.1,rna-XM_022487643.1,rna-XM_022487643.1
LOC111136643,rna-XM_022487644.1,rna-XM_022487644.1,rna-XM_022487644.1,rna-XM_022487644.1
LOC111136644,rna-XM_022487645.1,rna-XM_022487645.1,rna-XM_022487646.1,rna-XM_022487646.1
LOC111136645,rna-XM_022487647.1,rna-XM_022487648.1,rna-XM_022487648.1,rna-XM_022487648.1
LOC111136646,rna-XM_022487650.1,rna-XM_022487650.1,rna-XM_022487650.1,rna-XM_022487650.1
LOC111136647,rna-XM_022487654.1,rna-XM_022487651.1,rna-XM_022487654.1,rna-XM_022487654.1
LOC111136648,rna-XM_022487655.1,rna-XM_022487655.1,rna-XM_022487655.1,rna-XM_022487655.1
LOC111136649,rna-XM_022487712.1,rna-XM_022487712.1,rna-XM_022487712.1,rna-XM_022487712.1
LOC111136650,rna-XM_022487656.1,rna-XM_022487657.1,rna-XM_022487656.1,rna-XM_022487656.1
LOC111136651,rna-XM_022487658.1,rna-XM_022487658.1,rna-XM_022487659.1,rna-XM_022487659.1
LOC111136652,rna-XM_022487661.1,rna-XM_022487661.1,rna-XM_022487661.1,rna-XM_022487661.1
LOC111136653,rna-XM_022487662.1,rna-XM_022487662.1,rna-XM_022487662.1,rna-XM_022487662.1
LOC111136654,rna-XM_022487663.1,rna-XM_022487663.1,rna-XM_022487663.1,rna-XM_022487663.1
LOC111136655,rna-XM_022487665.1,rna-XM_022487665.1,rna-XM_022487666.1,rna-XM_022487666.1
LOC111136656,rna-XM_022487667.1,rna-XM_022487667.1,rna-XM_022487667.1,rna-XM_022487667.1
LOC111136657,rna-XM_022487669.1,rna-XM_022487669.1,rna-XM_022487669.1,rna-XM_022487669.1
LOC111136658,rna-XR_002639777.1,rna-XM_022487670.1,rna-XR_002639777.1,rna-XR_002639777.1
LOC111136659,rna-XM_022487672.1,rna-XM_022487672.1,rna-XM_022487672.1,rna-XM_022487672.1
LOC111136660,rna-XM_022487673.1,rna-XM_022487673.1,rna-XM_022487673.1,rna-XM_022487673.1
LOC111136661,rna-XM_022487674.1,rna-XM_022487674.1,rna-XM_022487674.1,rna-XM_022487674.1
LOC111136662,rna-XM_022487675.1,rna-XM_022487675.1,rna-XR_002639778.1,rna-XR_002639778.1
LOC111136663,rna-XM_022487721.1,rna-XM_022487721.1,rna-XM_022487721.1,rna-XM_022487721.1
LOC111136664,rna-XM_022487677.1,rna-XM_022487677.1,rna-XM_022487677.1,rna-XM_022487677.1
LOC111136665,rna-XM_022487678.1,rna-XM_022487678.1,rna-XM_022487678.1,rna-XM_022487678.1
LOC111136666,rna-XM_022487681.1,rna-XM_022487681.1,rna-XM_022487680.1,rna-XM_022487681.1
LOC111136667,rna-XM_022487682.1,rna-XM_022487682.1,rna-XM_022487682.1,rna-XM_022487682.1
LOC111136668,rna-XM_022487683.1,rna-XM_022487683.1,rna-XM_022487683.1,rna-XM_022487683.1
LOC111136669,rna-XM_022487688.1,rna-XM_022487691.1,rna-XM_022487685.1,rna-XM_022487689.1
LOC111136670,rna-XM_022487697.1,rna-XM_022487697.1,rna-XM_022487697.1,rna-XM_022487697.1
LOC111136671,rna-XM_022487698.1,rna-XM_022487698.1,rna-XM_022487698.1,rna-XM_022487698.1
LOC111136672,rna-XM_022487700.1,rna-XM_022487700.1,rna-XM_022487700.1,rna-XM_022487700.1
LOC111136673,rna-XM_022487701.1,rna-XM_022487701.1,rna-XM_022487701.1,rna-XM_022487701.1
LOC111136674,rna-XM_022487702.1,rna-XM_022487702.1,rna-XM_022487702.1,rna-XM_022487702.1
LOC111136675,rna-XM_022487704.1,rna-XM_022487704.1,rna-XM_022487704.1,rna-XM_022487704.1
