LOC111100570 rna-XM_022432583.1
LOC111100571 rna-XM_022432589.1
LOC111100577 rna-XM_022432610.1
LOC111100579 rna-XM_022432613.1
LOC111100580 rna-XM_022432615.1
LOC111100582 rna-XM_022432621.1
LOC111100584 rna-XM_022432629.1
LOC111100587 rna-XM_022432639.1
LOC111100602 rna-XM_022432659.1
LOC111100620 rna-XM_022432682.1
LOC111100621 rna-XM_022432684.1
LOC111100625 rna-XM_022432713.1
LOC111100632 rna-XM_022432710.1
LOC111100634 rna-XM_022432718.1
LOC111100635 rna-XR_002634070.1
LOC111100637 rna-XM_022432731.1
LOC111100638 rna-XM_022432720.1
LOC111100641 rna-XM_022432725.1
LOC111100644 rna-XM_022432729.1
LOC111100684 rna-XM_022432772.1
LOC111100752 rna-XM_022432844.1
LOC111100765 rna-XM_022432858.1
LOC111100788 rna-XM_022432882.1
LOC111100790 rna-XM_022432888.1
LOC111100791 rna-XM_022432891.1
LOC111100792 rna-XM_022432897.1
LOC111100801 rna-XM_022432918.1
LOC111100815 rna-XM_022432933.1
LOC111100816 rna-XM_022432936.1
LOC111100821 rna-XM_022432948.1
LOC111100830 rna-XR_002634091.1
LOC111100832 rna-XR_002634097.1
LOC111100838 rna-XR_002634106.1
LOC111100840 rna-XR_002634116.1
LOC111100852 rna-XM_022432963.1
LOC111100858 rna-XM_022432975.1
LOC111100872 rna-XM_022433008.1
LOC111100876 rna-XM_022433017.1
LOC111100878 rna-XM_022433021.1
LOC111100879 rna-XM_022433023.1
LOC111100887 rna-XM_022433034.1
LOC111100894 rna-XM_022433041.1
LOC111100896 rna-XM_022433058.1
LOC111100897 rna-XM_022433063.1
LOC111100898 rna-XM_022433065.1
LOC111100906 rna-XM_022433082.1
LOC111100912 rna-XR_002634132.1
LOC111100914 rna-XM_022433127.1
LOC111100915 rna-XM_022433091.1
LOC111100964 rna-XM_022433144.1
LOC111100973 rna-XM_022433154.1
LOC111100977 rna-XM_022433163.1
LOC111100984 rna-XM_022433180.1
LOC111100993 rna-XM_022433195.1
LOC111101001 rna-XM_022433206.1
LOC111101014 rna-XR_002634166.1
LOC111101021 rna-XM_022433231.1
LOC111101023 rna-XM_022433234.1
LOC111101026 rna-XM_022433238.1
LOC111101029 rna-XM_022433254.1
LOC111101031 rna-XM_022433252.1
LOC111101033 rna-XM_022433261.1
LOC111101035 rna-XM_022433267.1
LOC111101036 rna-XM_022433291.1
LOC111101048 rna-XR_002634175.1
