term,estimate,std.error,statistic,p.value
(Intercept),-2.910585598031,2.34377334751706,-1.24183748446257,0.214296529454523
average_control,-0.0397182065248541,0.0385694693752877,-1.02978358707477,0.303111607083706
average_exposed,0.0436505519533118,0.0382823822347978,1.14022559216899,0.254192327998338
log10(length),0.489843671233553,0.575593798242361,0.851023191579453,0.394756470057456
