group	lib.size	norm.factors	eff.lib.size
S12M	999892	1.18068223029449	1180554.71661362
S23M	999910	1.23444162036693	1234330.5206211
S31M	1000007	1.111352541316	1111360.32078379
S48M	999854	1.20978350187243	1209606.87348116
S59M	999883	0.406196807847087	406149.282820568
S9M	999811	1.20910275156882	1208874.23114877
S13M	999832	1.16838212210164	1168185.83390513
S64M	999929	0.630688591788127	630643.81289811
S6M	999770	1.21547874000866	1215199.17989846
S7M	999954	1.16008537441207	1160032.01048484
