"","gene","Sample.ID","Treatment","Sex","mean","sem"
"76","gene-LOC111116195","77F","Exposed","F",3.55600352941176,1.65150301887636
"77","gene-LOC111116195","7M","Control","M",2.00513541176471,0.896299196850341
"78","gene-LOC111116195","9M","Exposed","M",4.91633805882353,2.2523108541806
"79","gene-LOC111116196","12M","Exposed","M",5.49430044444444,2.65328425925125
"80","gene-LOC111116196","13M","Control","M",4.60662522222222,2.31140404594276
"81","gene-LOC111116196","16F","Control","F",0.0835422222222222,0.0835422222222222
"82","gene-LOC111116196","19F","Control","F",0,0
"83","gene-LOC111116196","22F","Exposed","F",8.00351577777778,3.69274171178315
"84","gene-LOC111116196","23M","Exposed","M",7.99090711111111,3.84576937751009
"85","gene-LOC111116196","29F","Exposed","F",4.59760144444444,2.08905962344043
"86","gene-LOC111116196","31M","Exposed","M",6.67542411111111,3.34003560005794
"87","gene-LOC111116196","35F","Exposed","F",6.79683144444444,3.50953780558575
"88","gene-LOC111116196","36F","Exposed","F",0.483091777777778,0.483091777777778
"89","gene-LOC111116196","39F","Control","F",0,0
"90","gene-LOC111116196","3F","Exposed","F",12.0863114444444,3.08671597697465
"91","gene-LOC111116196","41F","Exposed","F",2.93771966666667,1.58773973453447
"92","gene-LOC111116196","44F","Control","F",3.41525377777778,1.92090940311578
"93","gene-LOC111116196","48M","Exposed","M",7.84726444444444,4.00386990139324
"94","gene-LOC111116196","50F","Exposed","F",6.20253822222222,3.30361207311753
"95","gene-LOC111116196","52F","Control","F",0.213675222222222,0.213675222222222
"96","gene-LOC111116196","53F","Control","F",18.9896201111111,9.9530141117931
"97","gene-LOC111116196","54F","Control","F",15.6875766666667,8.10565907429412
"98","gene-LOC111116196","59M","Exposed","M",7.70121988888889,3.88451494279752
"99","gene-LOC111116196","64M","Control","M",6.52991444444444,3.67809431120746
"100","gene-LOC111116196","6M","Control","M",4.52218011111111,2.26149475338513
"101","gene-LOC111116196","76F","Control","F",10.1324818888889,4.77500344766506
"102","gene-LOC111116196","77F","Exposed","F",2.98914711111111,1.68741644065884
"103","gene-LOC111116196","7M","Control","M",26.4133153333333,10.4465080408752
"104","gene-LOC111116196","9M","Exposed","M",0,0
"105","gene-LOC111116197","12M","Exposed","M",31.9464586666667,4.00657901729138
"106","gene-LOC111116197","13M","Control","M",8.71125525,1.33638821214851
"107","gene-LOC111116197","16F","Control","F",1.74035025,0.753180521214809
"108","gene-LOC111116197","19F","Control","F",3.04095666666667,1.26254306807027
"109","gene-LOC111116197","22F","Exposed","F",10.50545825,2.76050391719357
"110","gene-LOC111116197","23M","Exposed","M",49.6011690833333,5.15832994610957
"111","gene-LOC111116197","29F","Exposed","F",8.5577625,2.51560894501329
"112","gene-LOC111116197","31M","Exposed","M",19.33502325,2.62036778620733
"113","gene-LOC111116197","35F","Exposed","F",14.4662730833333,1.8045906437991
"114","gene-LOC111116197","36F","Exposed","F",1.58133241666667,0.868198423864644
"115","gene-LOC111116197","39F","Control","F",2.20774375,1.12355523138559
"116","gene-LOC111116197","3F","Exposed","F",18.71362125,3.19967037229499
"117","gene-LOC111116197","41F","Exposed","F",12.7190425833333,2.89694260566226
"118","gene-LOC111116197","44F","Control","F",15.4905676666667,1.35390253893404
"119","gene-LOC111116197","48M","Exposed","M",13.600242,2.51966172961831
"120","gene-LOC111116197","50F","Exposed","F",24.5951875833333,4.56065431122835
"121","gene-LOC111116197","52F","Control","F",9.9323185,2.16741848255545
"122","gene-LOC111116197","53F","Control","F",22.5083445,8.21605520364478
"123","gene-LOC111116197","54F","Control","F",28.666382,4.75625515702447
"124","gene-LOC111116197","59M","Exposed","M",40.389415,5.90882426750044
"125","gene-LOC111116197","64M","Control","M",18.2336255833333,3.46327959461681
"126","gene-LOC111116197","6M","Control","M",17.9110674166667,1.84309654653244
"127","gene-LOC111116197","76F","Control","F",30.1588868333333,3.68023433806613
"128","gene-LOC111116197","77F","Exposed","F",9.73601666666667,2.58647226976393
"129","gene-LOC111116197","7M","Control","M",21.3093488333333,3.78103042639765
"130","gene-LOC111116197","9M","Exposed","M",2.53842516666667,1.16536428292053
"131","gene-LOC111116198","12M","Exposed","M",0.121870282051282,0.0439276369399702
"132","gene-LOC111116198","13M","Control","M",0.305351935897436,0.0929030795263284
"133","gene-LOC111116198","16F","Control","F",0.356574217948718,0.107363336639551
"134","gene-LOC111116198","19F","Control","F",0.301981282051282,0.124996190288736
"135","gene-LOC111116198","22F","Exposed","F",0.337160743589744,0.103527953739077
"136","gene-LOC111116198","23M","Exposed","M",0.262098282051282,0.0732912063116648
"137","gene-LOC111116198","29F","Exposed","F",0.544477551282051,0.123679706959878
"138","gene-LOC111116198","31M","Exposed","M",0.175237871794872,0.0726415231468272
"139","gene-LOC111116198","35F","Exposed","F",0.550020320512821,0.103856643958889
"140","gene-LOC111116198","36F","Exposed","F",0.142504935897436,0.0684504558290854
"141","gene-LOC111116198","39F","Control","F",0.217550782051282,0.0758358473544641
"142","gene-LOC111116198","3F","Exposed","F",0.373143666666667,0.0910372154189921
"143","gene-LOC111116198","41F","Exposed","F",0.0356125384615385,0.0356125384615385
"144","gene-LOC111116198","44F","Control","F",0.483627564102564,0.0905618449517481
