           list
1  LOC111114766
2  LOC111119253
3  LOC111100801
4  LOC111130217
5  LOC111126477
6  LOC111128864
7  LOC111103500
8  LOC111100951
9  LOC111124776
10 LOC111137407
11 LOC111129785
12 LOC111118358
13 LOC111133250
14 LOC111123385
15 LOC111136820
16 LOC111119077
17 LOC111126804
18 LOC111100485
19 LOC111115898
20 LOC111115463
21 LOC111129143
22 LOC111137877
23 LOC111106360
24 LOC111113188
25 LOC111137309
26 LOC111135673
27 LOC111128427
28 LOC111133666
29 LOC111112891
30 LOC111130008
31 LOC111131766
32 LOC111108578
33 LOC111137664
34 LOC111121599
35 LOC111118877
36 LOC111136509
37 LOC111118507
38 LOC111135494
39 LOC111125903
40 LOC111138488
