         list_m
1  LOC111122293
2  LOC111110266
3  LOC111112414
4  LOC111110744
5  LOC111138131
6  LOC111110454
7  LOC111119486
8  LOC111129614
9  LOC111116362
10 LOC111100268
11 LOC111106209
12 LOC111104342
13 LOC111130037
14 LOC111108762
15 LOC111127510
16 LOC111124789
17 LOC111119152
18 LOC111105325
19 LOC111134646
20 LOC111118371
21 LOC111131013
22 LOC111104176
23 LOC111108011
24 LOC111131082
25 LOC111137518
26 LOC111120120
27 LOC111135767
28 LOC111106536
29 LOC111135132
30 LOC111103244
31 LOC111110084
32 LOC111120053
33 LOC111117110
34 LOC111127888
35 LOC111120520
36 LOC111132602
37 LOC111116692
38 LOC111111998
39 LOC111130514
40 LOC111103994
