gene_name,females_controls_max_transcript_counts,females_exposed_max_transcript_counts,difference,avg_meth_control,avg_meth_exposed,change_meth,avg_exp_control,avg_exp_exposed,change_exp,start,end,meth.diff,DMLcount
LOC111135855,0,1,1,57.5154373103448,53.8083328035753,-3.7071045067695,0,0.055931625,0.055931625,NA,NA,NA,0
LOC111135856,1,1,0,21.7512372030356,20.1790749998603,-1.57216220317531,8.11800575,6.083407625,-2.034598125,NA,NA,NA,0
LOC111135857,1,1,0,62.8250591056011,60.6611875050435,-2.16387160055761,22.6824635,22.16810775,-0.51435575,NA,NA,NA,0
LOC111135858,4,4,0,61.726878668504,59.919330721882,-1.80754794662208,14.0152407773467,13.7502776019588,-0.264963175387958,NA,NA,NA,0
LOC111135859,1,1,0,51.288082675436,48.6223201675353,-2.66576250790065,549.663165125,543.881517875,-5.78164724999999,NA,NA,NA,0
LOC111135860,1,1,0,0.645564804054054,0.501157893018018,-0.144406911036036,3.571548625,1.469953125,-2.1015955,NA,NA,NA,0
LOC111135861,4,4,0,0.401904635964541,0.329013174710267,-0.0728914612542745,2.6441447620236,2.46258921373477,-0.181555548288831,NA,NA,NA,0
LOC111135863,2,2,0,12.3295722619252,13.8180296505858,1.48845738866056,9.01538852606923,8.93548174652778,-0.0799067795414441,NA,NA,NA,0
LOC111135864,1,1,0,0.245652022746193,0.244631502642429,-0.00102052010376386,0.175866625,0.19306275,0.017196125,NA,NA,NA,0
LOC111135865,1,1,0,0.263150392396722,0.242008099365471,-0.0211422930312511,30.780413375,18.317509125,-12.46290425,NA,NA,NA,0
LOC111135866,2,2,0,39.2467821519879,38.2586396889461,-0.988142463041875,4.45029200868193,5.04995574684294,0.599663738161009,NA,NA,NA,0
LOC111135867,1,1,0,42.8001654388771,40.4436194698002,-2.35654596907686,5.4818895,7.1586635,1.676774,NA,NA,NA,0
LOC111135868,3,3,0,47.7400006207047,45.9462066211108,-1.79379399959383,6.1571127649776,5.53223407278835,-0.62487869218925,NA,NA,NA,0
LOC111135869,1,1,0,0.792221002084704,2.48948143726395,1.69726043517925,10.191158375,14.66191675,4.470758375,NA,NA,NA,0
LOC111135870,2,2,0,1.03676374549615,1.60556574232046,0.568801996824315,0.703402342651757,0.738521630857295,0.0351192882055389,NA,NA,NA,0
LOC111135871,1,1,0,0.237334786733164,0.251667604776708,0.0143328180435447,2.37118025,1.49630675,-0.8748735,NA,NA,NA,0
LOC111135872,3,3,0,52.3690626798888,50.1203353511763,-2.24872732871255,38.0688239057188,38.4194578204048,0.350633914685972,NA,NA,NA,0
LOC111135873,2,1,-1,1.48045925123438,1.33602926186633,-0.144429989368049,1.14820789769363,0.146606419670996,-1.00160147802263,NA,NA,NA,0
LOC111135874,1,1,0,2.1462651154626,2.04124296633961,-0.105022149122996,0.317424125,0.177950875,-0.13947325,NA,NA,NA,0
LOC111135875,2,3,1,26.6572400597484,32.9323126947334,6.27507263498505,0.754143728089887,0.803968790145132,0.0498250620552451,NA,NA,NA,0
LOC111135877,1,1,0,16.6898430028626,14.5190990825482,-2.17074392031439,1.01117325,0.515267125,-0.495906125,NA,NA,NA,0
